"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E02000166",7667,6797,0,3,2,0,0,1,0,0,0,79,35,59,266,34,56,34,4,6,13,2,1,9,2,44,18,11,13,11,1,1,0,6,56,36,10,0,0,10,0,0,0,28,17,20,43,5,5,22,9,2,91,0,1,0,0,74,11,2,0,1,0,0,1,1,78,5,10,7,22,5,1,3,1,19,5,0,0,0,0,0,86,1,10,47,0,4,5,1,4,0,2,0,1,1,1,9,2,2,7,5,1,1
"E02000167",7617,6548,2,0,0,0,0,0,0,0,0,180,38,70,452,100,112,59,3,6,6,4,1,12,7,37,43,45,10,4,0,2,0,1,28,8,8,0,1,11,0,0,0,31,9,12,53,25,5,22,0,1,36,6,6,0,0,15,6,0,0,0,1,1,0,1,138,6,5,23,61,14,0,3,1,22,3,0,0,0,0,0,17,0,7,3,0,0,0,0,0,0,0,0,3,0,2,2,3,3,0,0,0,0
"E02000168",7879,6842,4,2,1,0,0,1,0,0,0,100,50,72,307,64,80,56,11,6,4,5,0,13,3,35,8,14,3,3,0,0,1,1,47,26,8,0,1,12,0,0,0,31,16,20,49,6,16,19,1,7,155,6,1,4,0,143,0,0,0,0,0,0,0,1,96,8,15,17,25,6,0,4,1,15,5,0,0,0,0,0,82,9,11,48,0,3,1,2,1,3,0,0,2,0,0,2,4,4,2,1,0,1
"E02000169",7276,5853,2,0,0,0,0,0,0,0,0,157,45,89,458,98,121,54,5,4,11,5,1,20,18,44,23,28,9,8,1,5,1,2,48,19,14,0,1,14,0,0,0,77,14,50,157,57,2,80,7,11,71,9,16,1,0,17,2,0,2,7,1,5,4,7,242,7,6,43,111,14,1,4,3,37,16,0,0,0,0,0,8,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,5,5,0,0,0,0
"E02000170",7985,6302,1,0,0,0,0,0,0,0,0,203,83,101,545,143,81,110,8,14,8,12,9,26,12,45,22,30,11,6,3,0,1,4,100,46,22,13,3,16,1,0,1,46,25,88,159,41,7,77,14,20,107,11,8,1,0,59,9,1,1,3,0,11,2,1,146,17,6,26,32,11,1,10,0,37,6,0,0,0,0,0,67,3,5,33,2,0,2,0,2,1,4,1,2,5,2,5,7,7,4,4,0,0
"E02000171",7479,6303,2,0,0,0,0,0,0,0,0,141,48,86,370,74,81,49,7,10,6,8,2,16,3,47,19,25,11,5,3,3,0,1,81,51,14,1,0,15,0,0,0,11,14,33,77,18,6,30,14,9,163,6,3,8,0,129,6,0,0,0,2,3,4,2,99,8,12,19,34,0,2,7,3,10,4,0,0,0,0,0,49,9,5,27,0,2,0,0,0,0,1,0,2,1,1,1,2,2,0,0,0,0
"E02000172",9738,7514,5,3,2,0,0,0,0,0,1,151,128,139,335,82,42,62,13,2,11,4,3,18,10,37,4,19,11,8,1,0,1,7,123,106,9,3,0,5,0,0,0,17,33,118,144,20,24,72,8,20,482,23,3,2,0,416,16,0,0,7,1,1,4,9,211,23,13,67,18,2,12,8,5,61,2,0,0,0,0,0,324,22,27,215,0,4,7,4,5,2,13,0,0,5,3,17,3,3,8,6,0,2
"E02000173",7349,5590,2,0,0,0,0,0,0,0,0,161,65,128,570,116,116,103,9,6,13,4,1,13,10,64,39,29,16,16,7,5,0,3,46,21,11,0,1,13,0,0,0,54,39,37,149,69,3,60,7,10,88,15,10,1,0,34,9,5,1,4,3,6,0,0,375,27,12,41,160,34,1,7,2,81,10,0,0,0,0,0,42,0,0,19,0,3,0,6,2,0,0,3,2,4,0,3,2,2,1,1,0,0
"E02000174",8394,6527,2,1,0,0,0,0,0,1,0,133,67,109,711,89,100,90,7,2,6,6,0,16,6,280,15,78,5,5,2,0,0,4,77,60,9,2,0,6,0,0,0,19,14,49,63,6,17,32,5,3,286,18,2,2,0,244,6,0,0,2,0,0,10,2,115,3,6,20,41,6,7,3,0,24,5,0,0,0,0,0,211,8,43,120,2,6,8,0,0,0,14,1,0,1,0,8,3,3,7,6,0,1
"E02000175",8524,6750,2,3,3,0,0,0,0,0,0,198,83,113,515,118,81,94,13,10,14,9,4,21,14,38,29,32,15,14,1,1,0,7,136,80,37,2,3,14,0,0,0,38,23,62,114,31,9,55,9,10,137,12,13,2,0,82,14,0,0,2,0,3,2,7,222,14,9,31,89,39,0,19,1,18,2,0,0,0,0,0,121,7,15,81,0,1,1,2,3,1,3,0,3,0,0,4,6,6,1,0,0,1
