"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E00004120",297,232,0,0,0,0,0,0,0,0,0,3,1,6,31,2,6,18,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,3,1,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"E00004121",229,186,0,0,0,0,0,0,0,0,0,11,4,0,14,4,4,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,0,3,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004122",218,176,0,0,0,0,0,0,0,0,0,6,3,1,12,1,2,0,0,0,1,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004123",281,241,0,0,0,0,0,0,0,0,0,5,3,5,11,0,3,0,0,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,5,5,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004124",163,131,0,0,0,0,0,0,0,0,0,3,0,4,11,1,4,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004125",263,220,0,0,0,0,0,0,0,0,0,7,2,3,16,3,2,1,1,0,0,0,0,3,1,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004126",260,209,0,0,0,0,0,0,0,0,0,4,2,2,27,2,11,1,0,0,0,0,0,2,0,0,2,2,2,5,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,2,0,0,0,0,0,7,2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004127",255,212,0,0,0,0,0,0,0,0,0,5,0,5,9,2,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,2,2,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,1,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004128",284,231,0,0,0,0,0,0,0,0,0,9,3,2,14,2,3,3,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,6,2,4,0,0,0,0,0,0,3,0,1,3,3,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004129",253,202,0,0,0,0,0,0,0,0,0,4,5,1,19,3,3,1,0,0,0,0,0,0,1,3,2,5,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004130",256,197,0,0,0,0,0,0,0,0,0,9,2,4,26,3,10,0,0,0,5,0,1,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,8,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00004131",269,199,0,0,0,0,0,0,0,0,0,7,2,1,10,0,3,0,0,0,1,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0
"E00004132",187,153,0,0,0,0,0,0,0,0,0,5,0,2,15,5,4,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,6,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004133",244,202,0,0,0,0,0,0,0,0,0,3,3,0,18,6,4,0,0,0,1,0,0,2,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,4,2,0,5,0,0,5,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004134",181,150,0,0,0,0,0,0,0,0,0,1,0,3,6,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,1,0,0,2,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004135",140,113,0,0,0,0,0,0,0,0,0,2,3,1,9,0,1,0,0,0,2,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,4,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004136",212,171,0,0,0,0,0,0,0,0,0,8,0,7,14,6,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004137",260,215,0,0,0,0,0,0,0,0,0,8,2,7,16,5,7,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004138",211,161,0,0,0,0,0,0,0,0,0,9,0,3,14,5,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,2,0,0,0,1,1,5,4,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004139",270,161,0,0,0,0,0,0,0,0,0,3,3,7,7,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,1,2,14,9,0,4,0,1,29,0,0,0,0,29,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,26,1,7,13,1,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
"E00004140",197,157,0,0,0,0,0,0,0,0,0,9,2,6,12,0,6,1,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004141",183,155,0,0,0,0,0,0,0,0,0,6,0,3,8,2,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004142",230,180,0,0,0,0,0,0,0,0,0,4,3,2,18,2,9,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"E00004143",225,182,0,0,0,0,0,0,0,0,0,8,0,1,19,9,1,2,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E00004144",208,182,0,0,0,0,0,0,0,0,0,4,1,0,11,2,4,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004145",246,188,2,0,0,0,0,0,0,0,0,8,2,10,24,11,2,2,0,0,0,0,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"E00004146",240,201,0,0,0,0,0,0,0,0,0,3,1,1,15,6,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004147",221,194,0,0,0,0,0,0,0,0,0,0,2,4,15,1,5,0,0,2,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004148",173,142,0,0,0,0,0,0,0,0,0,3,2,3,15,4,5,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004149",319,264,0,0,0,0,0,0,0,0,0,6,0,2,25,2,6,6,0,0,0,1,0,2,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,1,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"E00004150",282,236,0,0,0,0,0,0,0,0,0,9,4,1,11,1,5,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004151",253,215,0,0,0,0,0,0,0,0,0,9,1,2,11,5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"E00004152",227,193,0,0,0,0,0,0,0,0,0,5,2,3,15,3,3,0,0,0,0,0,0,2,0,0,2,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004153",197,148,0,0,0,0,0,0,0,0,0,4,3,4,13,2,7,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,8,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004154",230,157,0,0,0,0,0,0,0,0,0,9,2,1,23,6,9,2,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,1,0,1,12,12,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004155",238,180,0,0,0,0,0,0,0,0,0,9,0,4,17,7,3,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,9,7,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004156",207,165,0,0,0,0,0,0,0,0,0,2,2,3,19,3,9,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"E00004157",211,166,0,0,0,0,0,0,0,0,0,6,1,6,8,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,11,0,2,6,0,3,0,0,0,1,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004158",270,205,0,0,0,0,0,0,0,0,0,6,1,3,8,0,2,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,8,0,0,6,2,0,15,1,0,0,0,14,0,0,0,0,0,0,0,0,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,12,1,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0
"E00004159",379,237,0,0,0,0,0,0,0,0,0,9,5,8,9,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,18,0,0,0,0,0,0,0,3,2,4,8,0,0,4,4,0,32,2,0,0,0,30,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,40,0,1,36,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"E00004160",209,160,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,3,1,0,0,2,1,0,0,0,0,0,0,12,0,2,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"E00004161",195,157,0,0,0,0,0,0,0,0,0,4,0,5,13,3,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,9,0,0,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004162",234,166,0,0,0,0,0,0,0,0,0,5,3,0,27,4,0,17,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,1,2,0,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,4,6,0,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004163",369,280,0,0,0,0,0,0,0,0,0,2,1,6,20,6,6,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,0,4,7,1,0,0,0,6,13,1,0,0,0,5,0,0,0,2,0,0,0,5,14,0,3,0,10,0,0,0,0,1,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004164",369,246,0,0,0,0,0,0,0,0,0,6,4,9,9,2,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,15,0,0,0,1,0,0,0,5,0,3,8,1,7,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,14,0,0,6,0,1,1,0,0,6,0,0,0,0,0,0,28,3,3,16,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"E00004165",329,211,0,0,0,0,0,0,0,0,0,4,2,7,7,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,31,30,0,0,0,1,0,0,0,1,3,5,4,0,0,3,1,0,12,0,0,0,0,7,4,1,0,0,0,0,0,0,16,0,4,4,2,2,0,0,0,4,0,0,0,0,0,0,25,2,1,19,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"E00004166",390,249,0,0,0,0,0,0,0,0,0,8,1,5,12,1,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,1,0,0,0,0,0,0,0,0,15,16,0,2,6,7,1,30,0,0,0,0,29,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,24,2,2,16,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
"E00004167",268,231,0,0,0,0,0,0,0,0,0,2,6,0,6,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,3,1,0,2,0,0,10,0,4,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004168",180,155,0,0,0,0,0,0,0,0,0,3,0,4,11,1,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
