"GeographyCode","QS208EW0001","QS208EW0002","QS208EW0003","QS208EW0004","QS208EW0005","QS208EW0006","QS208EW0007","QS208EW0008","QS208EW0009","QS208EW0010"
"E02000166",7924,3017,74,40,369,398,4,69,2425,1528
"E02000167",7944,2812,82,71,852,102,9,31,2292,1693
"E02000168",8172,2807,74,30,195,510,11,62,2946,1537
"E02000169",7637,2442,101,176,1229,306,18,75,1692,1598
"E02000170",8338,3013,85,137,675,548,16,44,2100,1720
"E02000171",7818,2806,86,77,305,500,21,34,2433,1556
"E02000172",10147,3736,80,69,97,1680,7,47,2463,1968
"E02000173",7675,2590,111,182,721,384,21,51,1839,1776
"E02000174",8714,2837,83,41,132,1028,5,55,2801,1732
"E02000175",8848,3132,120,136,546,704,28,66,2237,1879
"E02000176",6373,2026,90,120,693,177,22,34,1717,1494
"E02000177",8948,3281,92,49,236,1540,12,49,2079,1610
"E02000178",8857,3228,77,123,227,1187,20,57,1921,2017
"E02000179",6329,2047,64,107,544,922,14,31,1393,1207
"E02000180",8202,2539,116,91,97,1064,3,46,2633,1613
"E02000181",7708,2727,114,191,746,511,12,43,2110,1254
"E02000182",6697,1989,177,238,779,909,33,38,1382,1152
"E02000183",7913,2995,69,81,410,549,10,43,2139,1617
"E02000184",8882,2865,95,109,69,1680,12,48,2228,1776
"E02000185",8290,3111,88,106,223,1741,14,37,1429,1541
"E02000186",6687,2227,73,97,223,682,12,38,1819,1516
"E02000187",8155,2811,82,85,24,2354,21,28,1383,1367
"E02000188",8322,2566,108,151,39,2087,20,42,1530,1779
"E02000189",5944,1702,107,88,57,1346,23,23,1228,1370
"E02000190",7530,2433,156,127,55,1027,24,52,2076,1580
"E02000191",7497,2218,177,229,102,642,34,43,2193,1859
"E02000192",7157,2466,72,65,59,1392,18,32,1614,1439
"E02000193",7630,2398,136,125,119,673,21,49,2011,2098
