"GeographyCode","QS210EW0001","QS210EW0002","QS210EW0003","QS210EW0004","QS210EW0005","QS210EW0006","QS210EW0007","QS210EW0008","QS210EW0009","QS210EW0010","QS210EW0011","QS210EW0012","QS210EW0013","QS210EW0014","QS210EW0015","QS210EW0016","QS210EW0017","QS210EW0018","QS210EW0019","QS210EW0020","QS210EW0021","QS210EW0022","QS210EW0023","QS210EW0024","QS210EW0025","QS210EW0026","QS210EW0027","QS210EW0028","QS210EW0029","QS210EW0030","QS210EW0031","QS210EW0032","QS210EW0033","QS210EW0034","QS210EW0035","QS210EW0036","QS210EW0037","QS210EW0038","QS210EW0039","QS210EW0040","QS210EW0041","QS210EW0042","QS210EW0043","QS210EW0044","QS210EW0045","QS210EW0046","QS210EW0047","QS210EW0048","QS210EW0049","QS210EW0050","QS210EW0051","QS210EW0052","QS210EW0053","QS210EW0054","QS210EW0055","QS210EW0056","QS210EW0057","QS210EW0058","QS210EW0059"
"E02000166",7924,3017,74,40,369,398,4,69,0,6,3,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,17,4,2,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,2,2,0,5,2425,2362,16,11,1,0,8,27,0,1528
"E02000167",7944,2812,82,71,852,102,9,31,0,1,1,0,0,0,0,1,0,0,0,0,2,5,0,0,0,1,1,3,1,1,0,0,0,0,0,3,4,1,1,0,0,0,0,2,0,0,0,2,1,2292,2233,13,14,0,0,6,26,0,1693
"E02000168",8172,2807,74,30,195,510,11,62,3,11,0,0,0,0,0,1,1,0,0,0,1,7,1,0,0,0,1,9,1,4,0,0,0,0,0,0,4,4,0,0,0,0,0,3,1,4,0,4,2,2946,2884,10,11,0,2,6,33,0,1537
"E02000169",7637,2442,101,176,1229,306,18,75,1,2,1,0,0,0,0,1,0,1,0,0,19,12,0,0,0,0,0,4,2,7,0,0,0,1,0,3,3,3,4,0,0,0,0,1,0,0,0,8,2,1692,1660,7,4,0,0,3,18,0,1598
"E02000170",8338,3013,85,137,675,548,16,44,0,3,3,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,4,2,1,0,0,0,0,0,1,9,1,2,0,0,0,0,0,0,0,0,5,3,2100,2055,8,12,0,0,5,20,0,1720
"E02000171",7818,2806,86,77,305,500,21,34,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,8,1,1,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1,1,2433,2391,10,5,0,0,4,22,1,1556
"E02000172",10147,3736,80,69,97,1680,7,47,0,0,1,0,0,0,0,0,1,2,0,1,1,14,0,0,0,0,1,6,0,3,0,0,1,4,0,0,3,1,0,0,0,0,0,0,0,2,0,1,5,2463,2404,13,13,0,1,4,28,0,1968
"E02000173",7675,2590,111,182,721,384,21,51,0,14,0,0,0,0,0,1,0,0,1,0,9,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,5,6,1839,1800,4,7,0,0,2,26,0,1776
"E02000174",8714,2837,83,41,132,1028,5,55,0,2,6,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,8,1,1,0,0,3,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,7,2801,2725,7,15,0,4,4,46,0,1732
"E02000175",8848,3132,120,136,546,704,28,66,0,0,2,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,5,0,3,0,0,0,0,0,7,7,7,3,0,0,0,0,0,1,0,0,1,7,2237,2181,13,8,0,0,5,30,0,1879
"E02000176",6373,2026,90,120,693,177,22,34,0,5,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,1,0,2,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,2,2,1717,1665,10,11,0,0,4,27,0,1494
"E02000177",8948,3281,92,49,236,1540,12,49,0,0,2,0,0,0,0,1,0,4,0,0,5,4,0,0,0,0,0,2,0,2,0,0,0,1,0,2,13,2,3,0,1,0,0,0,0,1,0,1,5,2079,2033,6,13,0,2,1,24,0,1610
"E02000178",8857,3228,77,123,227,1187,20,57,1,5,2,0,0,1,0,0,1,0,0,0,3,6,0,0,1,0,0,2,1,9,0,0,1,0,1,1,6,7,0,0,0,0,0,1,0,0,0,1,7,1921,1870,10,11,0,0,4,26,0,2017
"E02000179",6329,2047,64,107,544,922,14,31,0,1,1,1,0,0,0,0,1,0,0,1,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,2,2,1393,1369,5,7,0,0,0,12,0,1207
"E02000180",8202,2539,116,91,97,1064,3,46,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,6,4,3,0,0,0,1,0,1,4,7,1,0,0,0,0,0,0,1,0,0,6,2633,2559,11,14,0,1,4,44,0,1613
"E02000181",7708,2727,114,191,746,511,12,43,0,5,3,1,0,0,1,1,0,0,0,0,12,2,0,0,0,0,0,4,2,3,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,3,2110,2071,11,7,0,1,4,16,0,1254
"E02000182",6697,1989,177,238,779,909,33,38,0,3,1,0,0,0,0,0,1,3,0,0,13,6,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,3,1382,1363,5,2,0,0,1,11,0,1152
"E02000183",7913,2995,69,81,410,549,10,43,0,2,2,0,0,0,0,1,0,0,0,0,2,10,0,0,0,0,3,1,0,5,0,0,0,0,0,1,5,0,2,1,0,0,0,0,0,1,0,2,5,2139,2098,13,6,0,0,5,17,0,1617
"E02000184",8882,2865,95,109,69,1680,12,48,0,0,0,1,0,0,0,4,1,0,0,1,2,4,0,0,0,0,0,9,0,7,0,0,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,1,8,2228,2150,14,17,0,1,3,43,0,1776
"E02000185",8290,3111,88,106,223,1741,14,37,0,0,1,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,1,4,0,2,0,0,0,2,0,0,5,3,1,0,0,2,0,1,0,1,0,1,5,1429,1389,9,7,0,1,1,22,0,1541
"E02000186",6687,2227,73,97,223,682,12,38,0,1,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,7,0,1,0,0,0,4,0,0,4,1,1,1,0,2,0,0,0,0,0,3,7,1819,1768,13,5,0,2,3,28,0,1516
"E02000187",8155,2811,82,85,24,2354,21,28,0,0,0,0,3,0,0,0,0,0,1,2,2,2,0,0,0,0,1,6,1,4,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1383,1349,8,4,0,1,3,18,0,1367
"E02000188",8322,2566,108,151,39,2087,20,42,1,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,9,0,1,0,0,1,0,0,1,1,4,3,1,0,1,0,0,0,4,0,0,3,1530,1480,6,9,0,1,0,34,0,1779
"E02000189",5944,1702,107,88,57,1346,23,23,0,1,1,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,4,1228,1201,6,7,0,0,0,14,0,1370
"E02000190",7530,2433,156,127,55,1027,24,52,1,3,3,0,0,0,1,2,0,1,0,0,8,3,0,0,0,0,1,4,4,6,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,2,0,1,4,2076,2014,12,23,0,1,3,23,0,1580
"E02000191",7497,2218,177,229,102,642,34,43,1,0,3,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,1,2,1,1,0,0,0,1,0,0,4,4,1,1,0,0,0,0,0,1,0,3,2,2193,2132,11,9,0,0,5,36,0,1859
"E02000192",7157,2466,72,65,59,1392,18,32,0,2,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,3,0,3,2,1614,1580,4,6,0,0,5,19,0,1439
