"GeographyCode","QS211EW0001","QS211EW0002","QS211EW0003","QS211EW0004","QS211EW0005","QS211EW0006","QS211EW0007","QS211EW0008","QS211EW0009","QS211EW0010","QS211EW0011","QS211EW0012","QS211EW0013","QS211EW0014","QS211EW0015","QS211EW0016","QS211EW0017","QS211EW0018","QS211EW0019","QS211EW0020","QS211EW0021","QS211EW0022","QS211EW0023","QS211EW0024","QS211EW0025","QS211EW0026","QS211EW0027","QS211EW0028","QS211EW0029","QS211EW0030","QS211EW0031","QS211EW0032","QS211EW0033","QS211EW0034","QS211EW0035","QS211EW0036","QS211EW0037","QS211EW0038","QS211EW0039","QS211EW0040","QS211EW0041","QS211EW0042","QS211EW0043","QS211EW0044","QS211EW0045","QS211EW0046","QS211EW0047","QS211EW0048","QS211EW0049","QS211EW0050","QS211EW0051","QS211EW0052","QS211EW0053","QS211EW0054","QS211EW0055","QS211EW0056","QS211EW0057","QS211EW0058","QS211EW0059","QS211EW0060","QS211EW0061","QS211EW0062","QS211EW0063","QS211EW0064","QS211EW0065","QS211EW0066","QS211EW0067","QS211EW0068","QS211EW0069","QS211EW0070","QS211EW0071","QS211EW0072","QS211EW0073","QS211EW0074","QS211EW0075","QS211EW0076","QS211EW0077","QS211EW0078","QS211EW0079","QS211EW0080","QS211EW0081","QS211EW0082","QS211EW0083","QS211EW0084","QS211EW0085","QS211EW0086","QS211EW0087","QS211EW0088","QS211EW0089","QS211EW0090","QS211EW0091","QS211EW0092","QS211EW0093","QS211EW0094","QS211EW0095","QS211EW0096","QS211EW0097","QS211EW0098","QS211EW0099","QS211EW0100","QS211EW0101","QS211EW0102","QS211EW0103","QS211EW0104","QS211EW0105","QS211EW0106","QS211EW0107","QS211EW0108","QS211EW0109","QS211EW0110","QS211EW0111","QS211EW0112","QS211EW0113","QS211EW0114","QS211EW0115","QS211EW0116","QS211EW0117","QS211EW0118","QS211EW0119","QS211EW0120","QS211EW0121","QS211EW0122","QS211EW0123","QS211EW0124","QS211EW0125","QS211EW0126","QS211EW0127","QS211EW0128","QS211EW0129","QS211EW0130","QS211EW0131","QS211EW0132","QS211EW0133","QS211EW0134","QS211EW0135","QS211EW0136","QS211EW0137","QS211EW0138","QS211EW0139","QS211EW0140","QS211EW0141","QS211EW0142","QS211EW0143","QS211EW0144","QS211EW0145","QS211EW0146","QS211EW0147","QS211EW0148","QS211EW0149","QS211EW0150","QS211EW0151","QS211EW0152","QS211EW0153","QS211EW0154","QS211EW0155","QS211EW0156","QS211EW0157","QS211EW0158","QS211EW0159","QS211EW0160","QS211EW0161","QS211EW0162","QS211EW0163","QS211EW0164","QS211EW0165","QS211EW0166","QS211EW0167","QS211EW0168","QS211EW0169","QS211EW0170","QS211EW0171","QS211EW0172","QS211EW0173","QS211EW0174","QS211EW0175","QS211EW0176","QS211EW0177","QS211EW0178","QS211EW0179","QS211EW0180","QS211EW0181","QS211EW0182","QS211EW0183","QS211EW0184","QS211EW0185","QS211EW0186","QS211EW0187","QS211EW0188","QS211EW0189","QS211EW0190","QS211EW0191","QS211EW0192","QS211EW0193","QS211EW0194","QS211EW0195","QS211EW0196","QS211EW0197","QS211EW0198","QS211EW0199","QS211EW0200","QS211EW0201","QS211EW0202","QS211EW0203","QS211EW0204","QS211EW0205","QS211EW0206","QS211EW0207","QS211EW0208","QS211EW0209","QS211EW0210","QS211EW0211","QS211EW0212","QS211EW0213","QS211EW0214","QS211EW0215","QS211EW0216","QS211EW0217","QS211EW0218","QS211EW0219","QS211EW0220","QS211EW0221","QS211EW0222","QS211EW0223","QS211EW0224","QS211EW0225","QS211EW0226","QS211EW0227","QS211EW0228","QS211EW0229","QS211EW0230","QS211EW0231","QS211EW0232","QS211EW0233","QS211EW0234","QS211EW0235","QS211EW0236","QS211EW0237","QS211EW0238","QS211EW0239","QS211EW0240","QS211EW0241","QS211EW0242","QS211EW0243","QS211EW0244","QS211EW0245","QS211EW0246","QS211EW0247","QS211EW0248","QS211EW0249","QS211EW0250","QS211EW0251"
"E02000166",7924,4764,317,7,0,11,0,3,76,2,4,6,0,0,1,3,30,2,0,10,0,201,1,44,24,7,8,41,1,0,35,0,26,0,1,3,0,0,0,5,115,30,2,260,0,44,0,5,3,0,0,0,0,14,4,0,0,1,3,176,142,54,187,0,0,0,2,0,0,0,1,6,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,6,0,1,0,3,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,8,0,0,1,0,4,0,1,0,2,65,76,7,149,75,12,0,0,2,0,0,0,0,0,27,1,11,0,29,1,11,0,0,5,5,2,0,0,1,0,0,0,0,0,20,0,0,5,1,0,3,14,253,125,0,0,36,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,13,5,0,15,43,0,0,6,0,0,0,0,5,0,0,0,1,0,1,0,1,3,4,9,0,22,0,5,1,0,0,0,11,32,0,0,2,2,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,4,2,0,51
"E02000167",7944,4606,162,7,0,0,0,3,148,9,1,12,0,2,9,1,39,3,1,13,0,215,0,71,18,6,12,113,3,0,10,0,12,0,3,0,3,0,0,3,325,49,3,494,1,37,0,5,1,0,1,0,0,14,0,1,0,7,0,315,37,25,194,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,2,1,0,0,3,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,12,4,5,0,1,52,163,25,17,121,0,4,0,0,0,0,0,1,0,37,2,9,0,88,0,21,0,0,1,4,0,0,0,3,0,0,0,0,0,18,2,0,2,0,0,5,10,85,41,0,0,4,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,12,37,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,4,2,0,0,26,0,0,0,0,0,0,5,8,0,2,0,0,0,12,1,1,8,0,0,0,3,0,0,0,0,0,0,1,0,0,31
"E02000168",8172,4879,346,2,0,14,0,0,81,7,3,11,0,0,1,4,29,2,0,9,0,138,1,25,44,4,2,78,0,0,14,6,25,0,0,0,0,0,0,1,98,52,0,269,0,82,0,2,0,0,0,0,0,9,0,0,0,2,0,152,141,55,191,0,0,0,1,0,0,2,0,5,4,0,0,3,0,0,1,0,3,1,1,0,0,0,1,8,1,1,2,0,0,1,0,0,0,0,0,0,3,0,1,0,3,0,0,2,1,0,3,3,0,0,0,0,0,3,0,0,0,0,0,2,0,4,3,1,0,0,85,85,24,254,69,7,1,2,3,4,0,2,1,0,35,1,11,0,28,0,7,4,1,0,1,1,0,0,0,0,0,0,0,0,14,1,1,10,1,0,2,17,243,136,0,0,41,0,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,22,0,0,14,29,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,6,0,6,1,18,0,0,0,0,0,0,19,44,0,2,1,1,0,7,0,0,2,8,0,0,0,0,6,0,0,0,1,3,0,1,32
"E02000169",7637,3663,174,1,0,9,0,0,87,9,4,12,0,0,0,0,88,6,0,4,1,214,0,53,10,33,47,119,2,0,17,0,18,0,0,1,0,0,0,5,254,66,6,483,0,55,0,7,0,0,0,0,0,18,0,1,0,5,1,322,58,37,214,0,0,1,1,0,0,3,0,12,1,0,0,1,0,0,0,0,22,0,0,0,0,0,0,2,3,0,0,0,3,0,0,2,0,0,0,0,12,0,1,0,4,0,0,0,2,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0,1,9,1,0,0,0,65,324,53,24,155,7,1,4,3,0,0,1,1,0,57,0,34,0,114,0,25,0,0,6,1,4,0,0,1,0,0,0,0,0,28,1,4,20,0,0,3,22,95,57,0,0,12,0,5,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,3,1,0,8,82,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4,4,1,0,0,98,0,0,0,0,0,0,2,12,0,0,1,3,0,5,0,0,21,1,1,0,0,0,0,1,0,0,0,4,0,0,48
"E02000170",8338,4041,336,2,0,8,0,4,139,28,0,14,0,0,1,1,59,11,1,5,0,250,0,48,15,27,15,143,0,0,14,0,28,0,2,2,0,0,0,4,130,86,3,359,1,106,0,13,0,0,0,0,0,20,0,0,0,5,0,276,88,34,190,0,0,0,0,1,0,2,0,4,0,0,0,0,1,0,1,0,9,0,1,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,5,0,1,0,4,0,0,2,0,0,3,8,1,0,1,0,2,0,0,2,1,0,0,0,0,7,2,3,1,1,89,284,76,106,144,28,0,2,5,0,0,0,1,0,56,0,27,0,42,0,13,0,0,7,3,9,0,0,3,0,0,0,0,0,46,2,0,9,1,0,6,40,195,93,0,0,28,0,12,2,2,0,2,0,0,0,0,3,0,0,2,0,0,0,16,0,0,27,180,1,5,0,0,0,0,0,4,0,0,0,1,2,0,0,3,2,1,2,0,55,11,0,2,0,0,2,11,14,0,0,6,0,0,22,0,0,5,0,0,1,2,0,5,0,0,0,0,2,0,0,39
"E02000171",7818,4225,246,13,0,20,2,2,131,18,1,8,0,0,1,4,37,2,0,10,1,170,0,58,16,16,15,85,13,0,36,1,14,0,0,1,0,0,0,3,165,53,1,357,0,50,2,6,0,0,0,0,0,18,1,3,0,2,0,219,115,51,148,0,0,3,1,0,0,3,0,1,0,0,0,11,3,0,0,0,5,1,0,0,0,0,0,5,0,3,2,0,4,0,0,1,0,0,0,0,11,0,2,0,0,0,0,0,1,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,3,7,5,1,1,1,84,157,26,270,122,25,0,2,0,0,0,0,0,0,37,0,14,0,37,0,7,0,1,4,2,4,0,0,1,0,0,0,2,0,25,1,0,5,3,0,5,11,176,106,0,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,9,0,0,19,50,3,2,0,0,6,0,0,0,3,0,0,2,1,0,0,2,0,1,1,0,27,2,0,7,0,0,1,8,20,0,3,0,0,0,9,0,1,3,3,2,0,0,0,12,0,0,0,2,3,4,0,33
"E02000172",10147,4675,382,11,0,27,0,4,76,7,1,4,0,0,2,5,24,0,0,5,0,170,0,29,23,16,9,82,0,0,85,5,28,0,2,0,0,0,0,4,71,46,0,314,1,66,0,3,0,0,0,0,0,34,5,2,0,0,0,130,167,149,150,0,0,1,0,1,0,1,0,2,1,0,1,1,4,1,0,0,12,4,10,0,0,0,0,3,1,0,1,0,5,0,1,0,0,0,0,0,17,1,3,2,1,0,0,7,0,0,1,7,0,1,2,1,0,0,0,0,2,0,0,0,2,11,1,0,5,0,127,114,65,825,174,40,1,11,1,0,1,5,0,0,80,2,20,0,21,9,14,5,0,4,2,12,0,0,0,0,0,0,0,0,22,3,1,10,1,0,16,21,747,227,0,0,70,0,1,1,0,0,0,0,0,0,0,1,1,0,5,0,0,0,102,8,0,57,144,1,11,0,0,0,0,0,5,0,0,1,4,5,3,0,0,2,5,2,0,18,2,4,1,0,0,7,31,51,0,1,5,1,0,13,0,0,4,3,0,0,0,0,10,8,0,0,0,15,0,3,32
"E02000173",7675,3155,186,2,0,7,0,4,107,10,5,18,0,0,2,7,66,7,0,6,0,184,2,80,10,32,43,133,2,0,16,0,27,0,2,0,0,0,0,4,203,67,12,552,0,57,0,8,0,0,1,0,0,33,0,2,0,0,1,327,72,44,202,0,1,0,0,0,0,3,0,2,0,0,0,0,3,0,1,0,51,1,0,0,1,0,0,1,0,2,0,0,12,0,1,3,0,0,0,0,9,0,1,0,1,1,0,0,3,0,1,8,0,0,3,0,2,0,0,0,1,0,0,2,0,6,2,0,2,1,69,300,89,103,234,19,1,1,0,3,0,0,4,0,116,1,19,0,181,0,44,1,0,16,6,1,0,0,1,2,0,0,0,0,35,3,1,23,0,0,5,20,124,103,0,0,15,0,4,0,3,0,0,0,0,0,0,0,0,1,3,1,0,0,9,0,0,34,64,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,5,17,2,1,0,59,3,0,1,0,0,0,1,21,0,1,0,2,0,19,1,0,13,0,0,0,1,0,1,0,0,0,0,2,0,0,39
"E02000174",8714,4311,321,13,0,12,0,3,83,14,2,7,1,0,0,8,26,1,0,13,0,129,1,61,49,1,5,100,3,0,46,3,28,0,1,3,0,0,0,7,63,36,3,343,1,42,0,4,0,0,0,0,0,16,1,2,0,1,0,152,120,93,93,0,0,0,3,0,1,4,0,9,3,0,0,2,0,0,1,0,5,0,0,0,0,1,0,3,0,3,1,0,0,0,6,1,0,0,0,0,11,0,0,2,0,0,0,2,1,0,2,8,2,1,2,3,0,0,0,0,1,0,0,0,1,4,4,1,3,0,77,190,44,501,81,13,1,9,0,2,2,1,0,0,39,1,17,0,46,0,14,1,0,4,0,7,0,0,0,1,0,0,1,1,4,0,3,6,0,0,10,115,563,176,0,0,46,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,52,0,0,34,162,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,4,0,9,0,22,1,0,1,0,0,0,6,26,1,2,4,1,0,4,1,0,1,6,0,5,1,0,20,0,0,0,1,7,0,0,40
"E02000175",8848,3983,295,4,3,16,0,3,204,16,5,19,0,1,2,5,49,4,1,8,0,216,0,49,7,18,19,107,0,0,73,1,24,0,2,0,0,0,0,0,156,82,3,442,0,85,0,10,0,0,0,0,2,16,3,0,0,0,0,287,106,87,145,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,2,0,10,0,1,0,2,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,20,0,0,0,7,0,1,0,2,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,1,0,0,83,319,81,199,184,15,1,5,0,2,1,5,0,0,26,1,36,0,106,1,51,0,0,16,3,2,0,0,2,2,0,0,3,0,35,1,1,20,1,0,8,45,391,159,1,0,37,0,4,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,34,0,0,27,124,2,2,0,0,3,0,0,0,0,2,0,0,4,0,0,2,1,2,0,0,42,3,3,3,0,1,0,7,26,1,4,1,4,0,6,0,1,10,0,0,0,0,0,2,0,0,0,3,6,0,0,38
