"GeographyCode","QS301EW0001","QS301EW0002","QS301EW0003","QS301EW0004","QS301EW0005"
"E01000842",1444,1336,82,9,17
"E01000843",1678,1574,75,15,14
"E01000844",1772,1680,71,9,12
"E01000845",1464,1361,71,15,17
"E01000846",1501,1358,85,24,34
"E01000847",1686,1573,78,15,20
"E01000848",1588,1515,54,8,11
"E01000849",1569,1471,77,10,11
"E01000850",1694,1602,71,8,13
"E01000851",2383,2291,76,9,7
"E01000852",1587,1491,78,6,12
"E01000853",1631,1490,94,10,37
"E01000854",1833,1692,103,15,23
"E01000855",1764,1644,101,12,7
"E01000856",1645,1482,100,30,33
"E01000857",1447,1314,92,19,22
"E01000858",1861,1658,112,51,40
"E01000859",1586,1467,102,8,9
"E01000860",1307,1182,98,11,16
"E01000861",1574,1456,74,16,28
"E01000862",1712,1554,127,15,16
"E01000863",1481,1379,82,7,13
"E01000864",1537,1402,101,15,19
"E01000865",1505,1416,75,9,5
"E01000866",2030,1812,131,36,51
"E01000867",1608,1478,67,31,32
"E01000868",1442,1295,89,24,34
"E01000869",2110,1967,93,28,22
"E01000870",1693,1477,147,23,46
"E01000871",1664,1512,97,24,31
"E01000872",1902,1789,69,21,23
"E01000873",1639,1495,109,14,21
"E01000874",1559,1472,64,10,13
"E01000875",1654,1550,59,21,24
"E01000876",1748,1592,75,38,43
"E01000877",1574,1474,80,4,16
"E01000878",1624,1503,74,20,27
"E01000879",1458,1352,83,8,15
"E01000880",1602,1514,75,3,10
"E01000881",1510,1403,81,9,17
"E01000882",1513,1407,88,8,10
"E01000883",1326,1263,49,2,12
"E01000884",1469,1351,94,12,12
"E01000885",1484,1376,85,10,13
"E01000886",1445,1305,90,26,24
"E01000887",1486,1361,89,17,19
"E01000888",1605,1462,110,13,20
"E01000889",1670,1464,122,35,49
"E01000890",1640,1453,107,35,45
"E01000891",1575,1431,72,31,41
"E01000892",1843,1686,107,20,30
"E01000893",1566,1430,107,19,10
"E01000894",1389,1287,79,7,16
"E01000895",1630,1497,101,7,25
"E01000896",1692,1544,125,5,18
"E01000897",1597,1473,97,8,19
"E01000898",1729,1605,78,20,26
"E01000899",1667,1540,94,13,20
"E01000900",1801,1633,110,20,38
"E01000901",1977,1821,84,25,47
"E01000902",1451,1318,79,17,37
"E01000903",1439,1315,92,13,19
"E01000904",2120,1924,115,39,42
"E01000905",2044,1870,104,27,43
"E01000906",1532,1421,80,14,17
"E01000907",1430,1262,104,21,43
"E01000908",1581,1433,93,30,25
"E01000909",1614,1404,158,19,33
"E01000910",1472,1295,153,9,15
"E01000911",1559,1386,134,10,29
"E01000912",1589,1411,113,28,37
"E01000913",1710,1545,132,16,17
"E01000914",1762,1652,79,14,17
"E01000915",1527,1404,63,29,31
"E01000916",1796,1674,73,28,21
"E01000917",1888,1715,101,36,36
"E01000918",2090,1944,102,18,26
"E01000919",2014,1876,96,23,19
"E01000920",1946,1784,109,18,35
"E01000921",1966,1840,81,16,29
"E01000922",1547,1420,82,19,26
"E01000923",1494,1359,101,13,21
"E01000924",1637,1509,90,19,19
"E01000925",1563,1454,63,21,25
"E01000926",1791,1702,53,17,19
"E01000927",1738,1596,105,12,25
"E01000928",1681,1535,106,8,32
"E01000929",1675,1512,90,30,43
"E01000930",1910,1793,69,25,23
"E01000931",1910,1758,95,24,33
"E01000932",1838,1718,84,16,20
"E01000933",1671,1543,87,15,26
"E01000934",1619,1491,82,22,24
"E01000935",1415,1286,75,26,28
"E01000936",1839,1705,81,22,31
"E01000937",1504,1435,48,9,12
"E01000938",1752,1655,66,10,21
"E01000939",1223,1135,46,19,23
"E01000940",1130,1044,50,14,22
"E01000941",1230,1112,63,23,32
"E01000942",2111,2022,74,7,8
"E01000943",1054,995,44,3,12
"E01000944",1899,1785,57,28,29
"E01000945",1821,1701,77,21,22
"E01000946",1516,1417,58,22,19
"E01000947",1954,1807,85,27,35
"E01000948",1736,1592,103,22,19
"E01000949",1633,1484,89,30,30
"E01000950",1431,1296,71,24,40
"E01000951",1538,1400,70,27,41
"E01000952",1729,1552,86,39,52
"E01000953",1643,1469,98,28,48
"E01000954",1656,1541,61,20,34
"E01000955",1595,1450,78,24,43
"E01000956",1532,1392,89,24,27
"E01000957",1729,1590,92,22,25
"E01000958",2264,2087,122,16,39
"E01000959",1670,1508,81,28,53
"E01000960",1774,1655,80,15,24
"E01000961",1591,1465,80,15,31
"E01000962",1592,1508,61,10,13
"E01000963",1923,1818,59,24,22
"E01000964",1577,1458,87,10,22
"E01000965",1522,1435,55,16,16
"E01000966",1512,1412,82,12,6
"E01000967",1409,1275,100,16,18
"E01000968",1505,1415,65,10,15
"E01000969",2032,1950,63,9,10
"E01000970",1444,1370,53,6,15
"E01000971",1478,1369,77,18,14
"E01000972",2009,1833,113,27,36
"E01000973",1885,1725,94,32,34
"E01000974",1707,1559,90,23,35
