"GeographyCode","QS402EW0001","QS402EW0002","QS402EW0003","QS402EW0004","QS402EW0005","QS402EW0006","QS402EW0007","QS402EW0008","QS402EW0009","QS402EW0010","QS402EW0011","QS402EW0012"
"E02000166",3537,3491,1039,313,353,373,2452,1884,523,45,0,46
"E02000167",3629,3522,1245,141,447,657,2273,958,1192,123,4,107
"E02000168",3535,3457,970,71,195,704,2485,1000,1363,122,2,78
"E02000169",2942,2893,739,293,324,122,2154,869,1274,11,0,49
"E02000170",3685,3427,904,125,336,443,2522,1120,1294,108,1,258
"E02000171",3502,3390,841,37,193,611,2549,1090,1419,40,0,112
"E02000172",4186,4126,666,42,97,527,3458,2807,544,107,2,60
"E02000173",3569,3348,468,106,165,197,2880,1444,1350,86,0,221
"E02000174",3822,3750,669,37,308,324,3079,1399,1597,83,2,72
"E02000175",4277,3971,671,57,159,455,3299,1669,1490,140,1,306
"E02000176",3261,3063,287,36,102,149,2776,1130,1625,21,0,198
"E02000177",3865,3835,517,30,102,385,3318,2621,646,51,0,30
"E02000178",4280,4091,507,44,104,359,3583,1663,1855,65,1,189
"E02000179",2870,2741,479,27,114,338,2256,1516,679,61,6,129
"E02000180",3394,3309,610,40,188,382,2696,1443,1191,62,3,85
"E02000181",3657,3529,311,65,96,150,3217,1100,2109,8,1,128
"E02000182",2963,2896,385,96,97,192,2511,1873,598,40,0,67
"E02000183",3881,3738,805,35,168,602,2933,1602,1268,63,0,143
"E02000184",3655,3616,524,24,87,413,3086,2330,675,81,6,39
"E02000185",3938,3764,287,31,89,167,3476,2706,697,73,1,174
"E02000186",3099,3002,522,40,91,391,2471,1472,744,255,9,97
"E02000187",3290,3242,146,23,38,85,3092,2853,172,67,4,48
"E02000188",3170,3104,176,14,21,141,2928,2779,110,39,0,66
"E02000189",2253,2129,181,28,34,119,1947,1280,559,108,1,124
"E02000190",3181,3077,65,10,11,44,3012,2614,327,71,0,104
"E02000191",2868,2771,141,9,22,110,2629,2015,379,235,1,97
"E02000192",3375,3308,155,12,23,120,3153,2532,448,173,0,67
"E02000193",3850,3618,123,18,20,85,3494,2684,422,388,1,232
