"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E01000842",1368,712,422,290,3,125,37,88,500,487,3,4,6,28
"E01000843",1678,648,378,270,2,390,341,49,622,599,5,9,9,16
"E01000844",1772,785,388,397,2,100,31,69,866,843,4,14,5,19
"E01000845",1444,673,354,319,0,243,161,82,504,488,1,14,1,24
"E01000846",1499,411,209,202,3,836,798,38,229,221,0,8,0,20
"E01000847",1684,535,243,292,7,714,633,81,410,379,23,6,2,18
"E01000848",1580,829,475,354,10,111,81,30,601,580,3,16,2,29
"E01000849",1569,701,384,317,3,134,56,78,709,679,2,23,5,22
"E01000850",1281,285,165,120,11,236,104,132,716,644,22,24,26,33
"E01000851",1645,439,240,199,8,253,156,97,901,830,23,26,22,44
"E01000852",976,240,175,65,2,263,113,150,445,396,1,23,25,26
"E01000853",1596,281,126,155,9,1017,773,244,261,232,6,18,5,28
"E01000854",1643,303,147,156,4,599,487,112,663,610,10,32,11,74
"E01000855",1714,573,346,227,8,262,13,249,817,670,39,64,44,54
"E01000856",1645,308,145,163,5,900,657,243,429,405,0,19,5,3
"E01000857",1443,646,362,284,2,371,315,56,407,389,0,17,1,17
"E01000858",1861,280,124,156,12,1146,508,638,386,358,0,21,7,37
"E01000859",1586,864,467,397,14,165,59,106,529,503,4,15,7,14
"E01000860",1307,450,300,150,3,526,103,423,307,230,44,21,12,21
"E01000861",1574,380,165,215,7,567,453,114,602,572,0,24,6,18
"E01000862",1712,1025,558,467,0,117,55,62,543,517,6,18,2,27
"E01000863",1383,365,203,162,23,269,75,194,683,649,7,18,9,43
"E01000864",1537,556,253,303,2,443,227,216,523,488,0,35,0,13
"E01000865",977,467,206,261,1,237,118,119,261,243,2,11,5,11
"E01000866",2030,651,300,351,17,909,607,302,430,401,0,25,4,23
"E01000867",1608,302,100,202,15,757,607,150,520,469,4,12,35,14
"E01000868",1442,240,88,152,5,1005,970,35,177,174,0,3,0,15
"E01000869",2098,676,295,381,3,557,326,231,839,781,2,52,4,23
"E01000870",1693,547,203,344,12,783,682,101,336,319,6,10,1,15
"E01000871",1653,1000,509,491,27,245,204,41,370,353,0,15,2,11
"E01000872",1896,512,190,322,13,276,171,105,1086,1062,0,21,3,9
"E01000873",1639,875,411,464,0,228,85,143,524,504,5,15,0,12
"E01000874",1559,902,394,508,3,31,27,4,599,572,7,14,6,24
"E01000875",1646,477,191,286,11,274,101,173,871,850,0,18,3,13
"E01000876",1748,399,137,262,12,817,623,194,505,488,6,5,6,15
"E01000877",1546,704,272,432,3,129,64,65,689,662,0,23,4,21
"E01000878",1246,658,382,276,2,143,78,65,407,395,2,9,1,36
"E01000879",1305,661,382,279,1,119,112,7,502,493,2,6,1,22
"E01000880",1558,825,426,399,0,76,63,13,634,621,5,4,4,23
"E01000881",1451,447,299,148,5,192,137,55,776,773,0,3,0,31
"E01000882",1512,758,414,344,7,42,35,7,674,654,0,19,1,31
"E01000883",1319,479,261,218,13,86,66,20,715,686,3,11,15,26
"E01000884",1462,954,528,426,1,56,36,20,431,415,0,7,9,20
"E01000885",1410,812,574,238,5,136,114,22,406,400,0,5,1,51
"E01000886",1445,851,387,464,4,235,195,40,334,322,4,7,1,21
"E01000887",1478,673,288,385,6,277,257,20,504,483,0,16,5,18
"E01000888",1605,764,373,391,8,422,295,127,399,382,0,17,0,12
"E01000889",1670,277,86,191,5,1180,853,327,187,180,0,7,0,21
"E01000890",1625,162,43,119,14,1286,1263,23,140,128,4,7,1,23
"E01000891",1534,186,72,114,11,1053,990,63,263,253,0,9,1,21
"E01000892",1843,729,384,345,21,572,520,52,483,457,4,18,4,38
"E01000893",1566,980,613,367,14,63,42,21,496,466,0,23,7,13
"E01000894",1376,823,524,299,0,46,39,7,486,460,16,10,0,21
"E01000895",1629,585,359,226,3,347,288,59,651,605,16,23,7,43
"E01000896",1692,1050,657,393,0,52,32,20,569,555,2,12,0,21
"E01000897",1595,953,572,381,0,32,27,5,559,548,2,8,1,51
"E01000898",1688,424,262,162,4,701,359,342,533,498,21,2,12,26
"E01000899",1606,1126,718,408,0,26,19,7,403,393,2,4,4,51
"E01000900",1795,524,215,309,12,819,735,84,416,400,1,13,2,24
"E01000901",1821,248,78,170,49,1289,867,422,215,200,6,9,0,20
"E01000902",1451,227,112,115,22,951,874,77,233,215,0,18,0,18
"E01000903",1418,569,313,256,7,461,137,324,366,340,4,10,12,15
"E01000904",2120,447,193,254,21,1164,1021,143,486,464,1,16,5,2
"E01000905",1965,158,24,134,6,1546,1504,42,249,231,4,14,0,6
"E01000906",1532,696,390,306,0,241,232,9,570,536,0,28,6,25
"E01000907",1430,465,180,285,8,769,691,78,183,179,0,4,0,5
"E01000908",1581,533,230,303,5,810,793,17,211,183,1,19,8,22
"E01000909",1614,988,586,402,18,264,214,50,313,280,0,30,3,31
"E01000910",1472,957,596,361,1,213,180,33,274,256,7,11,0,27
"E01000911",1549,717,338,379,6,587,232,355,225,199,2,18,6,14
"E01000912",1589,451,203,248,32,809,668,141,264,246,4,14,0,33
"E01000913",1702,1314,764,550,3,33,23,10,300,277,11,12,0,52
"E01000914",1753,485,254,231,3,408,253,155,795,700,17,24,54,62
"E01000915",1527,233,108,125,8,979,846,133,289,259,9,15,6,18
"E01000916",1718,443,192,251,4,738,434,304,505,480,0,24,1,28
"E01000917",1855,170,47,123,0,1399,898,501,261,248,0,8,5,25
"E01000918",1885,428,202,226,11,790,436,354,607,593,0,8,6,49
"E01000919",1658,442,137,305,18,599,217,382,560,531,12,13,4,39
"E01000920",1921,484,223,261,0,665,401,264,727,672,7,32,16,45
"E01000921",1963,589,233,356,36,462,194,268,838,821,4,11,2,38
"E01000922",1537,364,171,193,45,642,385,257,467,458,0,7,2,19
"E01000923",1436,710,320,390,7,455,261,194,255,239,8,7,1,9
"E01000924",1637,664,307,357,2,434,306,128,514,494,2,12,6,23
"E01000925",1552,340,94,246,2,957,901,56,235,213,1,19,2,18
"E01000926",1791,379,146,233,2,565,500,65,821,793,3,12,13,24
"E01000927",1732,824,414,410,14,361,273,88,519,492,1,25,1,14
"E01000928",1620,698,323,375,7,604,486,118,285,274,0,11,0,26
"E01000929",1675,324,137,187,5,950,889,61,382,364,1,9,8,14
"E01000930",1910,307,106,201,8,838,550,288,731,681,2,35,13,26
"E01000931",1902,343,82,261,5,865,665,200,675,656,0,9,10,14
"E01000932",1825,609,275,334,3,468,345,123,739,713,0,22,4,6
"E01000933",1671,592,255,337,11,292,192,100,763,753,0,8,2,13
"E01000934",1542,240,109,131,99,775,628,147,375,352,6,8,9,53
"E01000935",1415,173,67,106,4,1000,796,204,223,218,0,4,1,15
"E01000936",1360,231,122,109,8,841,394,447,265,248,0,12,5,15
"E01000937",943,178,104,74,0,356,300,56,383,354,2,11,16,26
"E01000938",1726,143,70,73,8,884,431,453,652,643,0,7,2,39
"E01000939",1197,121,45,76,4,777,666,111,247,240,0,6,1,48
"E01000940",1124,94,40,54,4,749,326,423,242,186,0,12,44,35
"E01000941",1203,111,49,62,0,929,620,309,143,125,0,13,5,20
"E01000942",1181,305,185,120,5,305,298,7,528,498,3,21,6,38
"E01000943",991,228,119,109,0,289,135,154,438,419,5,9,5,36
"E01000944",1899,231,105,126,6,932,808,124,715,693,0,22,0,15
"E01000945",1493,227,101,126,14,686,538,148,541,506,0,28,7,25
"E01000946",1475,462,307,155,18,479,226,253,456,374,24,17,41,60
"E01000947",1925,430,191,239,10,525,401,124,945,920,6,14,5,15
"E01000948",1708,640,350,290,2,538,444,94,493,457,12,9,15,35
"E01000949",1578,128,68,60,11,1244,398,846,186,158,0,15,13,9
"E01000950",1431,193,71,122,0,950,937,13,251,240,0,9,2,37
"E01000951",1538,233,90,143,10,963,911,52,320,306,2,12,0,12
"E01000952",1728,219,87,132,7,1098,1032,66,385,363,5,17,0,19
"E01000953",1643,282,91,191,4,1052,1026,26,287,275,0,7,5,18
"E01000954",1656,147,93,54,3,1318,1005,313,175,167,0,6,2,13
"E01000955",1505,66,14,52,8,1244,320,924,155,142,4,8,1,32
"E01000956",1532,134,44,90,16,1004,731,273,353,330,5,9,9,25
"E01000957",1729,330,130,200,84,709,531,178,586,544,0,34,8,20
"E01000958",2108,247,84,163,128,1074,760,314,640,598,0,30,12,19
"E01000959",1670,251,109,142,21,1033,1009,24,356,343,0,4,9,9
"E01000960",1774,596,297,299,1,388,340,48,743,726,4,13,0,46
"E01000961",1591,462,243,219,19,655,549,106,414,401,2,9,2,41
"E01000962",1592,693,310,383,5,98,51,47,782,764,0,11,7,14
"E01000963",1864,620,364,256,4,171,50,121,984,933,20,18,13,85
"E01000964",1577,518,211,307,3,525,308,217,512,482,5,18,7,19
"E01000965",1522,626,274,352,3,302,212,90,579,559,0,14,6,12
"E01000966",1508,812,403,409,2,59,53,6,621,607,0,14,0,14
"E01000967",1409,778,474,304,8,166,108,58,425,405,12,5,3,32
"E01000968",1504,572,276,296,2,270,152,118,646,607,18,16,5,14
"E01000969",2032,809,360,449,7,100,69,31,1083,1033,4,38,8,33
