"GeographyCode","QS404EW0001","QS404EW0002","QS404EW0003","QS404EW0004","QS404EW0005","QS404EW0006","QS404EW0007"
"E01000842",152,105,3,4,17,20,3
"E01000843",138,87,0,27,2,17,5
"E01000844",129,83,0,4,13,24,5
"E01000845",125,87,0,13,2,19,4
"E01000846",155,43,2,84,20,6,0
"E01000847",137,64,0,61,3,9,0
"E01000848",150,100,0,23,10,14,3
"E01000849",163,113,0,7,10,31,2
"E01000850",110,52,1,11,5,40,1
"E01000851",88,39,1,14,10,19,5
"E01000852",122,60,0,23,13,24,2
"E01000853",258,49,0,173,21,12,3
"E01000854",103,40,0,46,9,7,1
"E01000855",175,104,2,2,28,34,5
"E01000856",74,24,0,39,7,3,1
"E01000857",166,91,1,51,7,15,1
"E01000858",107,22,0,59,20,3,3
"E01000859",140,91,3,9,14,17,6
"E01000860",248,65,2,16,144,18,3
"E01000861",76,27,0,32,5,12,0
"E01000862",163,135,0,9,2,12,5
"E01000863",68,28,1,8,12,17,2
"E01000864",89,46,0,20,13,7,3
"E01000865",73,42,0,12,9,6,4
"E01000866",177,79,0,62,24,9,3
"E01000867",119,16,0,58,40,5,0
"E01000868",64,11,0,51,0,1,1
"E01000869",149,58,0,28,43,19,1
"E01000870",132,50,0,64,2,14,2
"E01000871",122,80,1,17,5,15,4
"E01000872",85,36,0,17,1,30,1
"E01000873",117,87,0,9,12,9,0
"E01000874",143,115,0,6,0,20,2
"E01000875",111,46,6,13,16,25,5
"E01000876",127,22,0,81,13,8,3
"E01000877",85,50,0,6,17,10,2
"E01000878",158,121,0,17,2,13,5
"E01000879",133,101,0,12,0,19,1
"E01000880",106,74,0,11,1,17,3
"E01000881",100,61,0,18,3,16,2
"E01000882",125,101,1,4,0,17,2
"E01000883",117,64,1,12,13,24,3
"E01000884",122,106,1,3,0,9,3
"E01000885",201,161,1,18,0,13,8
"E01000886",107,74,0,21,1,8,3
"E01000887",110,69,0,27,0,12,2
"E01000888",114,64,1,26,11,9,3
"E01000889",128,20,0,96,12,0,0
"E01000890",198,12,0,177,2,6,1
"E01000891",119,12,0,97,4,4,2
"E01000892",180,107,1,53,2,10,7
"E01000893",159,135,2,6,2,13,1
"E01000894",153,128,0,6,1,13,5
"E01000895",230,93,1,101,5,20,10
"E01000896",198,168,0,7,4,16,3
"E01000897",165,139,0,7,0,18,1
"E01000898",146,49,1,79,4,6,7
"E01000899",184,155,0,3,1,17,8
"E01000900",143,55,1,66,8,10,3
"E01000901",94,16,0,54,22,2,0
"E01000902",117,14,0,64,30,6,3
"E01000903",162,74,0,16,60,10,2
"E01000904",163,41,1,109,9,2,1
"E01000905",202,5,0,189,5,2,1
"E01000906",165,119,0,23,2,17,4
"E01000907",113,35,0,73,2,3,0
"E01000908",162,57,0,102,1,2,0
"E01000909",188,143,1,22,6,10,6
"E01000910",137,108,0,20,3,4,2
"E01000911",145,65,0,20,53,6,1
"E01000912",167,54,4,93,12,3,1
"E01000913",209,194,2,0,2,8,3
"E01000914",161,53,0,37,17,50,4
"E01000915",116,21,0,69,17,8,1
"E01000916",116,34,0,52,15,11,4
"E01000917",131,12,0,77,37,2,3
"E01000918",171,69,1,57,32,9,3
"E01000919",114,19,2,56,29,8,0
"E01000920",135,29,0,61,23,16,6
"E01000921",87,35,0,14,17,19,2
"E01000922",94,25,0,57,5,5,2
"E01000923",85,49,0,18,10,7,1
"E01000924",109,55,0,33,10,7,4
"E01000925",148,29,0,108,6,5,0
"E01000926",82,23,0,53,1,5,0
"E01000927",138,89,1,32,5,7,4
"E01000928",122,51,1,51,8,9,2
"E01000929",126,33,1,82,4,4,2
"E01000930",282,25,0,71,158,25,3
"E01000931",141,26,0,82,13,19,1
"E01000932",121,39,0,64,7,8,3
"E01000933",142,55,1,52,7,26,1
"E01000934",144,25,3,56,39,18,3
"E01000935",79,16,0,51,8,3,1
"E01000936",86,18,1,20,35,8,4
"E01000937",60,22,0,20,2,14,2
"E01000938",69,6,0,23,32,5,3
"E01000939",86,14,0,63,6,1,2
"E01000940",101,10,0,47,31,9,4
"E01000941",95,16,0,63,10,4,2
"E01000942",96,56,0,27,1,11,1
"E01000943",67,44,0,11,8,4,0
"E01000944",99,18,1,59,17,1,3
"E01000945",76,19,0,44,11,2,0
"E01000946",151,77,2,40,8,19,5
"E01000947",80,30,0,34,4,11,1
"E01000948",170,87,0,47,29,6,1
"E01000949",156,11,0,36,92,16,1
"E01000950",89,14,0,70,1,2,2
"E01000951",150,34,3,111,1,0,1
"E01000952",131,22,0,98,3,2,6
"E01000953",189,33,0,150,1,2,3
"E01000954",119,18,0,67,31,3,0
"E01000955",131,6,0,27,95,1,2
"E01000956",56,8,1,34,7,4,2
"E01000957",94,41,7,29,8,7,2
"E01000958",77,12,0,56,3,2,4
"E01000959",156,23,1,125,0,3,4
"E01000960",135,87,0,20,7,19,2
"E01000961",138,71,1,46,8,7,5
"E01000962",72,52,1,6,2,11,0
"E01000963",203,130,0,13,12,42,6
"E01000964",125,53,1,30,25,12,4
"E01000965",110,67,0,19,13,11,0
"E01000966",104,76,0,6,0,21,1
"E01000967",165,121,2,14,7,19,2
"E01000968",115,38,0,14,45,17,1
"E01000969",123,81,0,10,3,27,2
"E01000970",73,47,1,6,5,13,1
"E01000971",98,65,1,12,2,16,2
"E01000972",143,37,0,66,21,13,6
"E01000973",95,30,0,30,17,15,3
"E01000974",117,33,0,26,38,19,1
