"GeographyCode","QS405EW0001","QS405EW0002","QS405EW0003","QS405EW0004","QS405EW0005","QS405EW0006","QS405EW0007","QS405EW0008","QS405EW0009","QS405EW0010","QS405EW0011","QS405EW0012","QS405EW0013","QS405EW0014"
"E00004120",143,65,40,25,0,14,7,7,57,55,0,1,1,7
"E00004121",118,56,37,19,0,27,0,27,33,30,0,2,1,2
"E00004122",103,59,28,31,0,0,0,0,43,42,0,1,0,1
"E00004123",108,65,33,32,0,7,2,5,32,21,11,0,0,4
"E00004124",100,52,31,21,0,4,4,0,41,41,0,0,0,3
"E00004125",178,74,46,28,1,1,1,0,100,96,0,4,0,2
"E00004126",144,58,36,22,0,18,16,2,62,61,0,1,0,6
"E00004127",124,46,22,24,1,30,5,25,42,39,1,2,0,5
"E00004128",161,82,51,31,1,12,11,1,63,58,1,4,0,3
"E00004129",142,58,32,26,0,14,11,3,67,66,0,1,0,3
"E00004130",128,56,34,22,0,9,5,4,62,60,0,1,1,1
"E00004131",119,73,44,29,0,6,6,0,37,35,0,1,1,3
"E00004132",92,48,27,21,2,1,1,0,38,36,0,2,0,3
"E00004133",118,42,17,25,0,14,8,6,61,60,0,1,0,1
"E00004134",100,48,33,15,0,3,1,2,45,43,1,1,0,4
"E00004135",105,32,15,17,0,2,1,1,68,66,0,2,0,3
"E00004136",110,55,31,24,0,2,2,0,52,49,1,2,0,1
"E00004137",147,80,46,34,0,22,7,15,45,45,0,0,0,0
"E00004138",142,39,28,11,0,51,44,7,51,51,0,0,0,1
"E00004139",140,9,3,6,0,113,104,9,17,15,0,0,2,1
"E00004140",111,55,40,15,0,2,2,0,54,54,0,0,0,0
"E00004141",114,40,20,20,1,46,2,44,25,24,0,0,1,2
"E00004142",133,70,40,30,0,9,6,3,52,50,0,2,0,2
"E00004143",126,61,27,34,0,14,2,12,50,49,0,1,0,1
"E00004144",102,66,46,20,0,1,1,0,35,32,0,1,2,0
"E00004145",110,60,40,20,1,8,3,5,40,40,0,0,0,1
"E00004146",126,52,28,24,0,17,12,5,55,54,0,1,0,2
"E00004147",126,55,37,18,1,1,1,0,67,66,0,1,0,2
"E00004148",106,63,40,23,0,1,1,0,41,40,1,0,0,1
"E00004149",149,87,54,33,0,4,3,1,57,56,0,1,0,1
"E00004150",147,59,26,33,0,6,6,0,79,78,0,1,0,3
"E00004151",148,82,35,47,0,2,1,1,62,62,0,0,0,2
"E00004152",113,69,48,21,1,4,0,4,37,36,1,0,0,2
"E00004153",108,42,23,19,0,16,3,13,48,45,0,2,1,2
"E00004154",122,56,32,24,0,0,0,0,64,63,0,0,1,2
"E00004155",103,56,29,27,0,3,2,1,44,41,3,0,0,0
"E00004156",126,44,28,16,1,14,5,9,65,63,0,2,0,2
"E00004157",94,46,24,22,0,3,0,3,42,42,0,0,0,3
"E00004158",124,24,10,14,0,68,59,9,31,29,0,2,0,1
