"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E01000842",724,340,230,75,57,18,3,1,0
"E01000843",846,354,288,107,70,19,6,1,1
"E01000844",870,362,271,125,75,29,8,0,0
"E01000845",731,340,213,91,57,17,9,1,3
"E01000846",616,220,148,101,85,40,16,4,2
"E01000847",677,233,173,93,106,46,15,8,3
"E01000848",805,348,282,77,57,37,4,0,0
"E01000849",862,466,211,102,56,16,7,3,1
"E01000850",664,324,196,60,56,20,6,1,1
"E01000851",861,423,251,96,52,24,7,6,2
"E01000852",625,388,156,52,25,4,0,0,0
"E01000853",840,469,189,79,62,23,5,9,4
"E01000854",718,310,156,80,130,21,8,6,7
"E01000855",1111,750,210,77,62,8,3,1,0
"E01000856",628,205,153,93,87,56,21,6,7
"E01000857",686,301,184,96,57,36,10,1,1
"E01000858",775,287,199,121,90,39,23,11,5
"E01000859",807,380,223,94,77,28,5,0,0
"E01000860",797,515,164,47,49,13,6,1,2
"E01000861",729,315,204,87,71,32,7,7,6
"E01000862",816,293,309,102,76,30,5,0,1
"E01000863",667,255,242,83,58,18,7,1,3
"E01000864",717,265,251,98,73,18,6,2,4
"E01000865",451,182,135,49,53,26,6,0,0
"E01000866",926,364,275,129,98,37,14,4,5
"E01000867",675,239,214,87,61,37,20,12,5
"E01000868",584,219,143,73,84,35,13,13,4
"E01000869",967,364,314,140,99,27,14,5,4
"E01000870",774,316,221,107,80,32,11,1,6
"E01000871",632,183,176,101,84,60,21,4,3
"E01000872",913,382,282,113,91,29,13,2,1
"E01000873",710,235,201,147,87,34,2,2,2
"E01000874",704,227,246,125,76,22,5,3,0
"E01000875",839,369,275,99,63,21,11,1,0
"E01000876",800,342,215,97,84,36,16,7,3
"E01000877",726,274,228,122,74,16,10,2,0
"E01000878",550,188,181,80,65,25,6,5,0
"E01000879",602,237,179,78,75,25,7,0,1
"E01000880",621,191,171,104,86,52,12,3,2
"E01000881",632,247,187,74,57,48,11,2,6
"E01000882",728,281,258,85,74,20,8,0,2
"E01000883",638,258,211,87,50,19,9,3,1
"E01000884",577,181,151,85,100,38,20,2,0
"E01000885",592,172,213,75,84,40,6,1,1
"E01000886",606,187,184,105,89,33,4,3,1
"E01000887",690,262,228,98,63,27,9,1,2
"E01000888",697,252,212,87,92,34,14,4,2
"E01000889",657,224,153,102,100,49,24,1,4
"E01000890",767,357,191,87,66,46,13,3,4
"E01000891",672,279,185,69,75,28,25,4,7
"E01000892",823,308,252,108,100,34,14,3,4
"E01000893",715,281,204,114,66,34,12,3,1
"E01000894",619,209,213,83,85,22,7,0,0
"E01000895",841,403,234,97,81,20,3,1,2
"E01000896",756,258,254,103,100,31,9,0,1
"E01000897",721,243,262,84,92,32,8,0,0
"E01000898",850,418,225,61,111,24,9,1,1
"E01000899",698,229,230,101,86,42,10,0,0
"E01000900",757,256,229,112,100,37,13,3,7
"E01000901",703,228,160,128,97,57,22,6,5
"E01000902",590,216,151,88,66,35,18,9,7
"E01000903",686,301,195,87,72,15,10,5,1
"E01000904",918,309,297,141,101,45,14,9,2
"E01000905",812,300,211,124,87,49,24,9,8
"E01000906",788,319,307,90,43,20,7,1,1
"E01000907",627,207,204,107,67,32,8,0,2
"E01000908",827,420,207,89,80,26,5,0,0
"E01000909",661,199,198,119,82,48,12,2,1
"E01000910",588,173,175,96,89,39,11,1,4
"E01000911",663,220,213,89,96,27,11,5,2
