"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E02000166",3537,1306,1048,538,408,175,49,9,4
"E02000167",3629,1380,1135,498,418,149,41,4,4
"E02000168",3535,1274,1059,509,462,158,51,10,12
"E02000169",2942,969,895,422,410,180,51,11,4
"E02000170",3685,1301,1133,608,412,161,51,13,6
"E02000171",3502,1310,1071,485,416,143,51,16,10
"E02000172",4186,1559,1110,621,485,237,112,33,29
"E02000173",3569,1447,1143,391,384,143,45,6,10
"E02000174",3822,1437,1110,508,500,161,65,20,21
"E02000175",4277,1724,1379,603,399,111,40,12,9
"E02000176",3261,1516,994,379,245,100,22,4,1
"E02000177",3865,1400,1195,555,397,186,76,31,25
"E02000178",4280,1828,1319,572,329,138,64,14,16
"E02000179",2870,1147,822,392,318,122,46,14,9
"E02000180",3394,1269,1057,447,370,143,59,32,17
"E02000181",3657,1345,1268,572,333,88,34,8,9
"E02000182",2963,1054,927,473,311,145,35,12,6
"E02000183",3881,1776,1079,460,349,146,49,13,9
"E02000184",3655,1284,1023,552,455,215,72,33,21
"E02000185",3938,1792,1015,508,378,157,63,15,10
"E02000186",3099,1273,966,391,316,104,29,8,12
"E02000187",3290,1221,794,487,421,212,99,25,31
"E02000188",3170,1164,713,437,478,232,89,38,19
"E02000189",2253,908,524,289,276,146,70,22,18
"E02000190",3181,1747,744,347,215,70,31,16,11
"E02000191",2868,1445,759,288,263,69,21,13,10
"E02000192",3375,1506,970,409,264,127,69,16,14
"E02000193",3850,2149,963,344,233,77,27,47,10
