"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E00004120",143,52,58,16,16,0,1,0,0
"E00004121",118,42,43,13,17,3,0,0,0
"E00004122",103,40,26,14,15,6,2,0,0
"E00004123",108,20,32,21,26,9,0,0,0
"E00004124",100,62,16,11,8,1,2,0,0
"E00004125",178,119,36,16,6,1,0,0,0
"E00004126",144,65,48,19,4,8,0,0,0
"E00004127",124,43,44,23,9,3,1,0,1
"E00004128",161,80,53,9,16,2,1,0,0
"E00004129",142,56,62,16,4,3,1,0,0
"E00004130",128,59,35,14,9,7,2,2,0
"E00004131",119,41,38,13,12,14,1,0,0
"E00004132",92,32,34,11,12,3,0,0,0
"E00004133",118,51,27,20,14,3,2,1,0
"E00004134",100,51,28,7,11,2,1,0,0
"E00004135",105,74,26,3,2,0,0,0,0
"E00004136",110,47,34,12,12,2,2,1,0
"E00004137",147,74,47,9,9,7,1,0,0
"E00004138",142,88,36,8,9,1,0,0,0
"E00004139",140,22,62,42,10,3,1,0,0
"E00004140",111,49,42,11,5,4,0,0,0
"E00004141",114,64,34,8,8,0,0,0,0
"E00004142",133,76,28,17,6,6,0,0,0
"E00004143",126,58,42,13,7,3,3,0,0
"E00004144",102,31,34,20,14,3,0,0,0
"E00004145",110,48,40,11,9,1,1,0,0
"E00004146",126,57,45,8,8,5,2,0,1
"E00004147",126,58,49,10,6,3,0,0,0
"E00004148",106,71,13,15,4,1,2,0,0
"E00004149",149,53,50,23,20,3,0,0,0
"E00004150",147,56,43,32,14,2,0,0,0
"E00004151",148,71,53,15,7,1,1,0,0
"E00004152",113,51,28,12,13,7,1,1,0
"E00004153",108,51,37,8,8,3,0,0,1
"E00004154",122,48,42,16,5,11,0,0,0
"E00004155",103,33,26,22,13,7,2,0,0
"E00004156",126,69,31,13,12,1,0,0,0
"E00004157",94,30,25,19,14,4,1,1,0
"E00004158",124,57,27,17,11,4,5,1,2
"E00004159",160,62,33,24,21,12,6,2,0
"E00004160",103,46,26,15,11,3,2,0,0
"E00004161",96,37,33,13,7,5,1,0,0
"E00004162",128,56,44,16,7,2,3,0,0
"E00004163",163,59,46,24,18,9,2,3,2
"E00004164",160,62,35,28,17,12,4,1,1
"E00004165",146,57,36,17,23,7,4,2,0
"E00004166",157,57,33,17,24,15,7,3,1
"E00004167",99,20,29,15,22,9,3,0,1
"E00004168",109,58,27,15,8,1,0,0,0
"E00004169",149,70,39,21,14,4,1,0,0
"E00004172",148,85,48,13,1,1,0,0,0
"E00004173",127,83,30,8,5,1,0,0,0
"E00004174",131,68,17,16,26,4,0,0,0
"E00004175",128,73,28,13,4,5,0,1,4
"E00004177",74,53,15,3,2,1,0,0,0
"E00004179",190,113,42,17,12,5,1,0,0
"E00004180",128,58,23,15,29,1,1,1,0
"E00004181",212,127,54,15,9,5,0,2,0
"E00004182",76,39,16,12,0,3,2,4,0
"E00004183",106,59,26,7,8,4,1,1,0
"E00004184",112,56,31,10,13,2,0,0,0
"E00004185",171,71,26,18,47,6,3,0,0
"E00004187",226,95,69,27,14,13,3,5,0
"E00004188",109,65,23,14,6,1,0,0,0
"E00004189",118,45,28,10,34,1,0,0,0
"E00004190",384,313,60,6,5,0,0,0,0
"E00004193",119,50,36,13,18,1,1,0,0
"E00004194",144,79,41,15,6,2,0,0,1
"E00004195",133,50,41,9,17,12,4,0,0
"E00004196",101,50,29,5,11,4,1,0,1
"E00004197",116,45,40,16,13,0,2,0,0
"E00004198",182,87,51,22,17,3,2,0,0
"E00004199",163,89,42,20,9,2,0,1,0
"E00004200",136,75,37,11,6,3,2,1,1
"E00004201",144,69,47,10,13,3,2,0,0
"E00004202",160,153,5,0,2,0,0,0,0
"E00004203",164,65,64,18,13,4,0,0,0
"E00004204",149,58,65,17,7,2,0,0,0
"E00004205",145,36,53,29,18,5,3,0,1
"E00004206",127,48,29,23,14,6,3,2,2
"E00004207",128,38,28,17,20,15,8,0,2
"E00004208",125,42,35,17,21,6,2,2,0
"E00004209",113,40,29,18,16,6,3,1,0
"E00004210",126,46,25,18,20,12,3,1,1
"E00004211",124,44,33,15,17,11,1,2,1
"E00004212",134,42,42,20,14,12,2,1,1
"E00004213",167,49,42,30,22,10,8,3,3
"E00004214",243,108,64,33,17,11,7,3,0
"E00004215",129,58,36,15,11,5,3,1,0
"E00004216",146,69,33,21,15,7,1,0,0
"E00004217",141,76,40,13,11,1,0,0,0
"E00004218",131,49,38,19,11,10,3,0,1
"E00004219",190,102,40,26,14,5,2,0,1
"E00004220",87,44,22,11,4,3,3,0,0
"E00004221",111,43,35,19,9,4,1,0,0
"E00004222",109,55,28,11,8,7,0,0,0
"E00004223",116,35,25,23,16,6,7,2,2
"E00004224",147,77,33,18,12,7,0,0,0
"E00004225",195,82,74,18,11,6,2,0,2
"E00004226",119,52,25,21,14,7,0,0,0
"E00004227",145,75,44,12,9,2,0,1,2
"E00004228",107,49,38,8,6,5,1,0,0
"E00004229",174,74,75,15,7,2,0,0,1
"E00004230",130,56,36,15,16,3,1,1,2
"E00004231",142,51,40,20,21,7,3,0,0
"E00004232",132,88,32,3,5,3,1,0,0
"E00004233",124,58,39,14,12,1,0,0,0
"E00004234",124,46,52,15,9,1,1,0,0
"E00004235",163,72,51,18,16,3,2,1,0
"E00004236",150,62,43,18,15,8,1,3,0
"E00004237",123,44,47,13,10,6,2,0,1
"E00004238",126,45,34,18,22,7,0,0,0
"E00004239",111,59,22,15,11,1,3,0,0
"E00004240",136,51,38,15,16,10,1,3,2
"E00004241",133,44,48,18,16,5,2,0,0
"E00004242",105,71,14,7,9,4,0,0,0
"E00004243",110,26,35,19,15,13,2,0,0
"E00004244",100,36,15,17,15,4,3,8,2
"E00004245",163,74,57,16,7,4,3,1,1
"E00004246",121,51,34,11,15,8,2,0,0
"E00004247",156,64,55,15,16,5,1,0,0
"E00004248",207,91,49,33,19,11,2,1,1
"E00004249",114,40,51,13,6,3,1,0,0
"E00004250",127,54,34,17,13,8,1,0,0
"E00004251",95,33,24,12,18,6,2,0,0
"E00004252",115,46,35,12,14,6,1,0,1
"E00004253",132,49,47,13,9,9,2,3,0
"E00004254",119,38,25,22,22,4,5,1,2
"E00004255",128,50,33,21,17,7,0,0,0
"E00004256",149,46,50,27,10,8,5,2,1
"E00004257",113,28,51,14,13,5,0,1,1
"E00004258",111,46,28,19,15,1,2,0,0
"E00004259",104,32,21,11,13,9,10,5,3
"E00004260",136,92,21,11,8,3,1,0,0
"E00004261",114,44,30,11,15,10,1,2,1
"E00004262",114,40,27,18,16,9,4,0,0
"E00004263",121,23,29,13,32,14,5,4,1
"E00004264",176,68,66,25,14,1,2,0,0
"E00004265",112,54,26,16,9,4,1,0,2
"E00004266",156,71,37,23,13,6,3,1,2
"E00004268",142,70,27,13,17,9,4,0,2
"E00004269",121,51,45,14,8,2,1,0,0
"E00004270",189,62,66,27,14,10,5,4,1
"E00004271",142,44,48,22,22,2,4,0,0
"E00004272",113,27,44,19,15,7,1,0,0
"E00004273",159,53,54,24,16,8,2,1,1
"E00004274",130,43,42,22,18,4,1,0,0
"E00004275",104,44,38,12,8,1,1,0,0
"E00004276",122,44,35,19,18,5,1,0,0
"E00004277",135,63,42,16,11,2,0,0,1
"E00004278",102,37,35,15,10,4,1,0,0
"E00004279",134,50,52,15,11,1,2,1,2
"E00004280",108,44,43,9,7,4,1,0,0
"E00004281",115,33,52,18,10,0,0,1,1
"E00004282",149,64,49,18,9,4,5,0,0
"E00004283",137,65,43,10,12,6,0,0,1
"E00004284",128,62,35,16,10,4,0,1,0
"E00004285",144,69,45,16,10,1,3,0,0
"E00004286",158,70,56,19,11,1,1,0,0
"E00004287",111,32,36,19,18,4,2,0,0
"E00004288",166,80,52,15,12,3,2,2,0
"E00004289",129,64,44,9,8,3,1,0,0
"E00004290",164,77,55,18,7,5,2,0,0
"E00004291",138,50,34,19,21,8,3,1,2
"E00004292",121,40,25,16,18,13,6,3,0
"E00004293",119,46,30,18,15,5,4,1,0
"E00004294",119,61,31,19,6,1,1,0,0
"E00004295",175,68,54,25,16,10,1,1,0
"E00004296",133,42,30,20,11,13,11,3,3
"E00004297",154,67,48,29,9,1,0,0,0
"E00004298",112,24,37,14,18,15,4,0,0
"E00004299",135,45,46,24,12,4,3,1,0
"E00004300",111,37,28,20,17,6,2,0,1
"E00004301",241,110,65,20,33,8,4,1,0
"E00004302",143,59,44,16,15,6,3,0,0
"E00004303",113,22,31,32,22,5,1,0,0
"E00004304",178,63,53,31,24,4,2,1,0
"E00004305",134,32,39,27,22,10,2,2,0
"E00004306",157,65,52,19,17,3,1,0,0
"E00004307",150,44,44,27,25,8,1,0,1
"E00004308",123,44,34,24,13,7,0,1,0
"E00004309",115,30,36,22,19,6,2,0,0
"E00004310",128,38,38,28,16,5,2,1,0
"E00004311",99,27,24,10,17,17,4,0,0
"E00004312",150,62,34,30,19,5,0,0,0
"E00004313",131,42,49,25,11,4,0,0,0
"E00004314",153,68,42,20,18,3,1,1,0
"E00004315",154,50,68,26,10,0,0,0,0
"E00004316",122,51,41,19,3,6,2,0,0
"E00004317",161,44,56,27,21,11,1,0,1
"E00004318",126,41,33,39,9,3,0,1,0
"E00004319",143,57,62,18,5,0,1,0,0
"E00004320",112,31,39,17,19,4,2,0,0
"E00004321",114,29,39,20,13,8,2,1,2
