"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E01000842",724,33,80,188,205,109,50,10,14,35
"E01000843",846,188,98,174,177,102,48,23,13,23
"E01000844",870,89,91,157,230,144,74,45,15,25
"E01000845",731,30,90,156,216,117,60,22,11,29
"E01000846",616,33,63,76,179,141,78,29,7,10
"E01000847",677,22,62,103,180,140,85,41,28,16
"E01000848",805,53,75,181,216,144,49,35,21,31
"E01000849",862,89,154,173,275,75,24,16,15,41
"E01000850",664,32,122,181,192,59,44,14,14,6
"E01000851",861,71,216,257,188,55,31,16,7,20
"E01000852",625,138,105,166,166,34,4,4,2,6
"E01000853",840,68,93,345,264,56,4,5,2,3
"E01000854",718,55,119,216,157,93,40,21,12,5
"E01000855",1111,357,240,178,155,92,55,9,9,16
"E01000856",628,14,80,121,184,125,75,15,7,7
"E01000857",686,20,84,157,159,94,47,50,31,44
"E01000858",775,16,96,226,168,162,80,10,6,11
"E01000859",807,39,136,174,154,115,39,46,41,63
"E01000860",797,129,207,173,121,70,33,16,16,32
"E01000861",729,42,139,180,197,82,49,25,7,8
"E01000862",816,20,99,201,201,101,45,42,35,72
"E01000863",667,54,122,177,139,68,35,19,24,29
"E01000864",717,13,82,236,152,124,47,35,12,16
"E01000865",451,11,44,85,102,75,56,29,21,28
"E01000866",926,31,148,263,209,114,65,35,30,31
"E01000867",675,36,95,159,203,106,55,7,5,9
"E01000868",584,56,99,162,119,88,31,13,9,7
"E01000869",967,50,110,263,283,136,51,31,25,18
"E01000870",774,23,142,190,177,114,48,37,20,23
"E01000871",632,26,54,79,109,92,55,47,68,102
"E01000872",913,165,140,170,202,119,33,23,28,33
"E01000873",710,31,67,106,150,146,70,65,33,42
"E01000874",704,35,51,100,140,115,104,95,47,17
"E01000875",839,117,98,168,247,116,45,12,9,27
"E01000876",800,49,97,218,191,143,73,15,9,5
"E01000877",726,106,70,129,123,123,90,42,20,23
"E01000878",550,4,30,64,140,168,61,21,18,44
"E01000879",602,15,64,101,133,122,64,28,28,47
"E01000880",621,23,41,77,132,159,70,34,16,69
"E01000881",632,75,65,115,141,112,57,23,21,23
"E01000882",728,43,57,162,187,149,60,18,21,31
"E01000883",638,60,80,116,178,128,34,19,8,15
"E01000884",577,16,25,56,103,103,47,35,52,140
"E01000885",592,6,16,36,117,154,75,45,54,89
"E01000886",606,17,34,143,148,91,63,36,33,41
"E01000887",690,15,60,208,173,83,60,41,33,17
"E01000888",697,27,56,200,154,89,30,51,42,48
"E01000889",657,6,38,169,189,178,55,16,5,1
"E01000890",767,41,118,242,123,202,25,9,5,2
"E01000891",672,91,143,192,88,83,44,15,9,7
"E01000892",823,28,100,164,247,135,59,24,22,44
"E01000893",715,15,77,150,187,87,51,34,41,73
"E01000894",619,10,51,109,107,80,81,58,44,79
"E01000895",841,41,72,221,230,140,58,23,30,26
"E01000896",756,17,70,144,146,120,55,45,56,103
"E01000897",721,22,31,98,234,135,79,34,26,62
"E01000898",850,127,193,200,114,87,62,27,10,30
"E01000899",698,6,23,84,125,111,118,64,64,103
"E01000900",757,20,67,184,180,162,68,37,26,13
"E01000901",703,32,101,125,272,128,28,8,2,7
"E01000902",590,14,81,125,166,158,23,10,5,8
"E01000903",686,18,79,166,201,114,71,11,11,15
"E01000904",918,43,88,230,240,221,69,11,10,6
"E01000905",812,40,119,194,219,188,37,8,3,4
"E01000906",788,21,96,250,255,79,29,15,10,33
"E01000907",627,10,38,176,189,119,46,12,12,25
"E01000908",827,35,118,284,171,88,70,31,18,12
"E01000909",661,5,30,115,94,100,94,74,73,76
"E01000910",588,6,43,111,96,92,55,52,57,76
"E01000911",663,8,59,142,153,147,78,36,18,22
"E01000912",700,7,54,172,113,209,101,31,13,0
"E01000913",722,9,32,82,130,97,80,74,78,140
"E01000914",970,38,156,303,281,106,57,10,7,12
"E01000915",635,16,83,142,223,128,15,10,6,12
"E01000916",881,41,170,308,234,93,21,4,2,8
"E01000917",913,43,161,341,228,102,22,8,0,8
"E01000918",935,54,157,340,208,103,39,12,12,10
"E01000919",834,33,197,251,172,119,31,16,6,9
"E01000920",946,46,151,277,258,122,41,7,15,29
"E01000921",946,59,216,217,233,125,34,20,22,20
"E01000922",653,28,96,146,174,99,45,31,24,10
"E01000923",656,18,67,145,173,86,77,52,21,17
"E01000924",795,47,105,248,192,83,48,29,20,23
"E01000925",629,36,96,87,168,179,29,16,6,12
"E01000926",698,20,88,128,165,168,103,13,7,6
"E01000927",734,4,59,166,202,145,101,37,14,6
"E01000928",682,20,79,151,192,93,47,31,38,31
"E01000929",685,25,49,183,168,157,76,9,9,9
"E01000930",1076,172,207,296,244,103,28,5,9,12
"E01000931",873,78,168,260,186,104,48,12,14,3
"E01000932",947,47,88,341,246,129,43,32,12,9
"E01000933",821,56,79,216,235,138,48,24,11,14
"E01000934",732,113,115,188,162,78,40,16,9,11
"E01000935",624,36,66,201,209,88,12,3,5,4
"E01000936",536,16,113,139,119,67,48,11,5,18
"E01000937",502,108,111,123,94,39,15,4,3,5
"E01000938",737,68,158,190,150,83,53,11,11,13
"E01000939",446,32,36,103,129,108,27,5,3,3
"E01000940",534,80,83,119,135,93,13,5,4,2
"E01000941",557,17,83,206,157,71,11,7,3,2
"E01000942",686,63,94,286,184,32,6,14,1,6
"E01000943",596,114,112,184,126,43,7,3,2,5
"E01000944",667,23,67,114,142,217,74,20,3,7
"E01000945",611,48,89,148,174,92,33,16,3,8
"E01000946",715,47,84,173,199,73,35,31,22,51
"E01000947",871,90,173,207,170,128,54,15,19,15
"E01000948",846,50,121,221,216,68,44,32,30,64
"E01000949",739,18,66,289,221,106,28,7,1,3
"E01000950",550,30,67,157,177,73,34,7,1,4
"E01000951",603,21,83,99,251,106,34,3,1,5
"E01000952",675,22,69,139,211,171,51,3,2,7
"E01000953",708,20,64,237,193,125,51,9,5,4
"E01000954",642,16,36,176,298,100,11,2,0,3
"E01000955",657,30,66,207,188,111,33,11,5,6
"E01000956",608,22,80,187,185,86,25,11,5,7
"E01000957",765,21,67,214,273,134,36,9,6,5
"E01000958",835,22,81,224,274,152,52,10,8,12
"E01000959",698,36,117,94,232,180,23,10,4,2
"E01000960",841,69,108,219,214,112,47,33,21,18
"E01000961",652,11,54,121,229,126,35,38,17,21
"E01000962",745,27,45,189,285,126,42,10,8,13
"E01000963",851,7,70,140,261,208,73,37,19,36
"E01000964",713,39,53,135,208,168,50,29,15,16
"E01000965",764,59,72,169,270,117,27,14,5,31
"E01000966",675,27,40,115,228,140,50,16,12,47
"E01000967",619,16,59,83,141,108,62,35,28,87
"E01000968",760,38,76,233,206,107,39,28,17,16
"E01000969",954,60,71,159,315,184,73,26,20,46
"E01000970",831,132,109,221,217,96,33,11,4,8
"E01000971",649,45,46,143,93,85,106,65,36,30
"E01000972",949,86,116,336,173,130,61,26,10,11
"E01000973",894,80,121,247,213,148,51,10,10,14
"E01000974",821,62,111,275,187,94,55,11,14,12
