"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E00004120",143,3,15,38,44,27,6,1,3,6
"E00004121",118,2,7,22,40,26,11,3,4,3
"E00004122",103,3,8,8,34,12,20,11,6,1
"E00004123",108,0,1,3,5,38,26,16,11,8
"E00004124",100,11,23,11,26,11,4,4,2,8
"E00004125",178,29,56,24,51,8,2,3,0,5
"E00004126",144,14,20,37,33,19,13,6,0,2
"E00004127",124,1,4,20,79,13,1,3,1,2
"E00004128",161,11,17,40,28,31,7,11,6,10
"E00004129",142,9,14,20,47,36,8,3,1,4
"E00004130",128,18,14,23,43,7,3,2,8,10
"E00004131",119,2,9,20,34,18,10,9,9,8
"E00004132",92,3,4,20,29,19,5,4,4,4
"E00004133",118,21,8,27,27,13,2,4,4,12
"E00004134",100,11,15,16,36,8,2,3,2,7
"E00004135",105,8,44,33,11,6,3,0,0,0
"E00004136",110,1,16,26,23,23,9,2,4,6
"E00004137",147,14,11,44,45,21,6,2,1,3
"E00004138",142,40,27,31,18,10,11,2,2,1
"E00004139",140,116,6,6,7,2,1,2,0,0
"E00004140",111,1,6,31,39,19,7,0,2,6
"E00004141",114,4,17,37,30,17,4,3,0,2
"E00004142",133,13,27,27,25,20,13,2,3,3
"E00004143",126,16,13,21,33,17,12,3,4,7
"E00004144",102,2,1,6,36,39,11,4,1,2
"E00004145",110,12,9,30,33,11,10,0,0,5
"E00004146",126,10,20,42,23,8,9,7,3,4
"E00004147",126,8,13,47,34,12,5,3,1,3
"E00004148",106,9,28,10,27,10,6,0,3,13
"E00004149",149,8,4,14,57,31,17,5,3,10
"E00004150",147,4,14,33,51,22,13,5,2,3
"E00004151",148,3,17,47,47,21,11,0,1,1
"E00004152",113,0,6,25,34,15,10,4,6,13
"E00004153",108,5,12,30,31,19,5,5,0,1
"E00004154",122,9,11,22,34,25,9,11,1,0
"E00004155",103,1,7,17,33,16,13,11,2,3
"E00004156",126,29,19,20,15,24,12,3,2,2
"E00004157",94,9,7,9,13,25,15,10,1,5
"E00004158",124,4,19,28,40,22,5,2,1,3
"E00004159",160,11,22,27,51,34,8,2,2,3
"E00004160",103,3,10,19,53,16,2,0,0,0
"E00004161",96,1,10,27,14,14,16,10,3,1
"E00004162",128,28,20,22,24,14,4,9,0,7
"E00004163",163,7,18,32,34,28,20,10,7,7
"E00004164",160,10,23,21,55,37,9,1,4,0
"E00004165",146,5,15,30,54,30,8,2,2,0
"E00004166",157,7,20,30,53,32,11,2,2,0
"E00004167",99,0,1,0,7,29,44,16,0,2
"E00004168",109,1,5,35,38,17,9,0,0,4
"E00004169",149,2,21,31,58,17,11,3,2,4
"E00004172",148,11,25,71,28,7,1,1,3,1
"E00004173",127,22,29,38,32,3,0,0,1,2
"E00004174",131,21,26,44,30,6,0,0,4,0
"E00004175",128,3,6,71,40,7,0,1,0,0
"E00004177",74,17,31,14,9,0,0,0,1,2
"E00004179",190,24,12,74,77,3,0,0,0,0
"E00004180",128,14,15,46,30,19,2,1,1,0
"E00004181",212,20,26,92,67,3,1,1,0,2
"E00004182",76,2,15,29,13,14,0,2,0,1
"E00004183",106,5,19,33,37,10,1,0,1,0
"E00004184",112,5,8,42,41,13,2,1,0,0
"E00004185",171,23,29,29,41,37,7,1,1,3
"E00004187",226,20,48,78,34,19,10,4,2,11
"E00004188",109,8,26,50,18,4,2,0,0,1
"E00004189",118,1,17,36,39,23,2,0,0,0
"E00004190",384,204,144,31,1,0,0,1,1,2
"E00004193",119,8,22,24,36,9,14,3,2,1
"E00004194",144,11,35,38,39,9,5,4,2,1
"E00004195",133,3,16,35,43,19,8,1,5,3
"E00004196",101,1,6,17,43,10,16,6,1,1
"E00004197",116,6,5,21,29,31,19,0,3,2
"E00004198",182,11,47,48,51,10,10,3,0,2
"E00004199",163,9,53,34,42,14,5,3,3,0
"E00004200",136,5,53,39,23,4,3,1,3,5
"E00004201",144,2,11,46,36,19,10,5,6,9
"E00004202",160,42,97,18,2,0,1,0,0,0
"E00004203",164,4,31,44,43,13,6,8,5,10
"E00004204",149,3,19,32,61,17,8,3,2,4
"E00004205",145,5,19,31,22,15,16,9,12,16
"E00004206",127,4,5,43,22,37,11,2,1,2
"E00004207",128,1,12,23,37,34,19,0,2,0
"E00004208",125,5,15,32,26,39,4,2,0,2
"E00004209",113,0,11,31,24,27,18,0,2,0
"E00004210",126,4,12,30,48,20,10,1,0,1
"E00004211",124,5,26,28,21,26,11,1,2,4
"E00004212",134,2,16,21,35,26,22,9,3,0
"E00004213",167,4,11,42,41,29,28,3,3,6
"E00004214",243,3,54,78,55,30,19,3,0,1
"E00004215",129,1,8,32,37,12,8,19,4,8
"E00004216",146,6,8,39,29,19,7,8,10,20
"E00004217",141,17,25,28,42,15,6,1,1,6
"E00004218",131,1,13,20,39,36,16,1,2,3
"E00004219",190,12,52,66,30,15,7,3,3,2
"E00004220",87,2,7,35,26,13,1,0,0,3
"E00004221",111,4,24,28,18,11,7,10,4,5
"E00004222",109,12,22,32,15,11,1,4,4,8
"E00004223",116,2,14,19,43,19,13,4,0,2
"E00004224",147,4,37,36,22,25,8,8,2,5
"E00004225",195,38,46,40,39,19,5,2,5,1
"E00004226",119,0,10,10,24,11,14,16,17,17
"E00004227",145,4,20,53,32,9,8,3,7,9
"E00004228",107,6,31,14,10,12,2,8,11,13
"E00004229",174,2,31,72,44,17,3,5,0,0
"E00004230",130,2,20,33,50,11,10,4,0,0
"E00004231",142,4,19,29,15,18,9,20,12,16
"E00004232",132,20,57,18,8,10,6,5,2,6
"E00004233",124,2,16,28,36,26,7,1,5,3
"E00004234",124,4,19,39,14,11,14,9,7,7
"E00004235",163,7,26,62,35,21,8,0,2,2
"E00004236",150,12,30,28,39,16,12,8,0,5
"E00004237",123,4,22,29,45,18,3,2,0,0
"E00004238",126,1,7,20,49,31,8,3,2,5
"E00004239",111,2,19,31,26,23,5,3,1,1
"E00004240",136,12,15,24,33,22,17,8,4,1
"E00004241",133,8,11,21,24,15,5,15,9,25
"E00004242",105,59,3,7,17,9,3,0,0,7
"E00004243",110,2,12,17,9,10,7,7,15,31
"E00004244",100,3,22,27,16,20,6,3,2,1
"E00004245",163,0,15,64,45,22,7,2,7,1
"E00004246",121,5,12,24,36,24,14,3,1,2
"E00004247",156,8,24,49,28,13,5,8,7,14
"E00004248",207,11,61,43,41,26,17,4,2,2
"E00004249",114,2,15,41,20,16,6,7,4,3
"E00004250",127,4,13,23,26,21,17,10,4,9
"E00004251",95,1,4,9,23,15,12,13,8,10
"E00004252",115,2,14,39,19,18,8,5,3,7
"E00004253",132,9,9,35,37,28,5,3,1,5
"E00004254",119,2,10,34,42,21,8,1,0,1
"E00004255",128,3,15,24,31,36,8,7,1,3
"E00004256",149,4,26,32,54,17,13,2,0,1
"E00004257",113,6,9,32,32,11,9,6,3,5
"E00004258",111,3,13,38,15,25,7,6,2,2
"E00004259",104,9,7,20,33,13,19,1,2,0
"E00004260",136,36,45,34,11,9,1,0,0,0
"E00004261",114,4,20,24,27,29,9,0,1,0
"E00004262",114,7,5,46,45,7,1,1,2,0
"E00004263",121,4,18,23,15,41,14,3,2,1
"E00004264",176,10,33,48,52,19,9,1,1,3
"E00004265",112,5,20,34,24,17,8,3,1,0
"E00004266",156,4,37,32,39,32,5,5,1,1
"E00004268",142,7,41,37,20,24,10,1,2,0
"E00004269",121,1,19,36,42,18,5,0,0,0
"E00004270",189,11,25,61,56,24,9,1,2,0
"E00004271",142,10,22,38,33,21,10,5,0,3
"E00004272",113,0,7,25,20,5,9,19,14,14
"E00004273",159,7,25,33,19,19,20,14,13,9
"E00004274",130,6,18,26,32,18,11,9,2,8
"E00004275",104,11,16,37,15,8,9,3,2,3
"E00004276",122,3,13,40,34,13,8,6,1,4
"E00004277",135,1,15,42,43,19,5,2,0,8
"E00004278",102,2,4,30,30,23,6,6,1,0
"E00004279",134,2,14,55,31,19,10,2,1,0
"E00004280",108,1,15,29,17,15,13,3,8,7
"E00004281",115,1,11,39,36,10,8,8,1,1
"E00004282",149,15,10,32,42,17,16,4,4,9
"E00004283",137,17,21,28,17,15,26,8,5,0
"E00004284",128,4,14,39,30,31,2,1,0,7
"E00004285",144,29,25,31,18,22,9,3,0,7
"E00004286",158,22,34,28,54,9,5,2,0,4
"E00004287",111,0,4,14,48,31,12,1,0,1
"E00004288",166,25,21,43,34,26,11,3,3,0
"E00004289",129,32,19,21,35,9,3,3,2,5
"E00004290",164,44,17,34,38,19,7,1,3,1
"E00004291",138,0,9,42,31,30,21,2,1,2
"E00004292",121,3,12,28,35,36,7,0,0,0
"E00004293",119,2,20,25,46,20,3,1,0,2
"E00004294",119,2,14,52,28,16,5,1,0,1
"E00004295",175,16,24,27,22,18,17,10,11,30
"E00004296",133,2,12,24,35,15,21,9,9,6
"E00004297",154,36,14,15,52,18,4,2,6,7
"E00004298",112,3,8,14,16,8,3,6,16,38
"E00004299",135,3,12,36,16,24,27,14,2,1
