"GeographyCode","QS409EW0001","QS409EW0002","QS409EW0003","QS409EW0004","QS409EW0005"
"E02000166",3537,2317,1129,61,30
"E02000167",3629,2561,1007,46,15
"E02000168",3535,2065,1338,95,37
"E02000169",2942,2011,872,37,22
"E02000170",3685,2029,1491,66,99
"E02000171",3502,2111,1266,84,41
"E02000172",4186,2100,1758,216,112
"E02000173",3569,2103,1305,74,87
"E02000174",3822,2050,1542,148,82
"E02000175",4277,2385,1679,104,109
"E02000176",3261,2055,1105,41,60
"E02000177",3865,2091,1495,190,89
"E02000178",4280,2253,1743,155,129
"E02000179",2870,1636,999,75,160
"E02000180",3394,1827,1358,127,82
"E02000181",3657,2128,1402,72,55
"E02000182",2963,1801,987,100,75
"E02000183",3881,2433,1324,82,42
"E02000184",3655,1841,1540,165,109
"E02000185",3938,2113,1463,177,185
"E02000186",3099,1727,1189,99,84
"E02000187",3290,1602,1358,233,97
"E02000188",3170,1501,1339,211,119
"E02000189",2253,1033,966,143,111
"E02000190",3181,1760,1202,122,97
"E02000191",2868,1587,1116,92,73
"E02000192",3375,1909,1249,145,72
"E02000193",3850,2274,1353,96,127
