"GeographyCode","QS409EW0001","QS409EW0002","QS409EW0003","QS409EW0004","QS409EW0005"
"E00004120",143,92,46,2,3
"E00004121",118,78,38,2,0
"E00004122",103,64,39,0,0
"E00004123",108,72,35,1,0
"E00004124",100,69,28,1,2
"E00004125",178,119,52,2,5
"E00004126",144,88,50,3,3
"E00004127",124,79,41,3,1
"E00004128",161,111,45,0,5
"E00004129",142,95,42,0,5
"E00004130",128,71,55,1,1
"E00004131",119,79,35,4,1
"E00004132",92,60,31,0,1
"E00004133",118,52,62,1,3
"E00004134",100,64,32,1,3
"E00004135",105,79,24,0,2
"E00004136",110,74,36,0,0
"E00004137",147,94,44,5,4
"E00004138",142,69,65,1,7
"E00004139",140,9,31,1,99
"E00004140",111,77,34,0,0
"E00004141",114,82,29,3,0
"E00004142",133,94,36,1,2
"E00004143",126,80,44,2,0
"E00004144",102,66,35,1,0
"E00004145",110,64,43,1,2
"E00004146",126,70,48,4,4
"E00004147",126,76,47,1,2
"E00004148",106,77,28,1,0
"E00004149",149,99,46,1,3
"E00004150",147,86,57,2,2
"E00004151",148,98,50,0,0
"E00004152",113,82,30,1,0
"E00004153",108,68,39,0,1
"E00004154",122,68,51,1,2
"E00004155",103,56,44,2,1
"E00004156",126,67,51,3,5
"E00004157",94,50,41,0,3
"E00004158",124,75,39,7,3
"E00004159",160,85,54,15,6
"E00004160",103,62,35,4,2
"E00004161",96,65,29,1,1
"E00004162",128,58,60,1,9
"E00004163",163,93,66,2,2
"E00004164",160,84,57,11,8
"E00004165",146,79,56,7,4
"E00004166",157,79,53,14,11
"E00004167",99,58,38,2,1
"E00004168",109,75,33,0,1
"E00004169",149,104,36,7,2
"E00004172",148,94,48,1,5
"E00004173",127,75,49,2,1
"E00004174",131,59,52,12,8
"E00004175",128,81,39,1,7
"E00004177",74,46,23,0,5
"E00004179",190,121,53,7,9
"E00004180",128,54,64,10,0
"E00004181",212,141,57,8,6
"E00004182",76,46,22,2,6
"E00004183",106,68,32,4,2
"E00004184",112,76,33,1,2
"E00004185",171,63,100,7,1
"E00004187",226,112,89,8,17
"E00004188",109,65,38,5,1
"E00004189",118,59,48,11,0
"E00004190",384,144,205,1,34
"E00004193",119,62,56,1,0
"E00004194",144,95,45,1,3
"E00004195",133,77,46,8,2
"E00004196",101,79,19,1,2
"E00004197",116,79,34,1,2
"E00004198",182,97,79,4,2
"E00004199",163,106,50,3,4
"E00004200",136,84,52,0,0
"E00004201",144,107,34,3,0
"E00004202",160,115,41,0,4
"E00004203",164,101,61,2,0
"E00004204",149,104,43,1,1
"E00004205",145,91,46,4,4
"E00004206",127,65,54,3,5
"E00004207",128,53,59,14,2
"E00004208",125,59,58,4,4
"E00004209",113,60,47,4,2
"E00004210",126,61,49,8,8
"E00004211",124,62,49,8,5
"E00004212",134,78,47,8,1
"E00004213",167,76,73,14,4
"E00004214",243,125,109,9,0
"E00004215",129,100,27,1,1
"E00004216",146,104,41,1,0
"E00004217",141,89,47,0,5
"E00004218",131,77,47,5,2
"E00004219",190,105,72,7,6
"E00004220",87,56,27,4,0
"E00004221",111,75,34,1,1
"E00004222",109,60,46,1,2
"E00004223",116,52,52,9,3
"E00004224",147,92,53,2,0
"E00004225",195,73,111,5,6
"E00004226",119,97,22,0,0
"E00004227",145,96,48,1,0
"E00004228",107,81,21,3,2
"E00004229",174,100,68,5,1
"E00004230",130,74,52,2,2
"E00004231",142,92,45,5,0
"E00004232",132,92,37,3,0
"E00004233",124,85,37,2,0
"E00004234",124,75,48,0,1
"E00004235",163,84,74,3,2
"E00004236",150,76,71,2,1
"E00004237",123,68,47,4,4
"E00004238",126,77,46,3,0
"E00004239",111,72,35,4,0
"E00004240",136,69,59,4,4
"E00004241",133,96,34,1,2
"E00004242",105,28,74,0,3
"E00004243",110,78,28,2,2
"E00004244",100,40,40,10,10
