"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E00004120",143,0,48,56,32,4,3
"E00004121",118,0,27,52,32,5,2
"E00004122",103,0,16,41,29,15,2
"E00004123",108,0,4,7,61,25,11
"E00004124",100,3,45,29,9,7,7
"E00004125",178,5,95,61,9,3,5
"E00004126",144,2,59,44,24,13,2
"E00004127",124,0,18,82,20,1,3
"E00004128",161,1,60,50,30,8,12
"E00004129",142,1,43,67,24,2,5
"E00004130",128,1,51,45,10,4,17
"E00004131",119,1,34,33,28,13,10
"E00004132",92,0,21,44,14,7,6
"E00004133",118,2,45,38,12,5,16
"E00004134",100,3,36,45,4,3,9
"E00004135",105,0,86,12,7,0,0
"E00004136",110,0,34,41,19,8,8
"E00004137",147,2,63,58,19,2,3
"E00004138",142,6,83,30,19,4,0
"E00004139",140,14,108,11,5,1,1
"E00004140",111,0,27,60,13,4,7
"E00004141",114,0,50,45,18,1,0
"E00004142",133,5,62,27,31,6,2
"E00004143",126,4,42,49,21,6,4
"E00004144",102,0,6,52,41,0,3
"E00004145",110,1,42,44,18,1,4
"E00004146",126,1,59,37,20,7,2
"E00004147",126,1,62,43,14,3,3
"E00004148",106,2,44,31,18,5,6
"E00004149",149,1,23,64,41,12,8
"E00004150",147,0,40,65,25,14,3
"E00004151",148,0,51,67,28,1,1
"E00004152",113,1,31,42,17,12,10
"E00004153",108,1,45,41,18,0,3
"E00004154",122,0,34,48,27,12,1
"E00004155",103,0,15,51,18,13,6
"E00004156",126,2,60,29,30,3,2
"E00004157",94,1,22,26,30,11,4
"E00004158",124,2,41,51,20,3,7
"E00004159",160,2,47,63,44,4,0
"E00004160",103,1,26,59,16,1,0
"E00004161",96,0,32,23,27,10,4
"E00004162",128,4,64,27,19,6,8
"E00004163",163,1,45,56,39,13,9
"E00004164",160,3,44,62,49,1,1
"E00004165",146,3,35,63,43,1,1
"E00004166",157,3,46,64,43,1,0
"E00004167",99,1,1,15,54,21,7
"E00004168",109,1,38,50,17,1,2
"E00004169",149,1,47,74,23,1,3
"E00004172",148,2,96,40,8,2,0
"E00004173",127,6,80,33,7,0,1
"E00004174",131,2,72,34,19,0,4
"E00004175",128,1,71,47,7,1,1
"E00004177",74,1,59,11,1,1,1
"E00004179",190,2,91,95,1,1,0
"E00004180",128,0,53,42,26,6,1
"E00004181",212,3,112,91,5,0,1
"E00004182",76,1,42,14,15,3,1
"E00004183",106,6,48,42,9,1,0
"E00004184",112,1,49,47,12,3,0
"E00004185",171,2,80,32,40,12,5
"E00004187",226,2,87,87,33,9,8
"E00004188",109,1,67,36,5,0,0
"E00004189",118,0,31,57,29,1,0
"E00004190",384,41,336,4,2,0,1
"E00004193",119,3,44,45,14,5,8
"E00004194",144,1,79,39,19,4,2
"E00004195",133,2,40,55,25,6,5
"E00004196",101,0,16,57,14,10,4
"E00004197",116,1,33,38,31,11,2
"E00004198",182,4,84,57,28,5,4
"E00004199",163,0,89,47,24,2,1
"E00004200",136,0,87,26,11,3,9
"E00004201",144,1,44,61,26,5,7
"E00004202",160,13,144,1,0,2,0
"E00004203",164,1,67,47,30,11,8
"E00004204",149,1,49,78,13,6,2
"E00004205",145,1,40,40,30,26,8
"E00004206",127,0,41,33,44,7,2
"E00004207",128,1,26,38,41,21,1
"E00004208",125,1,48,25,44,4,3
"E00004209",113,0,33,31,38,9,2
"E00004210",126,0,34,61,21,10,0
"E00004211",124,0,52,19,33,14,6
"E00004212",134,1,30,53,37,8,5
"E00004213",167,0,45,47,43,29,3
"E00004214",243,1,95,88,41,18,0
"E00004215",129,0,31,53,17,16,12
"E00004216",146,0,45,46,30,7,18
"E00004217",141,2,59,58,17,2,3
"E00004218",131,1,32,36,38,19,5
"E00004219",190,1,108,55,16,5,5
"E00004220",87,0,39,29,16,0,3
"E00004221",111,0,54,25,17,12,3
"E00004222",109,1,52,31,10,9,6
"E00004223",116,0,32,46,27,7,4
"E00004224",147,0,71,33,30,10,3
"E00004225",195,5,89,69,19,6,7
"E00004226",119,0,16,36,22,29,16
"E00004227",145,0,71,39,16,10,9
"E00004228",107,2,49,19,20,13,4
"E00004229",174,0,71,80,16,7,0
"E00004230",130,1,48,56,14,9,2
"E00004231",142,1,38,34,24,31,14
"E00004232",132,4,89,17,14,5,3
"E00004233",124,0,41,43,31,6,3
"E00004234",124,1,60,22,12,26,3
"E00004235",163,1,71,62,17,10,2
"E00004236",150,4,59,42,28,11,6
"E00004237",123,1,44,58,16,2,2
"E00004238",126,0,16,60,38,10,2
