"GeographyCode","QS412EW0001","QS412EW0002","QS412EW0003","QS412EW0004","QS412EW0005","QS412EW0006"
"E01000842",724,106,250,336,28,4
"E01000843",846,94,224,404,113,11
"E01000844",870,132,285,408,35,10
"E01000845",731,108,246,333,36,8
"E01000846",616,101,150,270,87,8
"E01000847",677,120,199,275,70,13
"E01000848",805,135,272,360,29,9
"E01000849",862,93,223,500,39,7
"E01000850",664,46,183,367,48,20
"E01000851",861,53,195,506,81,26
"E01000852",625,14,150,407,51,3
"E01000853",840,14,177,535,93,21
"E01000854",718,50,150,370,112,36
"E01000855",1111,65,164,780,77,25
"E01000856",628,67,138,317,86,20
"E01000857",686,142,207,298,33,6
"E01000858",775,75,179,401,105,15
"E01000859",807,156,237,371,41,2
"E01000860",797,94,145,521,32,5
"E01000861",729,52,153,414,91,19
"E01000862",816,161,253,354,41,7
"E01000863",667,73,162,372,50,10
"E01000864",717,85,156,392,76,8
"E01000865",451,101,117,209,16,8
"E01000866",926,95,210,487,112,22
"E01000867",675,64,120,379,88,24
"E01000868",584,33,74,337,111,29
"E01000869",967,101,266,487,98,15
"E01000870",774,97,142,438,82,15
"E01000871",632,221,163,193,47,8
"E01000872",913,93,187,520,93,20
"E01000873",710,171,191,299,45,4
"E01000874",704,206,206,257,32,3
"E01000875",839,83,177,496,71,12
"E01000876",800,96,168,429,83,24
"E01000877",726,155,158,366,41,6
"E01000878",550,152,215,148,24,11
"E01000879",602,148,185,236,29,4
"E01000880",621,150,222,208,41,0
"E01000881",632,89,197,301,39,6
"E01000882",728,149,249,280,44,6
"E01000883",638,78,201,314,37,8
"E01000884",577,250,168,139,17,3
"E01000885",592,259,201,120,12,0
"E01000886",606,118,197,234,48,9
"E01000887",690,116,174,338,56,6
"E01000888",697,139,179,322,51,6
"E01000889",657,80,139,329,90,19
"E01000890",767,89,104,444,117,13
"E01000891",672,45,107,383,121,16
"E01000892",823,127,265,354,67,10
"E01000893",715,157,221,300,31,6
"E01000894",619,215,180,204,19,1
"E01000895",841,112,249,434,39,7
"E01000896",756,245,214,262,32,3
"E01000897",721,176,276,248,17,4
"E01000898",850,102,144,509,79,16
"E01000899",698,255,243,187,12,1
"E01000900",757,109,187,371,77,13
"E01000901",703,35,142,375,125,26
"E01000902",590,56,119,310,89,16
"E01000903",686,75,233,324,48,6
"E01000904",918,93,205,485,113,22
"E01000905",812,49,155,432,138,38
"E01000906",788,83,227,398,73,7
"E01000907",627,81,144,317,79,6
"E01000908",827,113,147,496,67,4
"E01000909",661,266,153,210,29,3
"E01000910",588,188,146,220,29,5
"E01000911",663,113,195,298,51,6
"E01000912",700,138,164,324,66,8
"E01000913",722,325,207,165,20,5
"E01000914",970,75,277,523,80,15
"E01000915",635,51,156,313,88,27
"E01000916",881,55,203,512,104,7
"E01000917",913,10,154,599,130,20
"E01000918",935,54,191,556,88,46
"E01000919",834,46,222,464,54,48
"E01000920",946,71,240,534,86,15
"E01000921",946,79,180,594,85,8
"E01000922",653,95,164,313,66,15
"E01000923",656,111,196,295,46,8
"E01000924",795,100,179,426,78,12
"E01000925",629,77,142,312,89,9
"E01000926",698,66,154,372,80,26
"E01000927",734,83,248,322,75,6
"E01000928",682,103,154,335,83,7
"E01000929",685,84,140,339,104,18
"E01000930",1076,45,188,725,105,13
"E01000931",873,60,156,501,120,36
"E01000932",947,97,234,506,95,15
"E01000933",821,111,221,409,71,9
"E01000934",732,54,125,430,105,18
"E01000935",624,38,123,328,113,22
"E01000936",536,41,90,301,82,22
"E01000937",502,15,69,349,54,15
"E01000938",737,39,110,431,112,45
"E01000939",446,39,82,228,79,18
"E01000940",534,29,85,346,64,10
"E01000941",557,22,89,320,104,22
"E01000942",686,26,119,452,76,13
"E01000943",596,23,99,415,52,7
"E01000944",667,83,152,282,99,51
"E01000945",611,48,127,320,92,24
"E01000946",715,125,183,331,53,23
"E01000947",871,78,176,467,96,54
"E01000948",846,118,203,441,67,17
"E01000949",739,28,158,444,99,10
"E01000950",550,33,90,288,112,27
"E01000951",603,44,148,280,99,32
"E01000952",675,70,150,307,118,30
"E01000953",708,57,145,379,102,25
"E01000954",642,30,128,321,136,27
"E01000955",657,61,106,370,96,24
"E01000956",608,29,129,325,101,24
"E01000957",765,54,220,381,94,16
"E01000958",835,66,196,433,113,27
"E01000959",698,60,170,344,106,18
"E01000960",841,109,215,409,94,14
"E01000961",652,105,166,265,98,18
"E01000962",745,81,248,360,51,5
"E01000963",851,181,330,295,39,6
"E01000964",713,113,238,307,50,5
"E01000965",764,77,236,387,57,7
"E01000966",675,116,274,258,25,2
"E01000967",619,182,210,199,22,6
"E01000968",760,74,216,405,56,9
"E01000969",954,148,316,438,44,8
"E01000970",831,51,222,507,47,4
"E01000971",649,201,147,247,48,6
"E01000972",949,87,153,579,109,21
"E01000973",894,65,208,519,92,10
"E01000974",821,65,197,451,92,16
