"GeographyCode","QS412EW0001","QS412EW0002","QS412EW0003","QS412EW0004","QS412EW0005","QS412EW0006"
"E02000166",3537,923,815,1512,261,26
"E02000167",3629,984,1107,1387,133,18
"E02000168",3535,594,871,1742,294,34
"E02000169",2942,959,991,851,123,18
"E02000170",3685,846,905,1635,258,41
"E02000171",3502,575,1048,1572,270,37
"E02000172",4186,427,904,2166,594,95
"E02000173",3569,594,1067,1652,216,40
"E02000174",3822,435,827,2035,441,84
"E02000175",4277,552,1046,2290,340,49
"E02000176",3261,466,1030,1604,131,30
"E02000177",3865,390,893,1996,490,96
"E02000178",4280,401,932,2383,461,103
"E02000179",2870,423,819,1282,306,40
"E02000180",3394,384,733,1804,389,84
"E02000181",3657,461,1212,1717,239,28
"E02000182",2963,577,921,1168,253,44
"E02000183",3881,628,1021,1945,252,35
"E02000184",3655,299,877,1889,490,100
"E02000185",3938,332,797,2231,498,80
"E02000186",3099,394,724,1611,266,104
"E02000187",3290,247,658,1702,553,130
"E02000188",3170,236,675,1614,501,144
"E02000189",2253,148,367,1306,337,95
"E02000190",3181,100,553,2071,379,78
"E02000191",2868,163,678,1650,292,85
"E02000192",3375,187,753,1958,408,69
"E02000193",3850,240,854,2323,299,134
