"GeographyCode","QS412EW0001","QS412EW0002","QS412EW0003","QS412EW0004","QS412EW0005","QS412EW0006"
"E00004120",143,20,53,61,7,2
"E00004121",118,24,45,42,5,2
"E00004122",103,24,43,33,2,1
"E00004123",108,54,31,22,1,0
"E00004124",100,18,23,57,1,1
"E00004125",178,9,45,117,6,1
"E00004126",144,23,44,69,7,1
"E00004127",124,4,59,50,10,1
"E00004128",161,35,45,77,4,0
"E00004129",142,16,60,61,5,0
"E00004130",128,19,33,68,6,2
"E00004131",119,27,46,37,5,4
"E00004132",92,22,25,41,4,0
"E00004133",118,22,24,63,8,1
"E00004134",100,11,34,49,6,0
"E00004135",105,5,8,87,4,1
"E00004136",110,19,39,51,1,0
"E00004137",147,12,52,75,4,4
"E00004138",142,16,25,97,4,0
"E00004139",140,3,4,43,81,9
"E00004140",111,19,48,39,5,0
"E00004141",114,7,42,61,3,1
"E00004142",133,17,36,72,7,1
"E00004143",126,14,50,58,3,1
"E00004144",102,19,49,32,2,0
"E00004145",110,16,30,60,4,0
"E00004146",126,14,34,66,10,2
"E00004147",126,12,39,66,9,0
"E00004148",106,17,36,51,2,0
"E00004149",149,37,56,49,7,0
"E00004150",147,19,51,64,12,1
"E00004151",148,11,71,62,4,0
"E00004152",113,27,41,43,2,0
"E00004153",108,8,31,62,6,1
"E00004154",122,17,40,63,2,0
"E00004155",103,18,43,39,2,1
"E00004156",126,21,32,66,4,3
"E00004157",94,20,30,38,6,0
"E00004158",124,10,27,69,12,6
"E00004159",160,12,31,85,28,4
"E00004160",103,10,27,50,15,1
"E00004161",96,25,25,40,5,1
"E00004162",128,19,24,76,7,2
"E00004163",163,18,60,75,9,1
"E00004164",160,18,29,76,34,3
"E00004165",146,16,35,65,27,3
"E00004166",157,8,30,80,31,8
"E00004167",99,41,33,21,4,0
"E00004168",109,16,31,58,4,0
"E00004169",149,8,53,64,16,8
"E00004172",148,6,28,99,14,1
"E00004173",127,3,23,93,8,0
"E00004174",131,6,16,77,23,9
"E00004175",128,0,26,81,12,9
"E00004177",74,1,8,58,7,0
"E00004179",190,1,46,117,25,1
"E00004180",128,3,26,85,13,1
"E00004181",212,1,50,134,26,1
"E00004182",76,6,11,48,6,5
"E00004183",106,3,18,70,11,4
"E00004184",112,3,28,70,8,3
"E00004185",171,10,21,107,25,8
"E00004187",226,24,54,112,18,18
"E00004188",109,0,18,70,19,2
"E00004189",118,3,35,49,22,9
"E00004190",384,2,4,351,22,5
"E00004193",119,14,33,58,7,7
"E00004194",144,7,38,86,11,2
"E00004195",133,5,40,65,13,10
"E00004196",101,11,50,36,3,1
"E00004197",116,17,42,49,5,3
"E00004198",182,6,41,112,21,2
"E00004199",163,10,32,109,11,1
"E00004200",136,5,25,90,14,2
"E00004201",144,29,51,60,3,1
"E00004202",160,2,1,153,2,2
"E00004203",164,23,41,89,10,1
"E00004204",149,9,65,68,6,1
"E00004205",145,35,38,64,8,0
"E00004206",127,15,26,61,22,3
"E00004207",128,18,28,61,17,4
"E00004208",125,13,23,64,23,2
"E00004209",113,9,35,57,10,2
"E00004210",126,11,28,63,19,5
"E00004211",124,13,20,76,11,4
"E00004212",134,18,40,58,17,1
"E00004213",167,23,32,76,30,6
"E00004214",243,15,63,143,20,2
"E00004215",129,26,54,44,5,0
"E00004216",146,31,56,54,4,1
"E00004217",141,9,46,76,10,0
"E00004218",131,30,34,52,11,4
"E00004219",190,11,29,122,22,6
"E00004220",87,9,16,52,8,2
"E00004221",111,12,33,64,2,0
"E00004222",109,14,26,64,5,0
"E00004223",116,7,22,59,22,6
"E00004224",147,21,36,83,6,1
"E00004225",195,7,43,121,17,7
"E00004226",119,51,44,22,2,0
"E00004227",145,24,34,75,12,0
"E00004228",107,24,21,58,4,0
"E00004229",174,11,60,96,4,3
"E00004230",130,9,30,73,15,3
"E00004231",142,49,39,45,9,0
"E00004232",132,17,17,94,4,0
"E00004233",124,22,39,55,8,0
"E00004234",124,28,21,68,6,1
"E00004235",163,8,40,98,15,2
"E00004236",150,8,38,81,20,3
"E00004237",123,2,31,70,17,3
"E00004238",126,21,51,42,11,1
"E00004239",111,13,31,60,6,1
"E00004240",136,22,25,68,17,4
"E00004241",133,47,34,48,4,0
"E00004242",105,9,11,79,5,1
"E00004243",110,45,22,32,10,1
"E00004244",100,7,15,48,15,15
"E00004245",163,12,46,83,20,2
"E00004246",121,20,27,66,5,3
"E00004247",156,23,32,84,15,2
"E00004248",207,10,52,117,22,6
"E00004249",114,18,19,61,15,1
"E00004250",127,26,37,60,3,1
"E00004251",95,29,30,31,3,2
"E00004252",115,18,24,62,10,1
"E00004253",132,25,24,58,20,5
"E00004254",119,10,22,57,24,6
"E00004255",128,19,34,62,12,1
"E00004256",149,10,22,95,17,5
"E00004257",113,10,33,51,19,0
"E00004258",111,7,24,65,14,1
"E00004259",104,8,17,55,14,10
"E00004260",136,0,2,111,19,4
"E00004261",114,11,22,60,18,3
"E00004262",114,0,9,70,29,6
"E00004263",121,16,15,57,29,4
"E00004264",176,10,35,111,19,1
"E00004265",112,14,12,69,16,1
"E00004266",156,11,29,97,16,3
"E00004268",142,8,17,94,17,6
"E00004269",121,9,27,68,15,2
"E00004270",189,11,50,96,25,7
"E00004271",142,17,25,83,16,1
"E00004272",113,36,31,36,7,3
"E00004273",159,33,34,73,17,2
"E00004274",130,19,26,74,11,0
"E00004275",104,11,19,63,11,0
"E00004276",122,7,24,73,14,4
"E00004277",135,11,46,60,16,2
"E00004278",102,12,27,50,12,1
"E00004279",134,10,21,83,18,2
"E00004280",108,26,23,52,5,2
"E00004281",115,13,34,59,7,2
"E00004282",149,27,31,80,7,4
"E00004283",137,29,24,79,5,0
"E00004284",128,16,25,76,10,1
"E00004285",144,19,19,94,7,5
"E00004286",158,11,30,97,17,3
"E00004287",111,12,33,52,13,1
"E00004288",166,14,32,100,18,2
"E00004289",129,8,25,90,5,1
"E00004290",164,9,33,101,19,2
"E00004291",138,23,27,68,15,5
"E00004292",121,15,27,45,22,12
"E00004293",119,8,34,58,15,4
"E00004294",119,7,24,79,8,1
"E00004295",175,64,52,50,8,1
"E00004296",133,24,29,50,25,5
"E00004297",154,20,33,92,8,1
"E00004298",112,52,25,29,6,0
"E00004299",135,40,32,54,9,0
"E00004300",111,26,28,47,9,1
"E00004301",241,13,45,139,39,5
"E00004302",143,25,22,85,11,0
"E00004303",113,49,30,28,5,1
"E00004304",178,44,32,89,13,0
"E00004305",134,47,39,39,9,0
"E00004306",157,39,54,58,6,0
"E00004307",150,69,41,35,4,1
"E00004308",123,28,27,56,10,2
"E00004309",115,32,42,37,4,0
"E00004310",128,52,40,28,7,1
"E00004311",99,32,27,36,3,1
"E00004312",150,19,30,86,15,0
"E00004313",131,31,35,56,7,2
"E00004314",153,15,28,94,12,4
"E00004315",154,37,38,76,3,0
"E00004316",122,6,20,75,12,9
"E00004317",161,33,43,77,7,1
"E00004318",126,22,50,45,9,0
"E00004319",143,8,44,80,10,1
"E00004320",112,36,45,26,5,0
"E00004321",114,24,47,38,4,1
"E00004322",114,53,42,18,1,0
"E00004323",96,8,30,43,13,2
"E00004324",122,36,37,40,8,1
"E00004325",113,24,30,53,6,0
"E00004326",117,15,31,59,11,1
"E00004327",140,26,51,55,8,0
"E00004328",95,31,39,19,1,5
"E00004329",124,20,35,55,14,0
"E00004330",146,14,58,68,5,1
"E00004331",112,22,31,49,8,2
