"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E01000842",724,27,566,43,47,0,20,21
"E01000843",846,29,608,114,9,0,57,29
"E01000844",870,55,672,80,16,0,19,28
"E01000845",731,25,600,60,5,0,11,30
"E01000846",616,18,466,54,3,0,51,24
"E01000847",677,20,508,64,0,0,40,45
"E01000848",805,31,675,49,4,0,11,35
"E01000849",862,49,601,61,25,0,78,48
"E01000850",664,52,462,109,1,0,23,17
"E01000851",861,59,527,207,2,0,27,39
"E01000852",625,18,342,109,48,0,80,28
"E01000853",840,23,460,122,25,0,187,23
"E01000854",718,24,381,144,17,0,125,27
"E01000855",1111,52,504,220,193,0,116,26
"E01000856",628,11,517,36,0,0,12,52
"E01000857",686,19,570,60,0,0,12,25
"E01000858",775,20,487,154,5,0,79,30
"E01000859",807,34,678,50,1,0,11,33
"E01000860",797,21,590,69,31,0,70,16
"E01000861",729,64,542,68,8,0,25,22
"E01000862",816,27,598,120,11,0,35,25
"E01000863",667,32,425,147,5,0,20,38
"E01000864",717,23,619,36,0,0,15,24
"E01000865",451,3,418,15,0,0,2,13
"E01000866",926,29,745,59,7,1,41,44
"E01000867",675,20,534,46,2,0,33,40
"E01000868",584,19,353,44,12,0,138,18
"E01000869",967,33,744,88,6,0,43,53
"E01000870",774,25,688,14,0,0,15,32
"E01000871",632,10,513,53,2,0,19,35
"E01000872",913,69,658,117,4,0,22,43
"E01000873",710,18,623,34,0,0,18,17
"E01000874",704,24,542,50,13,1,50,24
"E01000875",839,33,636,94,5,0,33,38
"E01000876",800,13,587,41,10,0,108,41
"E01000877",726,18,600,65,4,1,15,23
"E01000878",550,6,473,27,8,0,14,22
"E01000879",602,14,511,34,8,0,19,16
"E01000880",621,15,537,31,1,0,9,28
"E01000881",632,22,502,54,5,0,23,26
"E01000882",728,35,627,28,5,0,4,29
"E01000883",638,20,462,60,17,0,55,24
"E01000884",577,5,512,16,2,0,18,24
"E01000885",592,9,498,26,6,0,26,27
"E01000886",606,20,549,13,1,1,9,13
"E01000887",690,24,572,53,1,0,16,24
"E01000888",697,33,527,27,11,0,65,34
"E01000889",657,20,426,79,8,0,94,30
"E01000890",767,22,295,41,75,1,311,22
"E01000891",672,14,307,74,27,0,221,29
"E01000892",823,15,657,54,9,0,53,35
"E01000893",715,26,631,18,2,0,12,26
"E01000894",619,10,539,40,2,0,5,23
"E01000895",841,21,602,85,67,0,41,25
"E01000896",756,16,676,39,1,0,6,18
"E01000897",721,18,632,27,6,0,13,25
"E01000898",850,15,586,114,14,0,78,43
"E01000899",698,17,592,46,6,0,13,24
"E01000900",757,21,601,32,9,0,52,42
"E01000901",703,11,558,53,3,0,32,46
"E01000902",590,11,442,56,3,0,35,43
"E01000903",686,22,524,108,0,0,22,10
"E01000904",918,17,696,74,3,0,86,42
"E01000905",812,16,349,60,42,1,315,29
"E01000906",788,15,514,66,23,0,142,28
"E01000907",627,9,356,39,37,1,165,20
"E01000908",827,51,536,87,12,0,117,24
"E01000909",661,16,583,17,4,0,21,20
"E01000910",588,11,535,14,1,0,7,20
"E01000911",663,12,578,32,0,0,14,27
"E01000912",700,6,565,32,15,1,63,18
"E01000913",722,14,638,19,5,0,18,28
"E01000914",970,72,584,207,25,1,44,37
"E01000915",635,27,348,81,29,2,121,27
"E01000916",881,52,502,235,5,0,57,30
"E01000917",913,21,637,116,10,1,90,38
"E01000918",935,43,648,132,14,0,51,47
"E01000919",834,49,485,197,12,2,62,27
"E01000920",946,54,699,87,9,0,54,43
"E01000921",946,53,788,50,2,0,24,29
"E01000922",653,15,513,74,2,0,17,32
"E01000923",656,16,578,27,2,0,3,30
"E01000924",795,17,699,34,2,2,14,27
"E01000925",629,13,458,52,5,0,57,44
"E01000926",698,14,555,50,1,0,27,51
"E01000927",734,11,643,31,1,0,24,24
"E01000928",682,16,577,41,0,1,18,29
"E01000929",685,11,500,60,13,1,63,37
"E01000930",1076,41,593,169,31,0,186,56
"E01000931",873,40,547,108,9,0,132,37
"E01000932",947,19,808,55,0,0,29,36
"E01000933",821,53,661,52,2,2,25,26
"E01000934",732,36,356,134,16,2,171,17
"E01000935",624,18,227,68,21,0,263,27
"E01000936",536,47,379,67,0,0,17,26
"E01000937",502,31,291,77,18,1,62,22
"E01000938",737,42,510,119,3,0,36,27
"E01000939",446,10,342,30,1,0,27,36
"E01000940",534,17,390,47,12,0,49,19
"E01000941",557,20,432,23,5,0,56,21
"E01000942",686,65,387,180,4,0,33,17
"E01000943",596,45,345,149,5,0,32,20
"E01000944",667,8,557,26,1,0,34,41
"E01000945",611,33,346,119,3,0,80,30
"E01000946",715,19,408,175,3,0,76,34
"E01000947",871,41,636,117,3,0,27,47
"E01000948",846,42,708,54,4,0,16,22
"E01000949",739,13,529,120,5,1,36,35
"E01000950",550,34,265,183,5,0,27,36
"E01000951",603,15,489,26,4,0,45,24
"E01000952",675,10,489,45,11,0,90,30
"E01000953",708,12,491,71,8,3,84,39
"E01000954",642,3,449,42,4,0,109,35
"E01000955",657,10,417,58,8,1,136,27
"E01000956",608,29,431,66,0,0,36,46
"E01000957",765,21,600,87,0,0,25,32
"E01000958",835,16,584,124,1,4,43,63
"E01000959",698,10,498,36,16,0,110,28
"E01000960",841,35,602,68,20,0,69,47
"E01000961",652,10,483,48,8,0,53,50
"E01000962",745,15,666,33,2,0,6,23
"E01000963",851,35,449,163,42,1,132,29
"E01000964",713,18,599,43,3,0,14,36
"E01000965",764,34,562,89,17,0,31,31
"E01000966",675,20,592,25,0,0,13,25
"E01000967",619,14,475,32,50,1,18,29
"E01000968",760,19,634,42,3,0,21,41
"E01000969",954,38,773,61,5,1,39,37
"E01000970",831,56,633,102,3,0,11,26
"E01000971",649,34,545,35,0,0,14,21
"E01000972",949,38,584,199,8,0,82,38
"E01000973",894,46,694,78,0,0,31,45
"E01000974",821,34,653,72,1,0,19,42
