"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E02000166",3537,96,2678,194,73,2,384,110
"E02000167",3629,90,3040,228,78,0,77,116
"E02000168",3535,108,3056,164,5,1,66,135
"E02000169",2942,49,2531,134,25,0,86,117
"E02000170",3685,139,2936,319,23,2,124,142
"E02000171",3502,114,2829,255,22,1,165,116
"E02000172",4186,93,2742,352,116,1,699,183
"E02000173",3569,110,2809,283,47,0,173,147
"E02000174",3822,98,3145,209,15,3,154,198
"E02000175",4277,212,3229,475,16,1,177,167
"E02000176",3261,162,2514,233,92,0,128,132
"E02000177",3865,80,2602,288,80,1,630,184
"E02000178",4280,139,3231,370,25,0,321,194
"E02000179",2870,92,2182,292,17,0,159,128
"E02000180",3394,98,2668,229,20,0,231,148
"E02000181",3657,106,3053,232,25,0,85,156
"E02000182",2963,94,2009,311,120,2,272,155
"E02000183",3881,121,2923,453,48,0,207,129
"E02000184",3655,122,2741,351,25,4,215,197
"E02000185",3938,159,2337,483,83,5,708,163
"E02000186",3099,134,2177,493,15,0,139,141
"E02000187",3290,64,2277,282,31,4,455,177
"E02000188",3170,103,2186,474,18,1,222,166
"E02000189",2253,116,1621,263,16,0,129,108
"E02000190",3181,184,1915,551,57,1,370,103
"E02000191",2868,153,1712,569,68,0,255,111
"E02000192",3375,154,2186,519,53,3,322,138
"E02000193",3850,216,2221,756,244,3,273,137
