"GeographyCode","QS416EW0001","QS416EW0002","QS416EW0003","QS416EW0004","QS416EW0005","QS416EW0006","QS416EW0007"
"E02000166",3537,1704,1348,387,74,24,2475
"E02000167",3629,1498,1552,460,88,31,2909
"E02000168",3535,1961,1328,219,21,6,1868
"E02000169",2942,953,1318,514,113,44,2887
"E02000170",3685,1821,1451,351,50,12,2355
"E02000171",3502,1797,1431,237,35,2,2019
"E02000172",4186,2789,1226,154,11,6,1608
"E02000173",3569,1888,1312,304,47,18,2141
"E02000174",3822,2399,1253,150,14,6,1625
"E02000175",4277,2514,1482,239,37,5,2093
"E02000176",3261,1761,1248,222,25,5,1797
"E02000177",3865,2491,1168,178,22,6,1621
"E02000178",4280,2839,1256,161,14,10,1668
"E02000179",2870,1493,1104,214,43,16,1735
"E02000180",3394,2137,1084,144,26,3,1463
"E02000181",3657,1879,1488,244,39,7,2124
"E02000182",2963,1478,1148,260,60,17,1920
"E02000183",3881,2062,1421,326,57,15,2317
"E02000184",3655,2566,966,109,12,2,1230
"E02000185",3938,2700,1079,138,15,6,1433
"E02000186",3099,2093,779,188,25,14,1288
"E02000187",3290,2414,766,98,8,4,1006
"E02000188",3170,2322,744,85,15,4,977
"E02000189",2253,1706,488,52,6,1,614
"E02000190",3181,2624,502,50,4,1,618
"E02000191",2868,2240,540,71,16,1,734
"E02000192",3375,2485,781,93,14,2,1018
"E02000193",3850,2981,728,109,21,11,1058
