"GeographyCode","QS417EW0001","QS417EW0002","QS417EW0003"
"E01000842",771,724,47
"E01000843",900,846,54
"E01000844",914,870,44
"E01000845",770,731,39
"E01000846",641,616,25
"E01000847",718,677,41
"E01000848",857,805,52
"E01000849",909,862,47
"E01000850",739,664,75
"E01000851",967,861,106
"E01000852",795,625,170
"E01000853",864,840,24
"E01000854",759,718,41
"E01000855",1299,1111,188
"E01000856",641,628,13
"E01000857",725,686,39
"E01000858",802,775,27
"E01000859",896,807,89
"E01000860",858,797,61
"E01000861",768,729,39
"E01000862",921,816,105
"E01000863",723,667,56
"E01000864",750,717,33
"E01000865",477,451,26
"E01000866",942,926,16
"E01000867",691,675,16
"E01000868",591,584,7
"E01000869",1035,967,68
"E01000870",790,774,16
"E01000871",678,632,46
"E01000872",964,913,51
"E01000873",731,710,21
"E01000874",734,704,30
"E01000875",874,839,35
"E01000876",809,800,9
"E01000877",768,726,42
"E01000878",590,550,40
"E01000879",638,602,36
"E01000880",673,621,52
"E01000881",685,632,53
"E01000882",757,728,29
"E01000883",672,638,34
"E01000884",629,577,52
"E01000885",648,592,56
"E01000886",637,606,31
"E01000887",714,690,24
"E01000888",716,697,19
"E01000889",662,657,5
"E01000890",776,767,9
"E01000891",682,672,10
"E01000892",849,823,26
"E01000893",774,715,59
"E01000894",667,619,48
"E01000895",896,841,55
"E01000896",802,756,46
"E01000897",769,721,48
"E01000898",879,850,29
"E01000899",761,698,63
"E01000900",770,757,13
"E01000901",714,703,11
"E01000902",606,590,16
"E01000903",714,686,28
"E01000904",943,918,25
"E01000905",825,812,13
"E01000906",836,788,48
"E01000907",630,627,3
"E01000908",869,827,42
"E01000909",677,661,16
"E01000910",612,588,24
"E01000911",678,663,15
"E01000912",710,700,10
"E01000913",805,722,83
"E01000914",1106,970,136
"E01000915",652,635,17
"E01000916",944,881,63
"E01000917",941,913,28
"E01000918",1020,935,85
"E01000919",923,834,89
"E01000920",1006,946,60
"E01000921",976,946,30
"E01000922",668,653,15
"E01000923",665,656,9
"E01000924",818,795,23
"E01000925",638,629,9
"E01000926",710,698,12
"E01000927",750,734,16
"E01000928",691,682,9
"E01000929",704,685,19
"E01000930",1212,1076,136
"E01000931",893,873,20
"E01000932",970,947,23
"E01000933",856,821,35
"E01000934",751,732,19
"E01000935",629,624,5
"E01000936",557,536,21
"E01000937",562,502,60
"E01000938",769,737,32
"E01000939",451,446,5
"E01000940",573,534,39
"E01000941",562,557,5
"E01000942",761,686,75
"E01000943",687,596,91
"E01000944",683,667,16
"E01000945",644,611,33
"E01000946",853,715,138
"E01000947",945,871,74
"E01000948",909,846,63
"E01000949",752,739,13
"E01000950",558,550,8
"E01000951",614,603,11
"E01000952",685,675,10
"E01000953",717,708,9
"E01000954",651,642,9
"E01000955",665,657,8
"E01000956",643,608,35
"E01000957",781,765,16
"E01000958",852,835,17
"E01000959",704,698,6
"E01000960",859,841,18
"E01000961",669,652,17
"E01000962",773,745,28
"E01000963",1006,851,155
"E01000964",725,713,12
"E01000965",785,764,21
"E01000966",703,675,28
"E01000967",690,619,71
"E01000968",785,760,25
"E01000969",991,954,37
"E01000970",862,831,31
"E01000971",668,649,19
"E01000972",973,949,24
"E01000973",945,894,51
"E01000974",832,821,11
