"GeographyCode","QS419EW0001","QS419EW0002","QS419EW0003","QS419EW0004"
"E02000166",8,8,0,0
"E02000167",75,63,11,1
"E02000168",132,120,3,9
"E02000169",656,617,33,6
"E02000170",45,45,0,0
"E02000171",29,28,1,0
"E02000172",228,216,11,1
"E02000173",110,89,15,6
"E02000174",11,11,0,0
"E02000175",2,2,0,0
"E02000176",84,70,13,1
"E02000177",85,84,0,1
"E02000178",34,32,0,2
"E02000179",24,22,2,0
"E02000180",540,538,0,2
"E02000181",5,4,0,1
"E02000182",59,59,0,0
"E02000183",4,4,0,0
"E02000184",156,154,2,0
"E02000185",77,75,0,2
"E02000186",196,195,1,0
"E02000187",91,91,0,0
"E02000188",383,380,2,1
"E02000189",537,531,5,1
"E02000190",1616,1570,15,31
"E02000191",1952,1923,25,4
"E02000192",136,133,3,0
"E02000193",620,576,44,0
