"GeographyCode","QS421EW0001","QS421EW0002","QS421EW0003","QS421EW0004","QS421EW0005","QS421EW0006","QS421EW0007","QS421EW0008","QS421EW0009","QS421EW0010","QS421EW0011","QS421EW0012","QS421EW0013","QS421EW0014","QS421EW0015","QS421EW0016","QS421EW0017","QS421EW0018","QS421EW0019","QS421EW0020","QS421EW0021","QS421EW0022","QS421EW0023","QS421EW0024","QS421EW0025","QS421EW0026","QS421EW0027","QS421EW0028","QS421EW0029","QS421EW0030","QS421EW0031","QS421EW0032","QS421EW0033","QS421EW0034","QS421EW0035"
"E02000166",8,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000167",75,26,25,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,49,0,0,0,0,13,1,0,0,0,0,35,0,0
"E02000168",132,132,0,0,0,0,40,0,0,40,0,0,0,0,92,58,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000169",656,119,0,0,0,0,0,0,0,0,0,0,0,0,119,0,96,0,0,0,23,537,0,0,0,0,508,7,0,0,0,22,0,0,0
"E02000170",45,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,28,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"E02000171",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,8,4,0,0,17,0,0,0
"E02000172",228,47,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,181,0,0,0,0,156,0,25,0,0,0,0,0,0
"E02000173",110,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,89,0,0,0,0,57,14,0,0,0,18,0,0,5
"E02000174",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0
"E02000175",2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000176",84,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,76,0,0,0,0,28,48,0,0,0,0,0,0,0
"E02000177",85,85,0,0,0,0,79,0,0,0,79,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000178",34,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,8,0,0,18,0,0,0,0,0,8,5,0,0,0,0,5,0
"E02000179",24,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2
"E02000180",540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,527,0,12,0,0,0,0,0,1
"E02000181",5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E02000182",59,59,0,0,0,0,25,0,0,0,25,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000183",4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02000184",156,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,79,0,0,0,0,69,0,0,0,0,0,10,0,61
"E02000185",77,75,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E02000186",196,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,173,31,0,0,0,0,24,118,0,0,0,0,0,8
"E02000187",91,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,80,0,0,0,0,71,0,0,0,0,9,0,0,2
"E02000188",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,378,0,0,0,0,0,0,5,0
"E02000189",537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,341,15,29,0,11,0,0,0,141
"E02000190",1616,32,0,0,0,0,0,0,0,0,0,16,16,0,16,0,16,0,0,0,0,1582,17,0,0,0,1527,6,11,0,0,7,14,0,2
"E02000191",1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771,0,0,0,0,1661,0,91,0,0,0,19,0,181
"E02000192",136,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,70,0,0,0,0,68,0,0,0,2,0,0,0,54
"E02000193",620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,318,69,183,0,0,0,1,0,49
