"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E00004120",273,7,11,15,1,10,201,28
"E00004121",206,7,8,17,0,15,144,15
"E00004122",182,7,6,16,1,11,123,18
"E00004123",232,18,17,19,1,20,141,16
"E00004124",147,2,4,8,2,18,97,16
"E00004125",252,7,9,14,2,11,187,22
"E00004126",237,17,10,16,2,21,148,23
"E00004127",227,26,10,14,1,21,137,18
"E00004128",254,14,6,15,0,17,178,24
"E00004129",243,16,14,12,2,19,162,18
"E00004130",231,13,11,11,2,13,154,27
"E00004131",228,26,1,9,3,12,147,30
"E00004132",166,10,6,11,0,7,122,10
"E00004133",208,14,7,19,1,18,136,13
"E00004134",166,9,7,13,0,11,121,5
"E00004135",139,6,7,3,5,8,104,6
"E00004136",190,7,3,8,0,17,140,15
"E00004137",236,18,5,7,2,12,163,29
"E00004138",196,16,13,21,0,9,114,23
"E00004139",209,52,38,20,1,17,48,33
"E00004140",182,4,7,13,2,12,131,13
"E00004141",171,14,8,12,1,10,111,15
"E00004142",210,7,7,12,0,13,148,23
"E00004143",200,12,7,10,1,12,141,17
"E00004144",184,8,2,10,1,13,140,10
"E00004145",226,12,9,11,3,16,149,26
"E00004146",222,14,10,18,0,13,156,11
"E00004147",203,8,3,8,1,15,147,21
"E00004148",151,2,6,10,4,14,100,15
"E00004149",291,32,12,13,0,22,190,22
"E00004150",270,5,6,5,0,14,216,24
"E00004151",237,2,9,10,0,14,188,14
"E00004152",195,8,4,22,0,13,137,11
"E00004153",180,7,11,10,2,12,118,20
"E00004154",212,2,14,7,0,10,146,33
"E00004155",198,8,5,15,4,13,130,23
"E00004156",184,11,4,5,3,17,134,10
"E00004157",185,2,2,15,2,12,131,21
"E00004158",223,39,32,18,1,22,81,30
"E00004159",278,69,29,38,6,30,71,35
"E00004160",167,46,11,18,3,18,54,17
"E00004161",174,4,11,11,0,15,126,7
"E00004162",213,23,4,15,0,12,141,18
"E00004163",299,23,19,28,1,23,173,32
"E00004164",286,71,23,40,5,30,84,33
"E00004165",261,68,26,31,2,27,68,39
"E00004166",284,57,42,25,6,39,75,40
"E00004167",210,18,9,12,0,19,137,15
"E00004168",168,8,3,13,1,10,128,5
"E00004169",300,20,16,23,2,46,167,26
"E00004172",217,21,14,9,3,19,127,24
"E00004173",602,44,21,37,8,223,212,57
"E00004174",244,36,10,16,2,93,65,22
"E00004175",262,63,18,32,4,38,81,26
"E00004177",293,4,7,12,0,137,101,32
"E00004179",283,71,29,27,1,26,92,37
"E00004180",211,19,9,8,0,43,120,12
"E00004181",312,95,21,25,5,30,99,37
"E00004182",150,19,9,11,0,24,74,13
"E00004183",165,37,25,17,1,17,53,15
"E00004184",185,40,12,12,1,36,62,22
"E00004185",317,31,13,21,0,73,141,38
"E00004187",438,29,11,16,1,98,226,57
"E00004188",177,7,1,6,0,46,101,16
"E00004189",309,7,7,5,1,125,146,18
"E00004190",469,24,26,35,2,49,301,32
"E00004193",646,12,10,28,2,196,329,69
"E00004194",234,16,10,5,1,21,157,24
"E00004195",289,13,8,7,3,48,181,29
"E00004196",198,19,10,11,0,15,135,8
"E00004197",249,7,9,14,0,38,156,25
"E00004198",334,13,20,16,2,75,156,52
"E00004199",262,10,14,6,1,37,159,35
"E00004200",236,18,14,13,1,26,135,29
"E00004201",229,12,9,16,0,13,167,12
"E00004202",170,67,17,10,5,6,47,18
"E00004203",299,15,14,19,1,35,196,19
"E00004204",247,12,11,15,1,21,170,17
"E00004205",318,27,22,23,1,31,199,15
"E00004206",252,60,33,19,6,29,80,25
"E00004207",266,67,31,27,3,32,69,37
"E00004208",241,64,32,17,2,43,63,20
"E00004209",247,49,20,25,2,30,95,26
"E00004210",230,69,33,19,5,31,48,25
"E00004211",274,26,18,22,3,48,123,34
"E00004212",264,15,23,24,1,29,153,19
"E00004213",341,73,35,49,3,38,126,17
"E00004214",422,73,39,48,3,46,170,43
"E00004215",228,17,10,19,1,17,151,13
"E00004216",246,7,21,11,0,12,174,21
