"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E02000166",6541,861,1829,315,3187,460,94,2597,324,3034,182,1453,901,1061
"E02000167",6541,361,1563,147,3486,218,84,2970,224,4033,142,1843,829,1662
"E02000168",6795,844,1975,267,3597,462,100,3032,361,3543,173,1391,928,1062
"E02000169",6193,416,1325,111,2858,212,89,2467,161,3202,106,1406,694,1817
"E02000170",7094,542,1813,210,3423,374,116,2989,330,3859,191,1690,906,1826
"E02000171",6444,650,1764,226,3152,392,99,2676,308,3391,159,1502,878,1389
"E02000172",8151,1817,2168,526,2801,720,154,2314,504,2604,201,975,951,1349
"E02000173",6403,387,1357,151,2765,263,71,2496,217,3849,119,1693,722,2035
"E02000174",7287,1056,2048,350,3214,576,134,2685,408,3468,164,1064,895,1268
"E02000175",7720,664,1954,257,3494,453,126,3214,357,4326,186,1828,941,2036
"E02000176",5476,297,1114,122,2555,172,89,2251,167,3436,95,1443,694,1675
"E02000177",7233,1384,1952,470,2657,590,148,2182,402,2672,165,1029,838,1284
"E02000178",7630,1102,1972,398,2917,596,157,2452,417,3291,217,1312,889,1855
"E02000179",5010,579,1220,209,2035,280,74,1725,208,2384,120,1061,570,1231
"E02000180",6854,917,2047,366,3100,510,81,2760,376,2897,180,985,753,1360
"E02000181",6632,434,1566,181,3070,299,98,2808,245,4075,146,1716,807,1906
"E02000182",5477,651,1090,154,1792,214,68,1524,159,2578,81,1013,546,1728
"E02000183",6660,758,1707,204,3029,369,97,2550,253,3417,134,1478,829,1423
"E02000184",7352,1270,2019,489,2702,620,125,2348,419,2498,160,839,784,1518
"E02000185",6695,1243,1530,328,2008,535,107,1607,357,2285,186,918,756,1622
"E02000186",5891,745,1516,294,2383,417,97,1997,276,2677,131,880,620,1375
"E02000187",6386,1621,1681,458,1733,574,104,1433,350,1354,121,425,617,1197
"E02000188",6820,1363,1760,377,2418,509,88,2277,327,1533,102,542,568,1255
"E02000189",4801,740,1281,218,1745,341,55,1556,229,1600,145,515,440,1213
"E02000190",6707,794,1849,237,2727,365,84,2703,227,2381,128,782,633,1774
"E02000191",7019,408,1985,193,3470,280,72,3687,177,2765,97,929,594,1899
"E02000192",5986,959,1609,309,2171,470,151,1946,352,2394,131,888,675,1319
"E02000193",7075,588,1773,222,3082,392,83,2946,302,3273,139,1247,771,1891
