"GeographyCode","QS601EW0001","QS601EW0002","QS601EW0003","QS601EW0004","QS601EW0005","QS601EW0006","QS601EW0007","QS601EW0008","QS601EW0009","QS601EW0010","QS601EW0011","QS601EW0012","QS601EW0013","QS601EW0014","QS601EW0015","QS601EW0016"
"E02000166",6020,4249,599,2113,51,220,351,498,276,141,1771,595,427,276,322,151
"E02000167",5885,4459,418,2415,48,311,429,602,149,87,1426,506,321,350,84,165
"E02000168",6371,4756,567,2654,26,156,329,609,260,155,1615,482,459,231,299,144
"E02000169",5586,3784,373,2037,56,286,306,373,142,211,1802,450,672,411,78,191
"E02000170",6748,5273,496,3277,32,198,333,513,264,160,1475,443,427,251,194,160
"E02000171",6026,4492,468,2549,34,178,292,562,257,152,1534,468,461,213,232,160
"E02000172",7637,4762,761,2477,19,117,234,380,457,317,2875,578,957,453,605,282
"E02000173",5963,4523,370,2872,30,213,247,484,184,123,1440,393,458,302,125,162
"E02000174",6919,4976,606,2812,17,142,272,574,330,223,1943,456,646,259,380,202
"E02000175",7452,5858,468,3926,27,178,259,507,311,182,1594,411,478,240,289,176
"E02000176",5130,4082,309,2575,21,185,286,470,144,92,1048,341,256,214,111,126
"E02000177",6704,4547,627,2535,21,123,219,385,389,248,2157,543,598,392,408,216
"E02000178",7266,5326,602,3366,28,101,212,410,395,212,1940,468,570,257,412,233
"E02000179",4663,3310,359,1854,31,145,220,358,230,113,1353,342,365,291,178,177
"E02000180",6578,4385,550,2278,34,154,245,449,310,365,2193,367,1081,250,287,208
"E02000181",6305,5023,393,3454,23,193,225,423,189,123,1282,361,377,239,155,150
"E02000182",4950,3326,346,2006,19,143,192,297,202,121,1624,372,475,415,148,214
"E02000183",6267,4481,435,2437,47,279,322,621,215,125,1786,577,457,299,265,188
"E02000184",7036,4470,647,2339,39,88,205,393,407,352,2566,374,1165,336,413,278
"E02000185",6195,4200,601,2317,24,76,201,348,403,230,1995,559,496,331,372,237
"E02000186",5584,3868,394,2226,25,148,178,405,235,257,1716,302,739,209,299,167
"E02000187",5962,3335,647,1619,17,57,93,193,358,351,2627,432,1093,390,467,245
"E02000188",6409,3428,613,1693,22,50,116,187,358,389,2981,348,1752,327,314,240
"E02000189",4595,2561,395,1138,16,61,116,161,290,384,2034,289,1211,203,187,144
"E02000190",6366,3233,404,1548,16,72,162,245,285,501,3133,368,2150,173,296,146
"E02000191",6788,3432,303,1843,21,137,139,280,148,561,3356,270,2680,103,171,132
"E02000192",5684,3844,485,2105,32,152,163,413,326,168,1840,388,693,273,315,171
"E02000193",6744,4414,491,2490,24,170,196,489,241,313,2330,425,1270,186,257,192
