"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E01000842",724,556,25,353,7,27,47,86,8,3,168,116,9,7,19,17
"E01000843",846,652,49,376,4,32,39,97,44,11,194,97,24,23,24,26
"E01000844",870,693,35,445,3,54,27,102,14,13,177,100,20,7,35,15
"E01000845",731,573,32,367,5,34,39,73,16,7,158,100,13,8,23,14
"E01000846",616,381,59,187,4,22,29,37,34,9,235,133,20,20,40,22
"E01000847",677,470,45,255,10,36,19,73,29,3,207,92,24,20,45,26
"E01000848",805,655,29,428,4,51,29,92,16,6,150,116,3,2,15,14
"E01000849",862,668,53,445,3,25,38,75,18,11,194,134,21,8,21,10
"E01000850",664,483,33,301,1,38,22,50,17,21,181,89,60,3,22,7
"E01000851",861,641,47,385,3,43,23,79,19,42,220,69,102,4,29,16
"E01000852",625,283,25,168,5,12,17,25,11,20,342,103,217,2,10,10
"E01000853",840,471,86,240,1,9,34,38,43,20,369,235,59,5,52,18
"E01000854",718,450,51,240,1,26,23,37,21,51,268,82,119,8,41,18
"E01000855",1111,805,58,538,1,19,35,95,25,34,306,146,121,7,15,17
"E01000856",628,444,56,212,4,18,23,87,28,16,184,75,15,18,55,21
"E01000857",686,498,28,285,4,51,37,79,12,2,188,135,6,2,31,14
"E01000858",775,500,65,277,3,22,18,53,44,18,275,99,31,33,90,22
"E01000859",807,674,34,371,7,58,49,130,15,10,133,98,5,5,18,7
"E01000860",797,497,35,286,7,33,36,71,19,10,300,214,21,7,35,23
"E01000861",729,562,60,316,6,18,24,80,34,24,167,62,37,15,38,15
"E01000862",816,676,39,383,6,67,32,132,15,2,140,97,16,7,10,10
"E01000863",667,559,39,346,3,19,22,86,20,24,108,42,29,13,14,10
"E01000864",717,568,50,322,4,28,34,86,28,16,149,65,25,8,32,19
"E01000865",451,340,24,186,3,28,27,50,12,10,111,58,12,4,29,8
"E01000866",926,656,74,371,4,27,29,104,31,16,270,143,18,15,71,23
"E01000867",675,446,65,247,2,19,19,41,20,33,229,105,26,26,47,25
"E01000868",584,411,85,201,6,13,19,36,45,6,173,57,14,21,64,17
"E01000869",967,727,75,410,6,33,33,116,27,27,240,126,40,16,38,20
"E01000870",774,540,55,305,3,25,23,92,25,12,234,104,13,14,87,16
"E01000871",632,481,35,271,5,51,23,74,16,6,151,102,10,9,19,11
"E01000872",913,733,66,469,4,24,29,78,43,20,180,74,19,8,57,22
"E01000873",710,554,40,381,1,21,37,59,11,4,156,105,9,11,24,7
"E01000874",704,578,37,369,4,32,47,61,18,10,126,100,7,3,6,10
"E01000875",839,633,56,430,5,10,28,69,27,8,206,92,38,12,46,18
"E01000876",800,538,63,334,6,14,20,50,36,15,262,122,22,22,70,26
"E01000877",726,602,32,410,1,24,28,71,27,9,124,76,16,3,13,16
"E01000878",550,390,35,220,5,47,33,37,12,1,160,116,5,10,10,19
"E01000879",602,471,26,274,8,42,36,63,15,7,131,95,7,4,13,12
"E01000880",621,513,22,343,5,50,23,53,10,7,108,79,8,6,3,12
"E01000881",632,501,31,299,3,32,26,77,20,13,131,71,22,14,16,8
"E01000882",728,631,32,396,6,50,43,87,8,9,97,74,3,7,5,8
"E01000883",638,477,33,311,2,35,20,48,19,9,161,90,36,6,11,18
"E01000884",577,447,28,234,7,59,43,60,13,3,130,74,17,15,8,16
"E01000885",592,444,31,233,20,53,41,58,4,4,148,127,2,10,4,5
"E01000886",606,476,36,275,6,24,34,82,15,4,130,81,8,12,19,10
"E01000887",690,542,41,354,2,25,22,69,22,7,148,86,15,6,30,11
"E01000888",697,512,43,302,4,19,29,82,20,13,185,93,26,10,42,14
"E01000889",657,404,70,223,2,5,12,36,38,18,253,123,7,40,76,7
"E01000890",767,402,86,192,2,15,18,29,45,15,365,183,9,27,119,27
"E01000891",672,369,70,192,1,8,17,20,48,13,303,119,21,29,100,34
"E01000892",823,592,51,353,4,45,28,83,22,6,231,142,14,16,42,17
"E01000893",715,571,53,298,7,36,50,108,15,4,144,107,8,8,11,10
"E01000894",619,497,19,283,8,55,44,67,13,8,122,95,4,5,7,11
"E01000895",841,604,40,356,4,36,45,100,12,11,237,190,7,12,11,17
"E01000896",756,601,30,347,6,52,44,99,16,7,155,121,5,6,10,13
"E01000897",721,576,30,377,3,48,32,72,9,5,145,121,5,5,5,9
"E01000898",850,638,31,490,5,22,17,55,13,5,212,136,22,7,38,9
"E01000899",698,546,20,291,9,77,43,93,12,1,152,124,5,4,6,13
"E01000900",757,532,68,312,2,20,27,65,30,8,225,126,17,35,35,12
"E01000901",703,451,78,256,3,9,21,30,43,11,252,89,27,46,70,20
