"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E00004120",143,116,3,82,3,6,11,10,0,1,27,20,0,1,2,4
"E00004121",118,87,4,54,1,5,3,18,1,1,31,23,3,0,4,1
"E00004122",103,78,2,48,0,7,4,16,1,0,25,14,2,1,2,6
"E00004123",108,94,4,51,4,10,5,18,2,0,14,8,2,1,0,3
"E00004124",100,71,2,51,0,1,6,6,4,1,29,19,4,1,3,2
"E00004125",178,131,9,85,0,4,6,22,5,0,47,30,6,4,2,5
"E00004126",144,117,6,75,0,6,7,17,4,2,27,21,0,1,3,2
"E00004127",124,99,11,65,1,5,4,8,1,4,25,21,1,1,2,0
"E00004128",161,120,4,82,0,5,3,21,3,2,41,33,2,0,5,1
"E00004129",142,114,2,83,2,8,3,10,5,1,28,21,0,1,4,2
"E00004130",128,102,8,71,2,1,5,13,2,0,26,13,4,1,6,2
"E00004131",119,106,6,68,0,13,8,9,2,0,13,9,1,0,2,1
"E00004132",92,81,0,52,0,10,4,15,0,0,11,9,0,0,1,1
"E00004133",118,98,9,55,0,6,9,11,4,4,20,15,3,1,1,0
"E00004134",100,79,4,54,0,4,5,9,3,0,21,10,3,0,3,5
"E00004135",105,92,9,57,0,4,7,12,2,1,13,7,2,0,4,0
"E00004136",110,95,6,57,0,5,5,19,0,3,15,8,5,0,2,0
"E00004137",147,117,11,68,2,9,4,20,2,1,30,23,0,0,0,7
"E00004138",142,101,5,61,2,6,8,9,8,2,41,27,2,1,8,3
"E00004139",140,89,20,28,0,0,7,7,23,4,51,2,9,19,5,16
"E00004140",111,87,3,56,1,2,8,17,0,0,24,18,2,0,3,1
"E00004141",114,71,7,40,0,2,6,16,0,0,43,23,2,5,10,3
"E00004142",133,107,3,72,1,1,9,14,6,1,26,22,2,0,2,0
"E00004143",126,92,1,62,1,4,7,16,1,0,34,15,0,0,16,3
"E00004144",102,82,7,52,0,2,7,11,3,0,20,16,1,1,1,1
"E00004145",110,83,6,49,0,8,6,13,0,1,27,18,2,1,1,5
"E00004146",126,110,5,62,2,10,2,21,6,2,16,9,2,1,3,1
"E00004147",126,96,2,62,0,5,5,21,1,0,30,25,2,1,2,0
"E00004148",106,84,5,46,4,8,6,10,4,1,22,18,1,0,1,2
"E00004149",149,126,5,77,0,10,12,19,3,0,23,20,2,1,0,0
"E00004150",147,122,5,84,0,6,3,23,1,0,25,11,4,0,7,3
"E00004151",148,133,2,99,1,6,6,16,2,1,15,10,1,1,0,3
"E00004152",113,92,3,54,2,8,7,16,2,0,21,15,1,0,1,4
"E00004153",108,84,6,56,0,4,5,10,3,0,24,12,3,0,5,4
"E00004154",122,105,2,64,1,16,4,17,0,1,17,10,5,0,0,2
"E00004155",103,86,7,54,0,6,2,12,0,5,17,9,2,3,1,2
"E00004156",126,96,9,56,0,8,4,10,6,3,30,20,2,0,5,3
"E00004157",94,72,3,46,0,8,5,9,0,1,22,12,6,1,0,3
"E00004158",124,73,8,45,0,1,5,7,3,4,51,21,4,6,15,5
"E00004159",160,96,17,41,2,2,6,5,16,7,64,22,7,8,22,5
"E00004160",103,47,12,19,1,0,5,5,5,0,56,41,3,2,6,4
"E00004161",96,73,6,44,0,5,5,11,1,1,23,19,2,0,2,0
"E00004162",128,105,7,71,0,9,4,6,5,3,23,12,4,4,2,1
"E00004163",163,125,8,75,2,16,2,16,5,1,38,16,7,5,8,2
"E00004164",160,93,23,42,1,1,5,8,12,1,67,36,4,7,10,10
"E00004165",146,87,13,48,2,0,2,12,8,2,59,28,8,5,10,8
"E00004166",157,86,18,33,2,3,6,11,13,0,71,26,5,8,25,7
"E00004167",99,73,4,39,0,11,8,10,1,0,26,22,0,2,2,0
"E00004168",109,75,5,61,0,4,1,3,0,1,34,29,1,0,3,1
"E00004169",149,109,12,64,1,4,8,17,2,1,40,22,15,0,1,2
"E00004172",148,112,9,57,0,10,7,17,8,4,36,17,4,3,11,1
"E00004173",127,55,8,33,0,2,3,5,2,2,72,42,26,0,1,3
"E00004174",131,69,7,31,0,3,4,6,5,13,62,25,19,2,10,6
"E00004175",128,77,15,31,0,2,3,7,16,3,51,23,13,1,9,5
"E00004177",74,43,2,30,0,2,2,7,0,0,31,13,15,0,0,3
"E00004179",190,93,19,46,0,2,11,6,8,1,97,69,6,0,20,2
"E00004180",128,83,10,45,0,2,7,7,4,8,45,18,24,0,1,2
"E00004181",212,90,19,45,0,3,9,7,5,2,122,101,3,2,12,4
"E00004182",76,55,13,28,0,0,3,3,6,2,21,6,11,0,1,3
"E00004183",106,73,10,45,1,0,1,8,4,4,33,18,2,2,9,2
"E00004184",112,68,8,35,1,2,5,10,5,2,44,23,10,2,8,1
"E00004185",171,106,21,50,0,7,7,7,5,9,65,14,29,3,11,8
"E00004187",226,169,9,101,2,10,1,24,6,16,57,18,24,1,10,4
"E00004188",109,71,5,37,1,6,2,6,6,8,38,12,23,0,3,0
"E00004189",118,69,2,40,0,4,1,4,3,15,49,10,36,0,2,1
"E00004190",384,258,28,150,0,6,14,39,10,11,126,74,37,2,4,9
"E00004193",119,81,3,59,1,1,1,10,2,4,38,17,19,0,1,1
"E00004194",144,109,4,68,1,9,5,16,2,4,35,15,9,0,7,4
"E00004195",133,93,5,62,0,8,1,11,1,5,40,16,18,0,2,4
"E00004196",101,62,7,38,0,9,3,1,2,2,39,28,6,0,5,0
"E00004197",116,77,2,50,0,4,8,10,0,3,39,22,13,1,2,1
"E00004198",182,122,11,66,0,11,7,14,5,8,60,14,35,1,7,3
"E00004199",163,135,9,85,0,10,10,11,4,6,28,11,13,0,3,1
"E00004200",136,112,8,69,0,5,7,16,3,4,24,11,9,0,3,1
"E00004201",144,116,5,66,2,13,7,21,1,1,28,21,0,2,2,3
