"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E01000842",92,19,3,70
"E01000843",99,18,7,74
"E01000844",76,21,1,54
"E01000845",102,23,7,72
"E01000846",119,26,11,82
"E01000847",113,16,5,92
"E01000848",55,13,1,41
"E01000849",100,29,5,66
"E01000850",480,58,21,401
"E01000851",1117,139,58,920
"E01000852",902,113,53,736
"E01000853",206,22,13,171
"E01000854",713,56,63,594
"E01000855",282,44,17,221
"E01000856",178,36,8,134
"E01000857",73,10,4,59
"E01000858",207,35,15,157
"E01000859",66,22,1,43
"E01000860",83,21,0,62
"E01000861",280,48,7,225
"E01000862",115,13,4,98
"E01000863",208,62,13,133
"E01000864",182,31,15,136
"E01000865",615,91,37,487
"E01000866",194,45,15,134
"E01000867",246,61,18,167
"E01000868",98,25,5,68
"E01000869",276,71,11,194
"E01000870",149,35,11,103
"E01000871",123,28,7,88
"E01000872",150,43,9,98
"E01000873",77,10,5,62
"E01000874",120,27,6,87
"E01000875",157,23,5,129
"E01000876",155,35,12,108
"E01000877",88,19,6,63
"E01000878",408,62,31,315
"E01000879",177,43,22,112
"E01000880",83,11,2,70
"E01000881",171,28,8,135
"E01000882",66,21,1,44
"E01000883",130,11,6,113
"E01000884",112,21,2,89
"E01000885",75,14,3,58
"E01000886",91,22,2,67
"E01000887",87,23,4,60
"E01000888",145,30,7,108
"E01000889",153,35,15,103
"E01000890",144,34,14,96
"E01000891",178,32,10,136
"E01000892",112,25,5,82
"E01000893",83,15,2,66
"E01000894",65,14,3,48
"E01000895",81,21,4,56
"E01000896",76,12,4,60
"E01000897",75,14,1,60
"E01000898",106,24,9,73
"E01000899",76,11,1,64
"E01000900",143,23,13,107
"E01000901",333,50,34,249
"E01000902",140,25,13,102
"E01000903",127,27,7,93
"E01000904",215,58,23,134
"E01000905",196,47,15,134
"E01000906",109,26,5,78
"E01000907",103,17,9,77
"E01000908",79,20,8,51
"E01000909",100,13,7,80
"E01000910",97,20,10,67
"E01000911",96,13,7,76
"E01000912",153,31,16,106
"E01000913",93,15,5,73
"E01000914",348,35,12,301
"E01000915",140,19,16,105
"E01000916",257,30,10,217
"E01000917",195,26,17,152
"E01000918",387,93,15,279
"E01000919",532,76,21,435
"E01000920",238,42,8,188
"E01000921",157,43,6,108
"E01000922",283,41,15,227
"E01000923",120,28,7,85
"E01000924",136,25,9,102
"E01000925",160,26,15,119
"E01000926",170,38,4,128
"E01000927",143,28,9,106
"E01000928",110,18,3,89
"E01000929",131,36,7,88
"E01000930",164,41,13,110
"E01000931",159,32,14,113
"E01000932",102,31,5,66
"E01000933",116,33,9,74
"E01000934",163,46,7,110
"E01000935",110,26,12,72
"E01000936",647,85,30,532
"E01000937",730,97,43,590
"E01000938",382,127,8,247
"E01000939",240,44,19,177
"E01000940",283,55,16,212
"E01000941",134,28,10,96
"E01000942",1235,163,65,1007
"E01000943",300,47,13,240
"E01000944",698,52,20,626
"E01000945",707,114,44,549
"E01000946",202,30,4,168
"E01000947",397,82,28,287
"E01000948",168,32,6,130
"E01000949",173,23,8,142
"E01000950",223,42,20,161
"E01000951",303,50,16,237
"E01000952",336,62,20,254
"E01000953",262,59,17,186
"E01000954",189,34,15,140
"E01000955",299,47,21,231
"E01000956",295,56,20,219
"E01000957",212,38,16,158
"E01000958",507,74,43,390
"E01000959",302,63,19,220
"E01000960",143,26,14,103
"E01000961",158,29,13,116
"E01000962",87,22,5,60
"E01000963",186,16,5,165
"E01000964",113,18,3,92
"E01000965",114,24,7,83
"E01000966",82,22,2,58
"E01000967",82,11,7,64
"E01000968",74,19,1,54
"E01000969",120,22,5,93
"E01000970",74,17,3,54
"E01000971",84,26,4,54
"E01000972",190,37,21,132
"E01000973",165,37,10,118
"E01000974",176,41,14,121
