"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E01000842",849,0,4,7,1,2,0,2,1,1,0,3,4,17,39,6,36,83,171,26,168,26,22,83,83,61,6,4
"E01000843",909,0,2,9,1,1,1,2,0,3,1,8,2,12,64,13,50,102,141,23,222,22,20,75,87,49,8,0
"E01000844",1089,0,4,22,3,2,1,2,4,5,5,4,0,24,65,11,24,103,242,14,285,40,18,75,80,58,15,5
"E01000845",847,0,3,12,2,4,0,1,0,1,4,1,2,22,69,11,27,82,140,11,186,37,23,66,74,73,7,1
"E01000846",582,0,0,7,0,1,0,1,0,2,3,0,0,26,66,29,33,51,50,14,90,25,28,44,69,41,3,6
"E01000847",712,0,2,12,0,1,0,3,1,1,6,3,1,15,78,22,31,58,96,23,120,34,30,51,71,55,8,2
"E01000848",1008,0,5,16,3,3,0,1,3,4,2,2,0,12,66,11,51,99,198,14,228,25,25,87,92,67,8,2
"E01000849",982,0,1,8,0,3,0,2,1,2,0,3,1,25,71,13,39,97,145,14,207,33,34,95,108,84,3,1
"E01000850",937,0,0,22,1,4,0,3,1,8,5,2,0,16,51,15,73,97,63,14,211,23,22,85,184,53,3,3
"E01000851",1017,0,3,10,3,2,0,0,1,0,4,1,1,16,100,22,76,121,81,21,204,33,34,102,99,88,1,4
"E01000852",497,1,2,7,2,1,0,0,1,0,3,1,0,7,48,8,45,42,38,7,76,14,22,99,47,31,0,2
"E01000853",622,0,0,10,1,1,0,1,1,1,5,2,0,20,75,25,59,31,36,14,95,30,31,73,74,46,1,0
"E01000854",638,0,2,13,1,1,0,3,0,1,7,3,0,10,79,27,64,47,49,14,76,22,24,63,101,38,2,4
"E01000855",1110,1,2,10,0,1,0,1,3,2,3,1,0,14,62,14,75,129,85,11,209,32,35,106,210,107,2,5
"E01000856",731,2,0,14,1,3,0,0,2,2,6,2,1,41,97,27,59,77,29,16,111,28,15,78,72,60,1,1
"E01000857",773,0,2,10,3,1,0,2,0,2,2,0,3,21,60,21,19,76,95,21,187,36,19,75,54,72,1,1
"E01000858",801,0,0,14,4,3,0,1,2,1,3,3,4,38,82,34,53,77,61,9,126,35,26,73,88,75,2,1
"E01000859",992,0,3,26,1,8,0,4,2,2,9,2,0,27,83,13,32,121,122,18,248,28,21,85,64,94,3,2
