"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E02000166",3928,3,2,70,5,13,3,3,7,14,25,8,8,126,285,89,136,412,211,76,743,161,152,525,539,340,31,11
"E02000167",4296,3,7,96,21,18,2,18,5,11,21,8,2,105,292,43,114,485,619,113,911,167,127,383,415,357,34,15
"E02000168",4463,1,6,85,8,13,0,11,11,13,29,12,5,112,364,78,188,635,254,68,840,161,181,554,477,417,23,2
"E02000169",3582,6,8,81,7,7,2,21,5,17,22,10,4,94,325,43,133,282,643,117,700,125,76,315,289,243,59,29
"E02000170",4976,4,10,111,20,6,2,17,8,24,34,12,10,187,437,94,240,511,540,113,941,222,171,523,431,360,38,21
"E02000171",4210,1,7,58,9,6,2,7,2,13,19,2,5,130,377,71,156,482,388,63,800,161,121,474,519,368,15,12
"E02000172",4208,3,3,66,15,13,3,1,6,4,24,10,13,162,473,160,318,431,203,94,568,196,182,515,478,312,15,6
"E02000173",4314,3,8,88,14,7,3,23,3,18,20,9,0,72,313,61,144,409,775,95,826,145,97,326,616,270,24,33
"E02000174",4592,3,4,71,11,14,3,11,5,6,21,11,10,150,448,113,221,595,204,83,860,186,186,500,407,507,21,12
"E02000175",5504,0,13,101,17,15,0,16,5,22,26,14,6,163,512,112,261,563,744,91,1226,234,201,448,453,313,34,15
"E02000176",3928,0,14,53,7,10,1,7,9,12,7,12,5,78,241,41,150,382,756,68,888,124,99,340,363,270,32,12
"E02000177",4089,2,3,83,11,13,1,7,8,9,34,3,11,142,480,140,264,415,329,81,626,187,136,429,422,314,15,7
"E02000178",4881,1,5,97,17,8,5,16,5,12,34,11,9,185,528,131,384,412,421,128,921,251,172,458,407,323,24,13
"E02000179",3050,0,7,40,3,7,1,7,1,7,14,12,5,75,277,75,141,293,427,71,618,118,101,236,301,218,26,9
"E02000180",3989,5,3,70,9,7,0,9,12,8,25,8,6,127,420,92,265,458,234,86,730,151,149,429,366,371,13,6
"E02000181",4816,2,18,110,28,16,0,8,6,21,31,12,5,106,389,75,153,496,845,109,1038,174,140,426,408,266,19,25
"E02000182",3085,3,7,70,11,13,0,7,7,14,18,11,3,104,298,76,154,269,519,98,536,122,66,233,265,172,35,44
"E02000183",4242,1,5,83,14,17,0,11,6,9,26,7,8,131,334,94,159,444,489,82,940,139,125,373,406,393,21,8
"E02000184",3970,5,1,64,12,8,0,5,5,10,24,8,8,157,485,181,371,360,165,88,558,175,139,432,456,304,6,7
"E02000185",3749,2,7,59,5,9,1,4,3,10,27,8,5,150,504,138,309,293,261,103,549,189,115,369,387,260,17,24
"E02000186",3582,1,6,73,7,10,1,5,6,10,34,4,2,92,379,92,283,383,283,60,694,154,144,284,309,311,24,4
"E02000187",2884,2,4,46,6,7,0,3,4,9,17,3,14,97,423,182,358,137,120,69,266,156,113,306,363,206,9,10
"E02000188",2962,2,0,45,10,10,0,0,1,4,20,8,8,83,383,202,327,146,173,53,275,158,152,333,377,199,31,7
"E02000189",2198,2,3,31,7,6,0,2,3,5,8,3,1,48,262,67,238,171,137,33,328,101,119,226,222,176,20,10
"E02000190",2804,3,2,44,4,7,0,6,5,2,20,5,2,70,291,84,275,209,170,43,439,106,113,415,278,238,14,3
"E02000191",3089,1,7,52,7,8,0,6,3,9,19,7,1,49,278,72,258,307,231,56,567,92,102,349,431,210,6,13
"E02000192",3467,2,5,62,10,9,0,6,12,10,15,5,4,88,328,135,264,314,376,47,662,139,123,340,243,317,8,5
"E02000193",4108,1,25,50,4,10,0,6,5,5,20,5,2,60,398,102,380,396,345,44,756,132,137,400,441,415,7,12
