"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E00004120",187,0,0,1,0,0,0,0,1,0,0,0,0,6,11,0,5,16,35,5,36,7,3,20,20,17,1,4
"E00004121",142,0,0,2,0,1,1,0,0,0,0,0,0,2,9,2,3,11,27,1,49,6,0,7,11,9,0,3
"E00004122",125,0,0,2,0,0,0,0,0,1,1,0,0,0,15,2,0,10,21,4,33,7,1,5,13,11,1,0
"E00004123",170,0,1,2,0,0,0,1,0,0,1,0,0,3,17,1,9,12,25,7,32,5,15,8,20,11,2,0
"E00004124",91,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,4,20,2,17,7,1,14,10,8,2,0
"E00004125",179,0,0,3,0,1,0,1,0,1,0,1,1,6,9,5,5,19,18,2,35,6,9,18,24,18,0,0
"E00004126",170,0,0,4,0,2,0,0,0,2,0,0,0,1,12,4,6,18,34,2,41,6,6,14,11,9,1,1
"E00004127",167,0,0,1,0,1,0,0,0,0,0,1,0,8,7,2,9,19,14,3,37,5,7,23,23,7,0,1
"E00004128",171,0,0,1,0,1,0,0,0,0,0,0,0,4,6,0,3,18,43,2,48,3,4,15,13,10,1,0
"E00004129",178,0,2,6,1,0,0,1,1,1,2,0,0,4,9,1,9,17,35,2,27,3,8,15,25,13,1,1
"E00004130",172,0,0,1,0,0,0,1,0,0,0,1,0,4,20,1,10,24,28,3,30,6,3,5,18,18,0,0
"E00004131",179,0,0,1,1,0,0,0,0,0,0,2,0,1,17,2,19,18,26,2,42,4,2,17,12,11,3,0
"E00004132",130,0,1,2,1,0,0,0,0,1,0,0,0,1,6,0,0,13,29,1,33,5,3,12,12,10,2,0
"E00004133",150,0,1,0,0,0,0,0,0,0,0,0,0,2,12,1,6,13,27,0,36,4,6,18,13,10,1,0
"E00004134",104,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,14,16,3,21,7,1,8,12,8,1,0
"E00004135",115,0,0,2,0,1,0,0,0,1,0,0,0,3,9,0,3,8,21,2,29,2,3,8,10,15,0,0
"E00004136",144,0,1,1,0,0,0,0,0,1,0,1,2,6,8,0,6,15,26,3,35,1,4,19,10,6,0,0
"E00004137",180,0,2,2,0,0,0,0,2,0,0,0,0,1,16,4,14,15,31,5,37,4,2,14,19,14,0,0
