"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E01000842",849,170,120,7,8,71,20,0,1,3,10,50,0,13,3,34,306,47,5,9,32,0,1,48,37,8,3,47,47,164,48,72,18,3,3,1,19,225,6,2,1,3,14,9,5,2,2,75,62,8,5,128,0,2,84,33,0,9,56,41,12,14,4,7,4,15,15,17,1,1,3,0,0,1,2,0,6,3,3,0,7,1,1,5,0,29,10,5,1,4,19,9,4,6,0,22,15,11,4,0,7,4,3,4,0,0,0,0,0,4,3,0,1,20,0,0,0,0,20,3,2,0,2,0,13
"E01000843",909,140,98,4,6,47,29,2,0,2,8,42,0,11,1,30,337,40,9,8,20,0,3,50,36,9,5,49,49,198,57,76,12,2,2,5,44,232,7,2,2,3,11,6,5,1,1,90,79,9,2,123,0,4,65,41,0,13,57,39,1,16,8,13,1,18,18,23,1,1,1,1,0,0,0,0,7,7,0,0,14,0,1,12,1,40,24,16,0,8,16,4,4,6,2,30,23,19,3,1,7,6,1,11,3,0,0,2,1,8,8,0,0,39,3,0,3,0,36,2,8,7,1,2,16
"E01000844",1089,237,181,17,18,81,39,1,4,3,18,56,0,10,0,46,429,76,10,13,52,0,1,60,52,6,2,43,43,250,98,89,21,3,3,1,35,261,10,2,1,7,6,2,4,1,1,71,50,16,5,173,0,2,111,47,0,13,53,35,4,15,3,11,2,18,18,20,5,5,4,0,0,0,4,0,5,5,0,0,6,1,0,5,0,38,15,12,1,2,23,4,8,11,0,25,20,16,3,1,5,5,0,6,3,0,1,1,1,3,3,0,0,20,0,0,0,0,20,0,8,3,1,0,8
"E01000845",847,168,127,8,8,61,32,2,0,2,14,41,0,9,2,30,291,43,5,12,24,1,1,54,37,14,3,43,43,151,36,58,19,1,2,3,32,214,2,1,0,1,10,2,8,1,1,87,63,21,3,114,0,5,55,42,0,12,54,44,8,15,2,16,3,10,10,23,3,3,6,0,2,0,4,0,8,5,2,1,6,0,0,5,1,31,18,13,1,4,13,2,8,3,0,32,25,22,2,1,7,6,1,11,4,1,0,0,3,7,5,2,0,23,0,0,0,0,23,0,4,3,0,0,16
"E01000846",582,85,55,5,6,28,6,1,2,1,6,30,0,9,1,20,138,25,2,5,15,2,1,27,15,4,8,24,24,62,13,21,13,3,1,1,10,126,3,2,0,1,9,2,7,2,2,53,41,9,3,59,1,2,23,25,0,8,59,49,11,18,4,11,5,10,10,23,1,1,8,0,3,0,4,1,9,3,6,0,5,0,0,5,0,40,22,11,0,11,18,4,3,9,2,41,31,25,3,3,10,9,1,29,9,0,3,0,6,20,20,0,0,41,0,0,0,0,41,1,19,4,1,1,15
"E01000847",712,122,75,9,8,28,12,1,1,1,15,47,0,10,0,37,202,27,5,4,18,0,0,41,27,3,11,20,20,114,33,47,13,3,0,0,18,165,8,4,1,3,9,6,3,15,15,48,32,11,5,85,0,2,37,36,0,10,62,45,6,16,3,15,5,17,17,20,2,2,2,0,0,1,1,0,10,4,5,1,6,0,1,5,0,46,21,11,1,9,25,5,9,9,2,37,30,26,3,1,7,7,0,18,3,0,2,0,1,15,15,0,0,40,2,0,2,0,38,6,11,9,0,0,12
"E01000848",1008,221,178,20,4,106,30,3,0,4,11,43,0,9,2,32,322,36,3,5,24,3,1,62,42,11,9,52,52,172,45,78,19,2,1,3,24,263,9,3,1,5,8,4,4,2,2,102,75,23,4,142,0,4,84,45,0,9,69,58,12,17,7,16,6,11,11,34,0,0,4,0,0,1,3,0,2,2,0,0,28,0,1,25,2,32,20,14,0,6,12,1,2,6,3,27,25,11,12,2,2,2,0,10,4,0,2,2,0,6,5,1,0,30,2,0,0,2,28,0,4,7,1,0,16
"E01000849",982,161,114,9,4,59,24,2,1,2,13,47,0,10,2,35,376,53,11,8,33,0,1,59,38,10,11,58,58,206,59,78,21,1,3,0,44,225,6,3,2,1,7,4,3,3,3,70,56,10,4,139,0,4,55,65,0,15,85,59,3,18,10,19,9,26,26,31,3,3,8,0,0,2,5,1,7,4,3,0,13,2,0,10,1,41,23,15,1,7,18,6,5,4,3,27,24,22,1,1,3,3,0,7,1,0,1,0,0,6,4,0,2,29,1,0,0,1,28,0,5,3,4,2,14
"E01000850",937,88,56,6,2,35,4,0,0,3,6,32,0,20,0,12,403,55,19,7,25,3,1,127,44,8,75,45,45,176,49,62,38,6,1,4,16,208,8,4,3,1,8,5,3,4,4,69,51,14,4,119,0,4,42,65,0,8,74,36,5,14,6,8,3,38,38,35,1,1,4,0,0,0,4,0,6,4,1,1,24,1,4,17,2,41,24,7,0,17,17,8,2,4,3,35,28,24,1,3,7,5,2,2,1,1,0,0,0,1,1,0,0,51,2,0,2,0,49,2,4,2,1,4,36
"E01000851",1017,142,89,9,5,53,7,2,2,5,6,53,0,22,0,31,335,62,10,5,41,5,1,56,28,4,24,67,67,150,31,59,22,6,4,3,25,239,13,5,2,6,10,5,5,3,3,99,81,16,2,114,0,2,40,53,0,19,82,60,8,13,13,21,5,22,22,20,0,0,0,0,0,0,0,0,2,2,0,0,18,0,1,15,2,43,25,11,0,14,18,6,4,7,1,62,53,41,10,2,9,8,1,6,2,2,0,0,0,4,4,0,0,88,3,0,3,0,85,5,7,13,2,3,55
"E01000852",497,49,39,4,5,14,5,2,2,0,7,10,0,4,0,6,179,44,14,5,22,3,0,19,14,1,4,61,61,55,15,20,7,2,1,1,9,83,5,0,1,4,10,6,4,1,1,32,24,6,2,35,0,0,20,14,0,1,49,24,6,3,4,10,1,25,25,11,1,1,2,0,0,0,2,0,3,3,0,0,5,0,0,4,1,34,20,10,1,9,14,6,2,5,1,35,29,26,3,0,6,6,0,8,3,1,0,0,2,5,4,1,0,49,0,0,0,0,49,0,8,4,2,4,31
"E01000853",622,62,37,1,3,15,7,0,1,2,8,25,0,11,1,13,176,18,4,5,8,1,0,31,17,7,7,47,47,80,12,40,13,3,1,3,8,105,7,5,2,0,8,4,4,8,8,44,32,9,3,38,0,0,18,14,0,6,81,59,21,9,9,14,6,22,22,36,1,1,3,0,1,1,1,0,10,6,4,0,22,0,2,20,0,35,22,13,0,9,13,2,2,8,1,51,44,40,3,1,7,5,2,24,5,1,0,2,2,19,18,0,1,52,1,0,1,0,51,11,7,10,2,3,18
"E01000854",638,76,46,2,5,26,5,2,1,2,3,30,0,14,2,14,188,39,13,7,18,1,0,56,40,4,12,33,33,60,9,27,10,4,0,0,10,131,8,2,2,4,11,3,8,6,6,46,39,5,2,60,0,2,30,22,0,6,51,39,15,12,8,3,1,12,12,25,1,1,3,0,0,1,2,0,5,3,2,0,16,1,1,13,1,33,21,14,0,7,12,3,4,5,0,68,61,51,6,4,7,6,1,16,2,0,1,0,1,14,12,2,0,50,1,0,1,0,49,3,5,6,0,3,32
"E01000855",1110,124,68,6,8,30,10,0,0,4,10,56,0,20,0,36,488,91,22,11,55,1,2,161,50,3,108,61,61,175,52,62,14,1,9,1,36,246,30,15,9,6,11,11,0,3,3,91,77,11,3,111,0,4,67,31,0,9,92,59,10,17,14,10,8,33,33,27,1,1,7,0,1,0,6,0,2,2,0,0,17,2,6,7,2,43,21,10,2,9,22,8,4,8,2,34,26,19,2,5,8,8,0,5,2,1,1,0,0,3,3,0,0,51,0,0,0,0,51,4,16,4,0,0,27
