"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E02000166",3928,556,356,50,44,149,40,6,4,16,47,200,1,56,7,136,1310,176,41,23,101,3,8,257,137,65,55,267,267,610,146,176,91,32,18,5,142,878,31,9,9,13,74,25,49,12,12,453,358,73,22,308,0,11,98,146,1,52,339,222,45,50,35,65,27,117,117,161,19,19,28,1,6,5,16,0,61,42,17,2,53,11,3,32,7,236,165,102,1,62,71,18,17,35,1,167,134,112,16,6,33,26,7,76,22,4,6,7,5,54,47,2,5,205,10,2,6,2,195,24,40,33,5,12,81
"E02000167",4296,904,635,83,53,291,137,9,0,8,54,269,0,50,6,213,1626,239,43,37,148,0,11,298,204,56,38,248,248,841,309,243,80,21,18,5,165,1075,20,5,5,10,38,20,18,11,11,483,397,60,26,523,3,12,270,189,1,48,240,171,30,47,17,63,14,69,69,81,15,15,13,1,1,0,11,0,26,19,5,2,27,0,0,22,5,168,90,61,3,26,78,26,15,36,1,96,72,45,22,5,24,19,5,31,17,2,10,4,1,14,10,1,3,75,2,2,0,0,73,5,16,14,0,5,33
"E02000168",4463,512,332,23,33,183,33,3,0,22,35,180,1,63,6,110,1586,237,39,35,144,6,13,225,140,53,32,314,314,810,172,228,111,40,19,10,230,1088,53,14,10,29,53,14,39,9,9,600,477,92,31,373,2,10,120,165,2,74,378,262,59,63,50,73,17,116,116,187,13,13,44,2,5,3,30,4,50,34,12,4,80,7,5,55,13,214,144,95,2,47,70,22,25,21,2,212,179,142,21,16,33,28,5,76,26,4,4,5,13,50,44,1,5,210,13,2,7,4,197,18,34,24,9,10,102
"E02000169",3582,858,627,59,48,292,142,5,2,10,69,231,2,42,3,184,1150,181,31,28,115,3,4,174,128,35,11,178,178,617,193,246,55,19,6,7,91,784,15,3,6,6,28,11,17,4,4,241,170,43,28,496,2,12,261,182,0,39,249,170,16,57,15,71,11,79,79,95,8,8,18,0,2,2,12,2,24,17,7,0,45,2,0,37,6,193,89,61,3,25,104,17,19,61,7,114,98,84,8,6,16,12,4,29,12,4,2,5,1,17,12,1,4,110,5,3,2,0,105,12,32,6,3,6,46
"E02000170",4976,711,472,40,51,225,60,16,2,10,68,239,0,77,6,156,1778,310,40,43,220,1,6,248,161,37,50,311,311,909,217,388,71,26,15,12,180,1115,58,18,10,30,47,22,25,13,13,376,265,71,40,621,1,16,274,261,0,69,410,288,43,94,41,93,17,122,122,191,12,12,30,1,4,6,16,3,72,62,7,3,77,9,4,57,7,251,136,85,2,49,115,35,36,36,8,215,144,117,23,4,71,60,11,72,24,2,5,5,12,48,46,1,1,233,13,3,7,3,220,16,54,25,5,12,108
"E02000171",4210,612,415,24,41,217,59,10,0,13,51,197,0,57,6,134,1568,258,44,47,151,4,12,291,201,40,50,291,291,728,181,217,101,24,16,12,177,975,49,22,11,16,50,20,30,5,5,419,341,51,27,452,3,11,177,201,1,59,306,207,40,42,36,68,21,99,99,161,12,12,28,1,10,5,12,0,58,35,16,7,63,2,3,48,10,196,141,79,8,54,55,29,12,11,3,172,142,112,19,11,30,23,7,68,18,2,6,3,7,50,45,1,4,152,12,0,10,2,140,22,34,19,1,6,58
"E02000172",4208,392,228,12,24,93,22,13,3,16,45,164,0,54,9,101,1019,192,31,34,115,4,8,149,72,26,51,231,231,447,68,135,58,27,15,7,137,825,56,23,11,22,50,14,36,16,16,352,260,63,29,351,0,8,102,165,2,74,430,301,46,80,44,102,29,129,129,281,20,20,45,0,9,7,28,1,99,63,32,4,117,8,3,100,6,350,262,145,4,113,88,28,20,34,6,318,265,223,26,16,53,48,5,177,44,4,10,12,18,133,125,3,5,416,21,3,11,7,395,47,85,54,13,23,173
"E02000173",4314,878,650,78,43,284,161,14,2,7,61,228,2,65,6,155,1659,253,55,33,153,1,11,479,269,41,169,170,170,757,217,320,72,12,12,12,112,978,46,10,15,21,44,25,19,5,5,322,248,58,16,561,1,11,299,187,0,63,295,196,28,73,20,54,21,99,99,86,6,6,10,0,1,1,8,0,19,10,8,1,51,4,5,40,2,150,99,56,2,41,51,16,14,13,8,119,97,75,15,7,22,19,3,25,7,0,5,1,1,18,16,1,1,124,4,1,2,1,120,11,23,16,3,12,55
"E02000174",4592,482,289,24,27,133,17,9,1,25,53,193,2,54,3,134,1485,293,56,49,171,7,10,159,98,24,37,263,263,770,108,276,153,23,18,3,189,1085,66,27,14,25,61,19,42,15,15,540,413,100,27,403,2,13,139,185,1,63,381,277,62,57,44,82,32,104,104,228,17,17,34,0,6,5,23,0,72,54,16,2,105,3,10,78,14,298,169,112,2,55,129,64,35,26,4,246,194,162,20,12,52,45,7,120,38,4,3,14,17,82,71,7,4,267,15,2,10,3,252,24,52,32,10,10,124
"E02000175",5504,750,539,24,60,259,95,9,3,15,74,211,0,68,8,135,1991,361,56,50,228,10,17,251,156,44,51,282,282,1097,303,467,88,28,10,20,181,1287,56,15,16,25,65,23,42,12,12,313,232,58,23,841,1,19,361,355,0,105,447,321,65,94,49,88,25,126,126,200,12,12,25,1,5,9,10,0,74,43,28,3,89,4,11,65,9,247,155,86,9,60,92,29,39,22,2,276,211,171,27,13,65,56,9,73,25,8,5,2,10,48,43,1,4,233,5,1,3,1,228,26,56,26,3,8,109
