"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E00004120",187,35,29,3,2,15,4,0,0,0,5,6,0,1,0,5,75,11,3,2,6,0,0,14,12,2,0,11,11,39,16,13,6,1,0,0,3,48,0,0,0,0,5,1,4,0,0,17,14,3,0,26,0,0,18,4,0,4,11,7,3,3,0,1,0,4,4,3,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,5,2,1,1,0,3,1,1,1,0,4,3,3,0,0,1,1,0,2,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,1,0,0,1,0,2
"E00004121",142,29,20,1,1,10,6,0,0,0,2,9,0,3,0,6,56,5,1,0,4,0,0,8,8,0,0,4,4,39,16,14,2,0,0,0,7,33,1,1,0,0,4,1,3,0,0,11,8,3,0,17,0,0,10,7,0,0,11,7,3,3,0,1,0,4,4,5,3,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,3,0,0,0,0,3,1,1,1,0,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"E00004122",125,26,18,0,1,8,4,1,0,0,4,8,0,1,0,7,45,8,2,1,5,0,0,9,8,0,1,2,2,26,6,11,5,1,0,0,3,32,1,1,0,0,2,0,2,0,0,11,6,4,1,18,0,1,10,6,0,1,12,11,1,2,2,4,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,3,1,1,1,0,0,0
"E00004123",170,38,23,2,2,7,3,0,1,0,8,15,0,5,0,10,51,4,1,1,2,0,0,11,7,1,3,2,2,34,12,15,2,1,0,0,4,46,2,2,0,0,3,3,0,11,11,8,6,1,1,22,0,0,8,11,0,3,16,9,1,6,0,1,1,7,7,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,9,5,3,0,2,4,1,3,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,3,0,2,1,0,0,0
"E00004124",91,19,15,2,0,11,2,0,0,0,0,4,0,1,0,3,28,3,1,0,2,0,0,4,3,0,1,8,8,13,2,8,1,0,0,0,2,26,2,1,1,0,1,0,1,1,1,9,6,2,1,13,0,0,7,4,0,2,10,7,0,1,1,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,1,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,1,0,1,0,0
"E00004125",179,28,15,1,0,9,3,1,0,0,1,13,0,1,1,11,81,11,2,1,8,0,0,18,12,3,3,11,11,41,9,14,7,0,2,0,9,39,3,1,1,1,1,1,0,1,1,14,12,2,0,20,0,1,5,12,0,2,16,13,2,2,1,4,4,3,3,6,0,0,1,0,0,0,1,0,3,2,1,0,2,1,0,1,0,6,2,1,1,0,4,1,0,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"E00004126",170,45,36,5,0,25,2,0,0,0,4,9,0,1,0,8,54,9,1,1,4,3,0,9,9,0,0,8,8,28,7,12,7,0,0,0,2,39,4,2,1,1,0,0,0,0,0,15,11,4,0,20,0,0,13,5,0,2,13,9,3,0,1,3,2,4,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,6,6,0,0,2,1,0,1,0,4,3,2,0,1,1,1,0,4,1,0,0,1,0,3,2,1,0,2,0,0,0,0,2,0,0,1,0,0,1
"E00004127",167,20,9,1,3,4,0,0,1,0,0,11,0,3,1,7,60,10,4,1,5,0,0,10,7,1,2,10,10,30,11,7,4,0,0,0,8,40,0,0,0,0,2,1,1,0,0,8,6,1,1,30,0,0,14,14,0,2,18,9,1,2,2,3,1,9,9,6,1,1,1,0,0,0,1,0,0,0,0,0,4,0,0,4,0,9,6,4,0,2,3,1,0,1,1,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,0,0,0,0,9,0,2,1,2,1,3
"E00004128",171,29,24,7,0,11,6,0,0,0,0,5,0,2,0,3,60,6,0,0,6,0,0,8,6,0,2,11,11,35,11,16,3,0,1,0,4,60,1,0,0,1,4,3,1,0,0,25,20,4,1,30,0,2,19,8,0,1,9,7,0,2,3,1,1,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,3,2,0,1,0,0,0,0,0,2,2,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,4,1,0,0,1,3,0,1,0,1,0,1
"E00004129",178,30,23,1,1,16,3,0,0,2,0,7,0,1,0,6,57,6,1,1,4,0,0,17,10,2,5,7,7,27,6,13,4,0,0,1,3,43,0,0,0,0,1,1,0,1,1,10,7,2,1,31,0,0,19,12,0,0,19,15,5,2,1,4,3,4,4,5,0,0,2,0,0,1,1,0,1,1,0,0,2,0,0,2,0,13,4,2,0,2,9,0,2,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,8,0,0,4,0,0,4
