"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E01000842",1171,419,117,4,113,302,141,79,61,21,476,334,188,40,98,8,123,19,72,53,8,11,0,115,21,21,0,94,94,0,15,11,4,4,0,23,8,11,0,4,0,0,0,9,1,1,6,1,0,30,21,9,12,12,0
"E01000843",1495,455,79,2,77,376,201,88,61,26,480,357,178,49,124,6,109,14,93,58,27,8,0,104,29,29,0,75,75,0,41,23,18,18,0,91,29,42,0,4,0,14,2,67,28,0,20,19,0,103,75,28,61,61,0
"E01000844",1601,707,138,2,136,569,246,122,186,15,542,354,176,77,49,52,172,16,70,44,20,5,1,124,31,31,0,93,93,0,12,10,2,2,0,42,18,19,1,3,0,1,0,26,10,0,11,5,0,26,17,9,52,52,0
"E01000845",1291,405,87,2,85,318,158,82,63,15,455,300,176,24,95,5,123,32,92,65,19,8,0,133,29,29,0,104,103,1,22,9,13,13,0,54,24,16,4,3,0,4,3,40,22,0,5,13,0,48,35,13,42,42,0
"E01000846",1287,212,42,0,42,170,78,44,45,3,313,214,128,19,51,16,69,30,136,77,39,14,6,150,45,45,0,105,105,0,34,33,1,0,1,112,29,57,8,7,0,8,3,96,32,2,15,47,0,178,140,38,56,50,6
"E01000847",1495,358,89,0,89,269,122,57,82,8,311,208,137,20,46,5,74,29,124,57,56,11,0,221,79,79,0,142,140,2,57,37,20,20,0,123,34,74,2,3,0,10,0,86,36,0,24,26,0,174,144,30,41,40,1
"E01000848",1386,502,154,3,151,348,179,84,72,13,494,340,182,41,103,14,137,17,78,54,14,7,3,151,64,64,0,87,87,0,42,33,9,8,1,49,16,28,0,3,0,1,1,29,7,1,8,13,0,27,22,5,14,14,0
"E01000849",1368,508,85,2,83,423,240,108,56,19,453,298,162,40,77,19,141,14,107,76,24,5,2,91,22,22,0,69,69,0,32,22,10,10,0,54,16,22,1,7,0,8,0,38,24,2,7,5,0,29,20,9,56,56,0
"E01000850",1141,349,42,5,37,307,215,46,39,7,296,215,132,21,57,5,66,15,76,53,14,4,5,91,40,40,0,51,51,0,46,32,14,14,0,54,29,15,0,0,0,10,0,24,15,1,1,7,0,32,16,16,173,173,0
"E01000851",1535,375,59,0,59,316,192,49,65,10,386,280,161,45,62,12,86,20,103,57,21,23,2,134,55,55,0,79,79,0,51,37,14,12,2,125,26,72,7,4,0,16,0,23,15,0,1,7,0,28,21,7,310,310,0
"E01000852",823,188,19,0,19,169,123,26,19,1,132,89,55,14,18,2,30,13,29,21,6,2,0,59,22,22,0,37,37,0,18,15,3,3,0,36,4,25,0,0,0,7,0,16,3,0,5,8,0,32,19,13,313,312,1
"E01000853",1280,188,21,0,21,167,104,25,35,3,299,198,147,4,45,2,70,31,165,118,26,21,0,94,35,35,0,59,59,0,67,55,12,12,0,144,63,52,1,0,0,19,9,87,20,5,39,23,0,95,64,31,141,141,0
"E01000854",1498,215,34,0,34,181,95,28,49,9,221,150,83,14,51,2,50,21,122,75,43,1,3,101,51,51,0,50,50,0,50,44,6,6,0,132,76,39,1,0,0,13,3,109,47,2,47,13,0,77,67,10,471,471,0
"E01000855",1492,379,35,0,35,344,240,62,27,15,523,428,301,31,88,8,74,21,130,80,11,36,3,82,18,18,0,64,64,0,59,40,19,19,0,40,2,26,0,0,0,10,2,23,14,0,1,8,0,27,16,11,229,229,0
"E01000856",1536,151,14,0,14,137,84,26,23,4,356,261,167,24,57,13,63,32,129,76,30,20,3,273,65,65,0,208,208,0,82,51,31,30,1,203,52,116,2,8,0,22,3,74,29,2,17,26,0,193,147,46,75,75,0
"E01000857",1235,384,69,7,62,315,171,59,66,19,398,264,104,40,110,10,119,15,69,51,13,5,0,179,90,90,0,89,89,0,29,27,2,2,0,69,21,23,5,1,0,14,5,50,16,7,12,15,0,48,39,9,9,9,0
"E01000858",1721,251,41,5,36,210,137,42,21,10,352,263,156,23,79,5,71,18,150,88,48,4,10,145,29,29,0,116,116,0,139,70,69,60,9,178,34,85,0,16,6,19,18,151,48,16,35,52,0,266,221,45,89,89,0
"E01000859",1394,448,126,9,117,322,163,66,79,14,558,338,149,47,131,11,190,30,51,30,15,1,5,201,94,94,0,107,107,0,19,16,3,3,0,40,14,10,0,4,0,12,0,30,8,1,6,15,0,23,10,13,24,24,0
"E01000860",1005,287,66,0,66,221,97,40,77,7,352,274,163,31,77,3,63,15,50,36,10,4,0,104,23,23,0,81,81,0,41,20,21,20,1,34,7,18,2,3,0,4,0,47,14,8,10,15,0,41,23,18,49,49,0
"E01000861",1454,202,14,0,14,188,116,43,22,7,407,307,179,43,81,4,77,23,135,59,57,17,2,157,37,37,0,120,120,0,81,49,32,30,2,107,33,52,6,0,0,16,0,77,27,4,31,15,0,119,91,28,169,169,0
"E01000862",1466,576,170,10,160,406,152,110,135,9,532,368,134,52,167,15,145,19,68,36,23,7,2,147,61,61,0,86,86,0,16,11,5,5,0,43,24,11,0,2,0,6,0,20,15,0,0,5,0,27,21,6,37,37,0
"E01000863",1285,314,45,1,44,269,136,89,32,12,418,280,149,28,100,3,114,24,95,62,15,16,2,127,37,37,0,90,90,0,38,29,9,9,0,72,29,21,7,3,0,12,0,45,19,1,8,17,0,60,46,14,116,116,0
"E01000864",1411,330,43,0,43,287,176,35,70,6,470,327,191,32,98,6,108,35,109,64,29,9,7,121,48,48,0,73,73,0,50,33,17,8,9,98,32,49,4,1,0,8,4,43,10,0,17,16,0,96,63,33,94,94,0
"E01000865",863,222,39,2,37,183,108,16,59,0,301,234,117,43,67,7,55,12,47,33,8,6,0,99,43,43,0,56,56,0,31,15,16,16,0,33,17,9,0,0,0,3,4,33,7,4,12,10,0,38,18,20,59,59,0
"E01000866",1790,387,93,0,93,294,144,54,65,31,499,363,218,48,89,8,109,27,166,93,51,11,11,213,64,61,3,149,149,0,84,52,32,32,0,105,35,50,5,9,1,5,0,118,29,9,32,48,0,160,119,41,58,58,0
"E01000867",1455,159,17,0,17,142,76,54,12,0,327,222,147,23,40,12,78,27,165,75,73,17,0,163,54,54,0,109,109,0,121,70,51,51,0,105,23,49,2,1,0,23,7,92,28,4,31,27,2,165,147,18,158,158,0
"E01000868",1353,121,36,0,36,85,29,39,14,3,244,176,133,16,25,2,45,23,158,62,82,13,1,185,38,38,0,147,147,0,114,77,37,37,0,134,33,88,0,5,0,8,0,207,38,4,93,72,0,167,127,40,23,23,0
