"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E02000166",6695,1497,253,22,231,1244,545,250,412,37,2377,1642,889,169,530,54,519,216,505,295,137,62,11,737,242,242,0,495,491,4,242,144,98,93,5,503,144,240,17,22,0,57,23,277,97,24,52,98,6,438,303,135,119,116,3
"E02000167",6548,2569,583,22,561,1986,891,450,554,91,2511,1568,682,167,638,81,848,95,289,173,89,25,2,688,265,265,0,423,421,2,63,45,18,18,0,124,44,52,5,12,0,6,5,66,34,1,12,19,0,135,77,58,103,102,1
"E02000168",7169,1784,249,5,244,1535,903,231,376,25,2531,1840,991,191,611,47,521,170,579,326,167,61,25,700,215,214,1,485,481,4,234,145,89,82,7,488,135,238,13,29,1,58,14,279,95,13,77,92,2,431,292,139,143,143,0
"E02000169",5911,2186,629,43,586,1557,699,352,447,59,2199,1278,549,244,366,119,850,71,243,175,50,13,5,699,338,333,5,361,352,9,81,41,40,30,10,183,48,100,6,12,0,12,5,78,31,2,13,32,0,135,90,45,107,107,0
"E02000170",7488,2219,393,15,378,1826,935,424,349,118,2599,1784,1145,183,384,72,668,147,623,373,165,59,26,736,242,242,0,494,487,7,215,149,66,57,9,350,99,155,11,26,2,57,0,294,105,13,70,105,1,264,168,96,188,187,1
"E02000171",6849,2000,299,11,288,1701,920,387,351,43,2297,1643,910,153,491,89,536,118,453,287,114,48,4,721,196,196,0,525,523,2,203,138,65,65,0,376,104,174,6,22,0,43,27,236,84,11,60,79,2,316,217,99,247,235,12
"E02000172",8885,1081,144,5,139,937,527,236,138,36,1970,1390,957,110,284,39,451,129,929,482,338,85,24,804,206,203,3,598,597,1,532,296,236,217,19,1143,372,503,40,59,3,122,44,792,214,36,253,289,0,1091,868,223,543,543,0
"E02000173",6636,2356,546,25,521,1810,959,463,325,63,2490,1616,831,248,458,79,800,74,347,233,48,61,5,558,217,209,8,341,341,0,154,128,26,22,4,193,59,100,7,3,0,24,0,117,66,3,23,25,0,217,142,75,204,204,0
"E02000174",7841,1578,281,2,279,1297,706,282,258,51,2192,1679,1008,171,452,48,402,111,773,360,314,75,24,774,202,199,3,572,572,0,367,210,157,152,5,583,176,263,19,42,1,54,28,530,137,38,162,185,8,712,533,179,332,329,3
"E02000175",8126,2275,343,1,342,1932,1090,527,262,53,2711,1949,1205,310,351,83,637,125,658,399,196,55,8,664,154,154,0,510,508,2,305,193,112,112,0,501,158,252,15,20,5,45,6,318,133,6,70,108,1,419,282,137,275,272,3
"E02000176",5526,2136,494,11,483,1642,806,393,375,68,1965,1326,708,198,327,93,573,66,327,227,66,28,6,481,138,138,0,343,343,0,101,76,25,24,1,168,58,80,2,17,0,10,1,102,42,4,32,24,0,112,80,32,134,134,0
"E02000177",7824,1236,236,5,231,1000,550,268,140,42,1941,1370,864,146,323,37,422,149,710,381,266,45,18,777,199,199,0,578,572,6,460,249,211,202,9,848,256,407,17,42,7,91,28,642,225,20,169,228,0,856,700,156,354,352,2
"E02000178",8028,1728,292,0,292,1436,803,445,151,37,2070,1561,1077,176,267,41,378,131,681,397,215,49,20,658,154,154,0,504,499,5,455,328,127,113,14,843,286,400,13,45,1,79,19,528,150,15,151,211,1,688,516,172,377,377,0
"E02000179",5568,1430,297,4,293,1133,559,271,251,52,1559,1079,619,112,316,32,375,105,445,257,141,41,6,608,182,182,0,426,423,3,154,102,52,51,1,380,116,189,14,17,0,36,8,289,118,2,64,105,0,503,394,109,200,193,7
"E02000180",6992,1238,204,8,196,1034,569,232,203,30,1916,1375,819,140,374,42,410,131,621,310,241,57,13,751,223,223,0,528,527,1,371,241,130,121,9,516,144,261,10,17,0,64,20,482,113,18,185,164,2,594,452,142,503,503,0
"E02000181",7018,2442,455,9,446,1987,1043,544,346,54,2404,1652,1041,255,306,50,619,133,439,292,101,35,11,534,204,204,0,330,326,4,173,129,44,41,3,307,104,121,1,13,0,66,2,227,63,28,45,91,0,305,220,85,187,184,3
"E02000182",5745,1595,433,44,389,1162,592,312,233,25,1811,1062,654,166,200,42,686,63,369,261,71,33,4,519,179,179,0,340,340,0,273,187,86,83,3,278,108,122,8,12,0,26,2,204,81,8,53,62,0,419,314,105,277,277,0
"E02000183",6821,1946,472,31,441,1474,720,317,378,59,2192,1507,706,193,564,44,588,97,388,241,109,21,17,776,297,297,0,479,479,0,244,144,100,90,10,364,100,147,7,26,6,55,23,298,101,32,63,102,0,405,314,91,208,208,0
"E02000184",8050,924,105,2,103,819,520,193,80,26,1722,1275,856,150,236,33,311,136,724,405,227,66,26,908,207,207,0,701,698,3,543,354,189,177,12,929,243,524,18,29,0,94,21,568,221,29,160,157,1,923,691,232,809,809,0
"E02000185",7265,1006,165,7,158,841,477,226,121,17,1822,1189,841,118,206,24,484,149,628,350,192,62,24,648,124,124,0,524,524,0,417,244,173,167,6,855,253,441,28,38,0,83,12,713,214,26,205,264,4,825,623,202,351,351,0
"E02000186",5837,1375,249,14,235,1126,653,251,183,39,1573,1099,667,142,265,25,389,85,397,215,119,50,13,600,209,209,0,391,391,0,233,143,90,84,6,430,138,200,19,8,0,51,14,289,90,17,71,111,0,368,284,84,572,570,2
"E02000187",7225,530,84,7,77,446,277,119,42,8,1085,656,517,47,90,2,322,107,645,326,253,51,15,629,169,169,0,460,459,1,670,399,271,261,10,1058,272,594,24,42,0,102,24,904,326,39,256,283,0,882,692,190,822,822,0
