"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E00004120",252,95,31,0,31,64,43,9,10,2,99,80,48,13,19,0,18,1,20,16,2,2,0,21,10,10,0,11,11,0,2,2,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0,3,3,0
"E00004121",203,80,10,0,10,70,34,14,20,2,78,45,22,12,5,6,26,7,13,8,5,0,0,14,0,0,0,14,14,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,7,5,2,4,4,0
"E00004122",207,106,23,0,23,83,28,14,36,5,46,23,20,0,0,3,19,4,16,12,4,0,0,31,10,10,0,21,21,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,0
"E00004123",253,75,23,0,23,52,33,3,16,0,103,54,31,10,13,0,38,11,25,10,15,0,0,44,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,3,2,1
"E00004124",151,53,19,0,19,34,19,8,7,0,66,40,13,7,12,8,21,5,8,5,0,3,0,5,1,1,0,4,4,0,2,2,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3,0,0,5,3,2,6,6,0
"E00004125",225,98,15,0,15,83,47,22,8,6,66,50,19,13,17,1,16,0,21,17,2,2,0,18,1,1,0,17,17,0,2,1,1,1,0,9,0,5,0,0,0,4,0,0,0,0,0,0,0,3,3,0,8,8,0
"E00004126",244,96,25,0,25,71,33,15,23,0,70,42,20,10,12,0,23,5,20,12,4,4,0,33,7,7,0,26,26,0,1,0,1,0,1,6,3,2,0,0,0,0,1,7,5,0,2,0,0,9,7,2,2,2,0
"E00004127",232,76,11,0,11,65,32,20,7,6,61,38,22,9,6,1,18,5,25,15,10,0,0,17,1,1,0,16,16,0,10,7,3,3,0,11,4,4,0,0,0,3,0,10,5,1,2,2,0,4,3,1,18,18,0
"E00004128",250,97,29,0,29,68,39,17,8,4,104,76,44,8,20,4,28,0,9,7,0,0,2,16,2,2,0,14,14,0,1,1,0,0,0,7,3,0,0,3,0,1,0,4,1,1,0,2,0,4,3,1,8,8,0
"E00004129",230,86,20,0,20,66,35,22,2,7,84,66,34,7,22,3,12,6,10,9,1,0,0,21,13,13,0,8,8,0,6,5,1,1,0,17,6,11,0,0,0,0,0,1,1,0,0,0,0,3,1,2,2,2,0
"E00004130",243,82,15,0,15,67,42,20,5,0,89,64,38,5,18,3,25,0,19,17,2,0,0,23,8,8,0,15,15,0,6,2,4,4,0,6,2,3,1,0,0,0,0,8,6,0,2,0,0,7,7,0,3,3,0
"E00004131",250,85,17,1,16,68,37,11,20,0,83,51,31,2,18,0,29,3,6,4,2,0,0,19,11,11,0,8,8,0,21,16,5,5,0,9,1,8,0,0,0,0,0,16,0,0,5,11,0,10,10,0,1,1,0
"E00004132",179,59,20,0,20,39,21,8,8,2,74,50,22,10,11,7,22,2,5,3,0,2,0,39,23,23,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
"E00004133",229,88,11,0,11,77,40,12,24,1,70,44,33,1,8,2,26,0,16,9,7,0,0,14,4,4,0,10,10,0,2,2,0,0,0,10,1,6,0,3,0,0,0,6,4,0,0,2,0,7,3,4,16,16,0
"E00004134",158,54,16,0,16,38,28,8,2,0,67,42,24,3,15,0,24,1,16,5,10,1,0,5,2,2,0,3,3,0,1,1,0,0,0,5,0,5,0,0,0,0,0,4,4,0,0,0,0,1,1,0,5,5,0
"E00004135",129,41,4,2,2,37,16,11,4,6,48,36,18,4,13,1,12,0,11,10,1,0,0,5,0,0,0,5,5,0,0,0,0,0,0,11,5,2,0,4,0,0,0,8,6,1,0,1,0,2,0,2,3,3,0
"E00004136",205,76,21,0,21,55,22,19,14,0,76,69,39,8,17,5,6,1,17,13,1,3,0,12,2,2,0,10,10,0,4,2,2,2,0,3,0,1,0,0,0,0,2,3,1,0,0,2,0,0,0,0,14,14,0
"E00004137",233,79,43,2,41,36,14,11,11,0,79,55,31,4,20,0,23,1,28,19,7,1,1,23,8,8,0,15,15,0,13,11,2,2,0,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"E00004138",181,68,11,0,11,57,30,17,4,6,67,51,19,15,17,0,12,4,9,7,0,2,0,12,6,6,0,6,6,0,3,0,3,3,0,8,3,1,0,1,0,3,0,5,2,0,0,3,0,5,3,2,4,4,0
"E00004139",329,29,3,0,3,26,17,2,3,4,30,17,11,3,3,0,13,0,15,6,9,0,0,22,0,0,0,22,22,0,19,11,8,8,0,58,14,30,0,3,0,11,0,45,14,0,17,14,0,86,67,19,25,25,0
"E00004140",170,62,18,0,18,44,16,13,6,9,65,49,33,2,12,2,14,2,13,12,0,1,0,22,1,1,0,21,21,0,0,0,0,0,0,5,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0
"E00004141",152,34,6,0,6,28,4,15,5,4,66,46,23,9,11,3,15,5,14,8,3,3,0,16,0,0,0,16,16,0,5,2,3,3,0,6,1,5,0,0,0,0,0,2,1,0,0,1,0,8,8,0,1,1,0
"E00004142",210,68,17,0,17,51,31,15,5,0,93,49,22,6,21,0,36,8,14,14,0,0,0,20,3,3,0,17,17,0,3,3,0,0,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,5,1,4,2,2,0
"E00004143",223,97,22,0,22,75,44,12,17,2,80,51,24,8,13,6,29,0,10,3,3,3,1,19,5,5,0,14,14,0,0,0,0,0,0,6,1,4,1,0,0,0,0,6,3,0,2,1,0,5,5,0,0,0,0
"E00004144",201,88,17,0,17,71,37,19,13,2,82,58,38,5,15,0,22,2,8,7,0,1,0,14,4,4,0,10,10,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,4,2,2,1,1,0
"E00004145",182,72,14,4,10,58,28,12,13,5,69,53,29,5,16,3,16,0,7,0,2,5,0,20,5,5,0,15,15,0,4,3,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0
"E00004146",230,75,4,0,4,71,38,12,12,9,71,53,21,4,27,1,12,6,19,13,6,0,0,26,12,12,0,14,14,0,9,7,2,2,0,12,12,0,0,0,0,0,0,3,3,0,0,0,0,7,2,5,8,8,0
"E00004147",191,65,7,2,5,58,29,11,13,5,87,67,26,11,30,0,20,0,9,7,1,1,0,13,3,3,0,10,10,0,5,2,3,3,0,3,0,3,0,0,0,0,0,5,2,0,3,0,0,0,0,0,4,4,0
"E00004148",146,41,8,1,7,33,6,17,9,1,75,51,23,1,27,0,21,3,11,7,2,2,0,15,10,10,0,5,5,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"E00004149",284,106,16,0,16,90,45,19,19,7,100,66,37,10,15,4,29,5,13,8,5,0,0,40,5,5,0,35,35,0,6,4,2,2,0,7,2,3,0,0,0,2,0,3,2,0,0,1,0,7,4,3,2,2,0
"E00004150",289,122,20,0,20,102,44,21,31,6,107,72,34,8,3,27,32,3,24,17,7,0,0,19,2,2,0,17,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,4,0,1,0,0,4,2,2,7,7,0
"E00004151",241,98,15,0,15,83,44,21,16,2,102,70,46,4,20,0,30,2,15,9,5,1,0,10,4,4,0,6,6,0,4,2,2,2,0,5,2,0,0,2,0,1,0,2,2,0,0,0,0,1,1,0,4,4,0
"E00004152",205,88,31,0,31,57,19,15,22,1,84,57,33,5,19,0,24,3,4,3,1,0,0,16,2,2,0,14,14,0,1,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,4,0,0,7,2,5,0,0,0
"E00004153",188,70,31,1,30,39,17,14,7,1,72,42,34,2,6,0,25,5,5,5,0,0,0,18,2,2,0,16,15,1,2,2,0,0,0,7,0,3,0,0,0,1,3,1,0,0,0,1,0,11,5,6,2,2,0
"E00004154",237,127,21,0,21,106,30,17,55,4,72,45,26,7,9,3,27,0,4,1,2,1,0,19,9,9,0,10,10,0,1,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
"E00004155",226,93,27,0,27,66,28,21,17,0,99,66,38,13,8,7,29,4,2,2,0,0,0,11,5,5,0,6,6,0,0,0,0,0,0,7,4,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,10,10,0
