"GeographyCode","QS612EW0001","QS612EW0002","QS612EW0003","QS612EW0004","QS612EW0005","QS612EW0006","QS612EW0007","QS612EW0008","QS612EW0009","QS612EW0010","QS612EW0011","QS612EW0012"
"E01000842",1175,849,326,11,58,19,20,14,17,45,70,72
"E01000843",1299,909,390,12,73,27,27,17,11,55,56,112
"E01000844",1408,1089,319,11,49,39,14,12,20,49,72,53
"E01000845",1166,847,319,14,67,27,20,15,7,30,53,86
"E01000846",1027,582,445,8,52,13,24,15,17,64,73,179
"E01000847",1171,712,459,12,52,40,17,14,12,51,65,196
"E01000848",1273,1008,265,10,45,20,10,18,7,43,62,50
"E01000849",1274,982,292,12,42,30,14,12,14,38,60,70
"E01000850",1548,937,611,21,149,33,32,11,5,52,44,264
"E01000851",2206,1017,1189,58,385,63,34,18,16,30,34,551
"E01000852",1475,497,978,36,261,53,19,11,5,37,66,490
"E01000853",1231,622,609,17,87,44,29,19,14,82,106,211
"E01000854",1559,638,921,23,339,83,52,11,10,35,54,314
"E01000855",1623,1110,513,24,95,32,25,30,15,55,44,193
"E01000856",1246,731,515,16,72,26,33,9,14,42,79,224
"E01000857",1122,773,349,10,38,19,25,22,9,52,86,88
"E01000858",1457,801,656,14,77,39,21,17,20,59,130,279
"E01000859",1289,992,297,17,42,25,18,12,13,47,75,48
"E01000860",1039,656,383,12,37,23,21,26,14,64,114,72
"E01000861",1339,839,500,31,109,39,20,16,6,37,54,188
"E01000862",1360,1020,340,15,83,28,20,16,14,51,60,53
"E01000863",1290,907,383,20,64,41,15,13,13,36,57,124
"E01000864",1276,876,400,21,60,30,21,11,12,42,62,141
"E01000865",1330,642,688,26,212,42,22,17,7,22,44,296
"E01000866",1606,1044,562,20,87,33,29,22,22,52,122,175
"E01000867",1225,700,525,14,95,45,21,19,11,38,88,194
"E01000868",1014,605,409,9,41,31,20,11,12,46,71,168
"E01000869",1733,1166,567,30,98,58,35,29,11,39,78,189
"E01000870",1357,873,484,19,80,31,32,5,12,38,108,159
"E01000871",1267,865,402,27,61,17,12,12,7,50,75,141
"E01000872",1623,1191,432,21,77,56,21,11,8,48,73,117
"E01000873",1317,1004,313,19,38,24,13,14,18,49,55,83
"E01000874",1245,943,302,19,61,25,17,17,10,33,51,69
"E01000875",1394,982,412,23,69,36,19,12,11,33,65,144
"E01000876",1359,839,520,11,57,39,25,19,12,57,103,197
