"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E01000842",1175,113,438,24,47,6,16,82,4,34,77,8,326
"E01000843",1299,96,425,45,82,10,8,92,3,39,101,8,390
"E01000844",1408,122,597,25,59,12,11,103,7,53,90,10,319
"E01000845",1166,77,386,34,77,16,14,93,9,47,86,8,319
"E01000846",1027,60,184,31,87,2,9,79,5,43,74,8,445
"E01000847",1171,80,275,38,78,5,11,103,8,36,75,3,459
"E01000848",1273,109,505,31,99,9,12,98,10,43,86,6,265
"E01000849",1274,83,543,37,76,4,16,69,7,46,100,1,292
"E01000850",1548,76,215,46,86,6,1,39,1,58,403,6,611
"E01000851",2206,87,239,34,100,9,4,54,9,58,413,10,1189
"E01000852",1475,38,113,39,70,7,1,24,2,21,170,12,978
"E01000853",1231,42,112,32,108,6,4,32,3,44,229,10,609
"E01000854",1559,47,174,37,79,3,3,37,2,23,229,4,921
"E01000855",1623,80,238,66,111,10,4,28,3,39,512,19,513
"E01000856",1246,65,176,36,182,4,4,87,4,50,119,4,515
"E01000857",1122,97,252,24,81,18,15,88,11,74,107,6,349
"E01000858",1457,49,227,55,155,11,11,74,3,49,155,12,656
"E01000859",1289,145,312,26,73,30,22,121,3,100,140,20,297
"E01000860",1039,64,150,14,100,16,11,63,8,64,152,14,383
"E01000861",1339,67,235,60,181,5,12,59,5,66,146,3,500
"E01000862",1360,137,280,35,124,15,13,119,9,113,162,13,340
"E01000863",1290,104,279,46,141,6,6,54,4,60,196,11,383
"E01000864",1276,77,204,36,186,7,14,83,3,109,150,7,400
"E01000865",1330,61,152,38,146,5,8,49,7,87,87,2,688
"E01000866",1606,76,250,72,267,5,15,94,7,103,149,6,562
"E01000867",1225,30,172,50,174,1,5,56,6,53,147,6,525
"E01000868",1014,28,99,42,178,4,5,80,2,59,103,5,409
"E01000869",1733,102,289,78,263,7,10,111,5,140,154,7,567
"E01000870",1357,92,227,60,152,1,10,96,10,102,117,6,484
"E01000871",1267,86,291,83,101,11,12,168,9,45,49,10,402
"E01000872",1623,49,565,67,194,5,19,117,11,87,69,8,432
"E01000873",1317,82,435,136,78,5,19,132,7,59,44,7,313
"E01000874",1245,80,442,128,76,2,7,105,12,30,53,8,302
"E01000875",1394,57,520,91,103,1,12,88,7,41,50,12,412
"E01000876",1359,36,417,76,96,1,12,85,6,36,67,7,520
"E01000877",1296,66,439,132,97,1,17,104,14,34,69,0,323
"E01000878",1289,76,262,36,69,8,7,133,13,19,47,5,614
"E01000879",1119,74,402,30,32,8,8,72,8,27,70,6,382
