"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E02000166",7924,5703,33,54,119,231,251,319,541,174,189,221,89
"E02000167",7944,4917,66,56,132,186,218,248,507,250,427,613,324
"E02000168",8172,5880,14,46,150,181,206,315,552,180,247,293,108
"E02000169",7637,4215,81,58,81,156,221,301,623,353,467,570,511
"E02000170",8338,4823,25,28,148,181,268,330,703,337,549,599,347
"E02000171",7818,5095,34,51,122,186,202,346,540,215,347,449,231
"E02000172",10147,6595,20,38,148,194,264,521,972,321,325,442,307
"E02000173",7675,3693,48,40,111,167,236,292,720,484,595,712,577
"E02000174",8714,5520,18,41,120,204,199,403,854,243,326,579,207
"E02000175",8848,4953,24,27,101,188,264,399,742,354,617,756,423
"E02000176",6373,3251,32,43,79,169,178,254,522,303,462,647,433
"E02000177",8948,5762,23,45,127,186,219,438,871,321,343,399,214
"E02000178",8857,4838,12,46,174,265,274,431,906,395,568,604,344
"E02000179",6329,3573,19,33,84,164,193,323,689,279,321,418,233
"E02000180",8202,5119,12,28,108,161,235,363,742,285,303,386,460
"E02000181",7708,4191,43,45,91,165,206,314,646,339,599,705,364
"E02000182",6697,3006,50,48,95,135,219,315,690,313,473,848,505
"E02000183",7913,4967,16,57,125,187,279,306,552,270,332,509,313
"E02000184",8882,5180,3,37,114,164,206,507,922,341,439,624,345
"E02000185",8290,4242,15,55,190,249,307,469,995,425,469,578,296
"E02000186",6687,3689,28,39,91,146,160,277,579,244,374,710,350
"E02000187",8155,4698,5,38,107,191,211,574,971,316,324,435,285
"E02000188",8322,4566,8,29,78,160,254,472,953,306,507,644,345
"E02000189",5944,2937,3,18,46,133,199,368,494,199,336,751,460
"E02000190",7530,3791,7,33,72,152,241,330,563,240,410,690,1001
"E02000191",7497,3434,11,36,53,124,168,279,594,303,591,980,924
"E02000192",7157,4123,6,28,70,152,213,456,730,278,299,534,268
"E02000193",7630,3934,12,23,90,180,190,310,628,301,504,911,547
