"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E01000842",1444,736,52,25,16,17,3,20,13,141,192,204,19,5,0,1,0,0
"E01000843",1678,972,59,23,12,23,10,24,33,133,170,188,23,3,4,1,0,0
"E01000844",1772,828,92,27,15,35,12,39,40,144,228,264,35,9,4,0,0,0
"E01000845",1464,829,48,15,14,28,10,23,33,121,154,150,30,4,2,2,1,0
"E01000846",1501,847,83,25,17,45,8,24,36,133,99,152,20,5,5,1,1,0
"E01000847",1686,925,94,34,16,44,11,40,36,133,151,158,36,7,1,0,0,0
"E01000848",1588,822,62,22,6,28,7,22,29,107,202,223,51,3,4,0,0,0
"E01000849",1569,865,55,16,15,17,5,19,45,157,189,152,19,5,6,4,0,0
"E01000850",1694,829,38,18,13,40,8,60,119,218,166,161,21,2,0,1,0,0
"E01000851",2383,1168,80,28,25,81,21,124,205,244,186,185,30,4,2,0,0,0
"E01000852",1587,678,37,14,14,33,18,111,207,226,117,104,24,1,0,3,0,0
"E01000853",1631,914,86,15,12,37,12,39,76,144,129,121,36,4,6,0,0,0
"E01000854",1833,759,137,47,27,57,28,108,139,200,146,135,39,4,6,1,0,0
"E01000855",1764,969,40,16,17,32,13,58,75,199,158,148,28,5,6,0,0,0
"E01000856",1645,970,98,21,26,41,8,23,51,155,127,104,17,2,1,1,0,0
"E01000857",1447,907,44,15,11,30,6,12,37,110,111,136,21,4,2,1,0,0
"E01000858",1861,1150,70,19,12,54,14,28,46,145,180,111,27,3,2,0,0,0
"E01000859",1586,1024,56,24,9,15,5,8,30,86,146,159,17,3,2,2,0,0
"E01000860",1307,819,40,11,2,17,4,26,24,87,108,118,40,6,5,0,0,0
"E01000861",1574,946,70,28,11,31,10,29,68,154,105,99,17,3,2,0,1,0
"E01000862",1712,1067,57,29,16,30,6,11,26,107,153,168,29,5,8,0,0,0
"E01000863",1481,837,42,25,8,34,7,24,35,172,150,124,17,3,1,1,0,1
"E01000864",1537,1039,56,23,10,30,7,24,39,118,88,88,10,2,1,2,0,0
"E01000865",1505,935,32,19,17,27,10,32,98,170,102,56,7,0,0,0,0,0
"E01000866",2030,1341,61,17,20,48,5,31,44,159,167,102,19,7,6,3,0,0
"E01000867",1608,919,57,33,16,35,7,34,52,162,144,111,27,6,4,1,0,0
"E01000868",1442,872,56,24,12,34,9,29,38,127,79,128,26,5,3,0,0,0
"E01000869",2110,1354,69,23,17,36,6,46,57,174,148,150,25,4,1,0,0,0
"E01000870",1693,1188,70,28,13,33,6,15,32,104,99,85,17,1,0,2,0,0
"E01000871",1664,1039,36,17,11,29,12,20,37,140,154,126,34,4,4,1,0,0
"E01000872",1902,906,51,19,18,22,17,49,71,222,287,193,43,2,0,2,0,0
"E01000873",1639,1113,39,17,9,23,7,18,36,126,123,98,25,3,2,0,0,0
"E01000874",1559,840,61,24,11,32,4,18,36,145,176,166,35,7,3,1,0,0
"E01000875",1654,862,56,19,13,57,19,26,47,177,197,142,27,6,6,0,0,0
"E01000876",1748,958,62,23,21,38,15,49,61,173,185,126,26,8,3,0,0,0
"E01000877",1574,925,62,19,13,28,3,21,48,150,162,118,19,4,2,0,0,0
"E01000878",1624,877,61,30,11,44,13,29,57,135,152,166,39,7,2,0,0,1
"E01000879",1458,817,75,23,7,22,4,23,46,105,127,156,42,2,9,0,0,0
"E01000880",1602,805,113,22,12,31,6,17,37,101,129,270,47,7,3,2,0,0
"E01000881",1510,650,134,21,13,28,10,32,59,137,164,228,28,4,2,0,0,0
"E01000882",1513,764,85,21,15,34,10,10,26,134,161,204,45,4,0,0,0,0
"E01000883",1326,541,61,14,12,40,6,25,35,130,208,205,34,7,4,3,1,0
"E01000884",1469,848,71,35,17,34,5,15,22,99,115,163,36,4,0,5,0,0
"E01000885",1484,868,54,27,17,36,6,19,29,75,105,179,59,5,5,0,0,0
"E01000886",1445,1018,54,14,6,14,4,12,21,92,92,101,12,0,4,1,0,0
"E01000887",1486,925,48,10,6,21,10,24,29,116,157,120,13,5,2,0,0,0
"E01000888",1605,1085,47,25,11,41,8,12,29,93,104,127,17,1,4,1,0,0
"E01000889",1670,1155,52,21,20,44,5,36,37,100,79,97,22,0,2,0,0,0
"E01000890",1640,1015,54,17,15,35,18,38,32,119,114,130,32,10,11,0,0,0
"E01000891",1575,974,51,26,21,52,15,31,31,126,100,111,26,5,5,1,0,0
"E01000892",1843,1162,73,34,5,34,6,27,57,101,145,172,21,4,1,0,1,0
"E01000893",1566,994,74,24,8,25,5,8,19,107,122,156,18,1,4,1,0,0
"E01000894",1389,819,68,23,15,23,3,11,28,71,96,196,31,2,1,1,1,0
"E01000895",1630,989,76,19,9,13,7,20,27,95,148,196,17,7,7,0,0,0
"E01000896",1692,1044,81,19,9,13,4,18,16,134,129,194,22,6,2,1,0,0
"E01000897",1597,849,79,30,7,26,7,12,37,108,138,237,57,5,5,0,0,0
"E01000898",1729,889,81,25,17,22,13,34,47,174,195,189,30,5,7,1,0,0
"E01000899",1667,1071,72,21,17,28,2,10,21,80,106,188,43,2,5,0,1,0
"E01000900",1801,1255,65,26,8,25,10,27,42,118,104,106,8,1,4,1,1,0
"E01000901",1977,1208,64,29,26,37,13,48,59,205,126,134,17,3,7,1,0,0
"E01000902",1451,941,40,26,10,41,8,17,27,118,105,98,14,3,3,0,0,0
"E01000903",1439,905,49,23,8,26,5,20,30,108,114,115,28,3,3,2,0,0
"E01000904",2120,1384,69,25,16,42,9,33,58,175,141,132,28,5,3,0,0,0
"E01000905",2044,1235,67,46,24,61,13,38,53,155,143,151,44,2,11,1,0,0
"E01000906",1532,947,39,22,16,27,8,27,23,124,130,137,22,8,1,1,0,0
"E01000907",1430,1032,35,11,17,31,3,11,21,90,79,80,17,0,1,1,0,1
"E01000908",1581,1115,56,17,6,21,4,15,27,105,95,88,28,0,1,1,1,1
"E01000909",1614,1206,44,14,6,23,7,20,20,86,82,89,12,3,1,1,0,0
"E01000910",1472,1141,46,11,3,21,8,10,23,80,73,45,9,0,1,1,0,0
"E01000911",1559,1145,48,21,12,19,2,13,25,91,83,83,11,2,3,0,1,0
"E01000912",1589,1118,55,32,13,19,6,19,25,91,88,102,15,1,4,1,0,0
"E01000913",1710,1232,71,23,5,28,3,11,21,89,79,104,37,2,3,1,1,0
"E01000914",1762,897,48,22,14,58,12,54,135,198,153,142,23,2,3,1,0,0
"E01000915",1527,919,63,21,16,54,10,34,56,126,92,109,21,3,2,1,0,0
"E01000916",1796,974,50,18,23,36,14,46,87,206,159,146,28,5,4,0,0,0
"E01000917",1888,1082,78,32,12,57,10,50,48,174,150,157,29,2,4,3,0,0
"E01000918",2090,1087,52,20,12,58,18,88,128,259,171,151,42,2,2,0,0,0
"E01000919",2014,981,45,17,12,61,17,92,125,246,228,163,22,1,3,1,0,0
"E01000920",1946,1148,55,22,15,50,13,34,58,201,146,156,31,8,8,1,0,0
"E01000921",1966,1324,59,21,9,26,8,21,51,171,163,96,13,2,2,0,0,0
"E01000922",1547,1087,56,21,10,21,8,17,34,110,89,80,11,1,1,1,0,0
"E01000923",1494,1105,42,17,6,31,10,20,25,69,90,62,10,3,3,1,0,0
"E01000924",1637,1126,47,20,7,22,3,20,31,130,125,88,12,1,3,2,0,0
"E01000925",1563,925,63,26,19,41,11,33,46,112,118,128,23,8,9,1,0,0
"E01000926",1791,940,59,13,7,31,8,58,73,202,308,76,11,2,2,1,0,0
"E01000927",1738,1156,46,22,13,43,4,27,34,104,132,131,16,4,4,1,0,1
"E01000928",1681,1165,48,17,17,19,8,18,47,120,95,99,22,1,5,0,0,0
"E01000929",1675,883,84,28,19,47,19,46,65,158,135,134,40,8,7,2,0,0
"E01000930",1910,888,49,34,27,58,17,51,61,222,195,206,79,8,11,4,0,0
"E01000931",1910,1012,60,28,14,49,13,46,66,204,182,185,37,5,7,1,1,0
"E01000932",1838,1020,40,16,17,42,5,31,66,201,206,169,15,5,4,1,0,0
"E01000933",1671,935,45,17,7,31,11,31,59,174,196,136,26,1,1,1,0,0
"E01000934",1619,764,58,30,18,60,10,36,44,182,172,182,47,3,9,4,0,0
"E01000935",1415,772,60,16,12,38,14,28,47,136,153,120,9,4,6,0,0,0
"E01000936",1839,928,86,27,9,60,14,44,81,250,183,124,21,5,5,2,0,0
"E01000937",1504,608,66,19,14,42,13,80,132,216,153,137,16,3,4,0,0,1
"E01000938",1752,850,139,34,7,41,13,60,87,181,174,143,19,1,2,1,0,0
"E01000939",1223,640,52,35,8,41,9,51,71,109,80,89,30,6,2,0,0,0
"E01000940",1130,519,60,13,12,22,10,22,41,116,165,122,15,4,6,3,0,0
"E01000941",1230,695,37,13,13,34,6,47,56,117,91,97,16,2,4,2,0,0
"E01000942",2111,1083,50,18,14,55,18,145,279,223,112,94,15,3,2,0,0,0
"E01000943",1054,491,30,10,17,21,3,41,60,167,111,80,18,0,4,1,0,0
"E01000944",1899,987,75,42,17,116,20,86,149,195,100,84,21,1,5,1,0,0
"E01000945",1821,899,103,26,21,54,17,79,145,189,118,139,21,6,4,0,0,0
"E01000946",1516,786,44,40,14,55,7,51,56,106,158,151,39,4,5,0,0,0
"E01000947",1954,1025,43,21,11,42,16,56,91,210,269,134,29,2,5,0,0,0
"E01000948",1736,1041,54,22,10,31,7,36,48,166,155,129,30,2,4,1,0,0
"E01000949",1633,1072,50,18,14,26,9,27,57,121,110,104,20,2,2,1,0,0
"E01000950",1431,725,57,32,23,47,8,42,81,154,111,113,28,3,5,2,0,0
"E01000951",1538,883,61,23,18,36,8,36,78,151,113,99,19,1,11,1,0,0
"E01000952",1729,1033,58,24,15,52,10,52,75,146,120,112,21,3,5,3,0,0
"E01000953",1643,900,47,31,22,63,30,39,59,157,120,125,35,13,2,0,0,0
"E01000954",1656,1011,55,22,15,45,15,35,55,142,106,124,22,3,4,1,1,0
"E01000955",1595,973,40,16,17,47,10,63,76,135,86,106,22,3,1,0,0,0
"E01000956",1532,781,64,35,18,43,17,52,67,158,136,122,23,3,10,2,0,1
"E01000957",1729,958,76,22,25,66,13,49,40,160,156,137,15,3,7,2,0,0
"E01000958",2264,1278,52,28,13,44,14,87,118,281,201,118,26,2,2,0,0,0
"E01000959",1670,1028,50,28,21,44,7,32,70,168,104,92,16,6,3,1,0,0
"E01000960",1774,826,58,28,21,51,14,41,54,191,216,224,34,8,8,0,0,0
"E01000961",1591,815,55,27,19,47,10,34,53,150,164,166,47,1,2,1,0,0
"E01000962",1592,787,71,12,8,22,8,22,31,164,255,192,16,1,1,2,0,0
"E01000963",1923,612,130,53,23,81,12,52,50,160,205,366,144,14,16,4,1,0
"E01000964",1577,840,90,24,13,30,3,21,30,137,170,187,24,5,2,1,0,0
"E01000965",1522,870,46,17,13,24,10,24,38,151,177,136,13,2,1,0,0,0
"E01000966",1512,793,64,13,9,17,6,18,33,145,199,185,23,1,3,3,0,0
"E01000967",1409,753,71,16,17,33,10,19,28,98,120,179,54,6,4,1,0,0
"E01000968",1505,901,36,10,8,37,6,28,30,136,161,107,29,4,9,1,2,0
"E01000969",2032,1031,65,36,19,43,5,25,51,231,299,194,27,1,5,0,0,0
"E01000970",1444,855,44,11,12,23,13,16,39,165,146,107,10,2,1,0,0,0
"E01000971",1478,958,35,18,4,17,4,11,37,132,140,114,5,1,2,0,0,0
"E01000972",2009,1041,74,30,27,42,18,40,56,190,215,227,35,7,6,1,0,0
"E01000973",1885,1068,67,21,14,46,13,30,45,206,200,138,23,8,4,2,0,0
"E01000974",1707,986,61,32,17,40,8,28,50,166,164,124,20,3,6,2,0,0
