"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E02000166",7924,5703,261,97,47,122,23,76,114,461,423,463,109,6,10,5,2,2
"E02000167",7944,4917,371,106,58,102,21,67,111,487,601,930,131,18,19,3,2,0
"E02000168",8172,5880,243,87,47,116,36,82,171,531,504,385,65,8,14,2,1,0
"E02000169",7637,4215,374,137,64,167,34,103,191,515,628,934,223,25,19,7,0,1
"E02000170",8338,4823,249,96,62,134,43,126,228,783,902,701,156,20,11,4,0,0
"E02000171",7818,5095,271,106,36,136,33,95,166,510,612,635,91,13,14,4,1,0
"E02000172",10147,6595,323,136,105,232,63,197,227,764,640,683,124,23,30,4,0,1
"E02000173",7675,3693,440,111,64,150,46,113,204,683,866,1063,194,25,18,4,1,0
"E02000174",8714,5520,300,104,66,175,33,157,226,707,817,479,82,19,20,9,0,0
"E02000175",8848,4953,285,116,76,171,53,122,228,924,1000,780,100,19,18,3,0,0
"E02000176",6373,3251,261,90,52,97,27,100,127,549,811,843,124,22,14,5,0,0
"E02000177",8948,5762,280,145,74,196,48,142,203,690,623,624,116,19,22,3,1,0
"E02000178",8857,4838,279,118,82,226,60,180,290,921,934,746,125,27,26,4,1,0
"E02000179",6329,3573,284,97,59,140,39,111,138,520,574,648,109,19,12,4,2,0
"E02000180",8202,5119,270,122,72,162,39,165,284,751,561,533,95,17,9,3,0,0
"E02000181",7708,4191,307,76,51,130,33,113,162,733,962,807,105,13,16,7,2,0
"E02000182",6697,3006,314,124,80,212,46,146,185,599,705,935,279,29,30,6,1,0
"E02000183",7913,4967,267,98,50,146,35,85,163,535,698,692,134,21,19,3,0,0
"E02000184",8882,5180,346,127,96,226,52,220,347,918,693,550,91,16,15,4,1,0
"E02000185",8290,4242,296,125,83,234,71,192,276,872,851,778,201,24,34,11,0,0
"E02000186",6687,3689,183,108,43,162,37,167,230,654,732,538,115,11,15,2,0,1
"E02000187",8155,4698,264,128,87,250,82,241,332,738,568,589,123,25,22,6,1,1
"E02000188",8322,4566,346,141,93,279,62,270,510,810,552,539,109,13,27,5,0,0
"E02000189",5944,2937,337,109,36,164,46,177,280,656,602,478,85,16,15,6,0,0
"E02000190",7530,3791,269,75,70,189,52,352,603,867,596,529,101,12,20,3,0,1
"E02000191",7497,3434,292,107,79,211,75,403,670,888,615,585,114,11,8,5,0,0
"E02000192",7157,4123,246,93,66,197,47,164,249,707,547,568,109,18,18,5,0,0
"E02000193",7630,3934,185,75,55,209,60,292,463,902,710,604,115,10,14,2,0,0
