"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E00004120",314,153,9,5,6,3,0,4,2,43,40,43,5,1,0,0,0,0
"E00004121",250,135,12,6,2,4,0,3,6,16,30,32,3,1,0,0,0,0
"E00004122",236,133,13,5,1,3,1,6,2,13,20,28,9,2,0,0,0,0
"E00004123",296,174,19,5,3,7,4,6,8,21,20,20,7,2,0,0,0,0
"E00004124",176,104,5,5,3,3,1,3,7,9,16,16,0,1,1,2,0,0
"E00004125",268,135,11,0,3,2,2,2,5,29,40,34,3,0,1,1,0,0
"E00004126",274,152,12,4,2,5,0,1,5,14,40,38,1,0,0,0,0,0
"E00004127",265,161,7,4,1,4,1,2,9,31,26,12,4,2,0,1,0,0
"E00004128",293,149,14,4,1,4,2,9,7,23,39,35,5,0,1,0,0,0
"E00004129",265,136,8,3,1,4,2,3,10,28,27,34,9,0,0,0,0,0
"E00004130",268,141,10,2,1,2,0,5,7,31,39,25,3,1,1,0,0,0
"E00004131",280,128,9,7,0,8,0,4,4,20,34,49,14,2,1,0,0,0
"E00004132",204,128,9,1,0,2,3,2,0,8,24,22,3,1,1,0,0,0
"E00004133",255,136,12,3,5,2,1,3,6,22,28,33,3,0,1,0,0,0
"E00004134",188,115,3,1,0,6,3,3,2,11,20,20,3,1,0,0,0,0
"E00004135",143,74,5,0,0,0,0,1,6,20,19,16,2,0,0,0,0,0
"E00004136",228,128,11,2,3,1,0,0,2,21,30,28,2,0,0,0,0,0
"E00004137",272,129,10,3,2,5,0,3,3,14,38,45,19,0,1,0,0,0
"E00004138",225,110,8,1,2,3,0,4,5,18,28,38,7,1,0,0,0,0
"E00004139",333,188,9,8,6,9,7,6,10,32,26,28,2,0,2,0,0,0
"E00004140",206,104,6,2,1,1,1,0,3,20,32,33,2,1,0,0,0,0
"E00004141",188,102,8,5,6,5,1,2,1,14,19,22,2,1,0,0,0,0
"E00004142",237,109,10,7,2,2,1,4,3,20,40,33,5,0,0,1,0,0
"E00004143",242,132,6,4,3,5,2,2,3,25,21,35,3,1,0,0,0,0
"E00004144",230,150,9,6,0,0,0,2,3,18,17,20,4,1,0,0,0,0
"E00004145",256,128,9,3,0,3,0,10,3,26,36,34,2,2,0,0,0,0
"E00004146",249,145,11,2,0,2,0,7,5,15,22,37,1,0,1,1,0,0
"E00004147",225,136,8,3,1,2,0,2,6,18,27,17,4,0,1,0,0,0
"E00004148",175,102,7,2,0,3,1,3,1,14,17,21,3,0,1,0,0,0
"E00004149",337,198,12,5,3,6,0,1,5,24,30,44,3,2,1,2,1,0
"E00004150",304,128,17,5,2,4,2,17,4,33,42,44,5,1,0,0,0,0
"E00004151",261,151,7,2,1,3,0,1,6,25,32,25,8,0,0,0,0,0
"E00004152",243,140,10,3,1,3,0,0,1,18,25,39,3,0,0,0,0,0
"E00004153",206,96,7,2,4,3,1,6,9,17,31,26,3,1,0,0,0,0
"E00004154",255,110,12,5,1,2,3,1,5,18,53,40,3,0,2,0,0,0
