"DatasetId","ColumnVariableCode","ColumnVariableMeasurementUnit","ColumnVariableDescription"
"CT0010","CT00100001","Count","All categories: Ethnic group"
"CT0010","CT00100002","Count","English/Welsh/Scottish/Northern Irish/British"
"CT0010","CT00100003","Count","Irish"
"CT0010","CT00100004","Count","Gypsy or Irish Traveller"
"CT0010","CT00100005","Count","Other White"
"CT0010","CT00100006","Count","White and Black Caribbean"
"CT0010","CT00100007","Count","White and Black African"
"CT0010","CT00100008","Count","White and Asian"
"CT0010","CT00100009","Count","Other mixed"
"CT0010","CT00100010","Count","Indian or British Indian"
"CT0010","CT00100011","Count","Pakistani or British Pakistani"
"CT0010","CT00100012","Count","Bangladeshi, British Bangladeshi"
"CT0010","CT00100013","Count","Chinese"
"CT0010","CT00100014","Count","Other Asian"
"CT0010","CT00100015","Count","African"
"CT0010","CT00100016","Count","Caribbean"
"CT0010","CT00100017","Count","Other Black"
"CT0010","CT00100018","Count","Arab"
"CT0010","CT00100019","Count","Any other ethnic group"
"CT0010","CT00100020","Count","Afghan"
"CT0010","CT00100021","Count","African/Arab"
"CT0010","CT00100022","Count","Albanian"
"CT0010","CT00100023","Count","Anglo Indian"
"CT0010","CT00100024","Count","Argentinian"
"CT0010","CT00100025","Count","Australian/New Zealander"
"CT0010","CT00100026","Count","Baltic States"
"CT0010","CT00100027","Count","Black and Asian"
"CT0010","CT00100028","Count","Black and Chinese"
"CT0010","CT00100029","Count","Black and White"
"CT0010","CT00100030","Count","Black British"
"CT0010","CT00100031","Count","Black European"
"CT0010","CT00100032","Count","Black/African American"
"CT0010","CT00100033","Count","Bosnian"
"CT0010","CT00100034","Count","Brazilian"
"CT0010","CT00100035","Count","British Asian"
"CT0010","CT00100036","Count","Burmese"
"CT0010","CT00100037","Count","Cambodia"
"CT0010","CT00100038","Count","Caribbean Asian"
"CT0010","CT00100039","Count","Chilean"
"CT0010","CT00100040","Count","Chinese and White"
"CT0010","CT00100041","Count","Colombian"
"CT0010","CT00100042","Count","Commonwealth of (Russian) Independent States"
"CT0010","CT00100043","Count","Croatian"
"CT0010","CT00100044","Count","Cuban"
"CT0010","CT00100045","Count","Cypriot"
"CT0010","CT00100046","Count","East African Asian"
"CT0010","CT00100047","Count","Ecuadorian"
"CT0010","CT00100048","Count","European Mixed"
"CT0010","CT00100049","Count","Filipino"
"CT0010","CT00100050","Count","Greek"
"CT0010","CT00100051","Count","Greek Cypriot"
"CT0010","CT00100052","Count","Indonesian"
"CT0010","CT00100053","Count","Iranian"
"CT0010","CT00100054","Count","Israeli"
"CT0010","CT00100055","Count","Italian"
"CT0010","CT00100056","Count","Japanese"
"CT0010","CT00100057","Count","Kashmiri"
"CT0010","CT00100058","Count","Korean"
"CT0010","CT00100059","Count","Kosovan"
"CT0010","CT00100060","Count","Kurdish"
"CT0010","CT00100061","Count","Latin/South/Central American"
"CT0010","CT00100062","Count","Malaysian"
"CT0010","CT00100063","Count","Mexican"
"CT0010","CT00100064","Count","Moroccan"
"CT0010","CT00100065","Count","Multi-ethnic islands"
"CT0010","CT00100066","Count","Nepalese (includes Gurkha)"
"CT0010","CT00100067","Count","Nigerian"
"CT0010","CT00100068","Count","North African"
"CT0010","CT00100069","Count","North American"
"CT0010","CT00100070","Count","Other Eastern European"
"CT0010","CT00100071","Count","Other Middle East"
"CT0010","CT00100072","Count","Other Western European"
"CT0010","CT00100073","Count","Peruvian"
"CT0010","CT00100074","Count","Polish"
"CT0010","CT00100075","Count","Polynesia/Micronesia/Melanesia"
"CT0010","CT00100076","Count","Punjabi"
"CT0010","CT00100077","Count","Serbian"
"CT0010","CT00100078","Count","Sinhalese"
"CT0010","CT00100079","Count","Somali"
"CT0010","CT00100080","Count","Somalilander"
"CT0010","CT00100081","Count","South Asian and Chinese"
"CT0010","CT00100082","Count","Sri Lankan"
"CT0010","CT00100083","Count","Taiwanese"
"CT0010","CT00100084","Count","Tamil"
"CT0010","CT00100085","Count","Thai"
"CT0010","CT00100086","Count","Turkish"
"CT0010","CT00100087","Count","Turkish Cypriot"
"CT0010","CT00100088","Count","Venezuelan"
"CT0010","CT00100089","Count","Vietnamese"
"CT0010","CT00100090","Count","White African"
"CT0010","CT00100091","Count","White and Arab"
"CT0010","CT00100092","Count","White and East Asian"
"CT0010","CT00100093","Count","White and North African or Middle Eastern"
"CT0010","CT00100094","Count","White and South Asian"
"CT0010","CT00100095","Count","White Caribbean"
"KS101EW","KS101EW0001","Count","All categories: Sex"
"KS101EW","KS101EW0002","Count","Males"
"KS101EW","KS101EW0003","Count","Females"
"KS101EW","KS101EW0004","Count","Lives in a household"
"KS101EW","KS101EW0005","Count","Lives in a communal establishment"
"KS101EW","KS101EW0006","Count","Schoolchild or full-time student aged 4 and over at their non term-time address"
"KS101EW","KS101EW0007","Sum","Area hectares"
"KS101EW","KS101EW0008","Ratio","Density (number of persons per hectare)"
"KS101EW","KS101EW0009","Percentage","Males"
"KS101EW","KS101EW0010","Percentage","Females"
"KS101EW","KS101EW0011","Percentage","Lives in a household"
"KS101EW","KS101EW0012","Percentage","Lives in a communal establishment"
"KS102EW","KS102EW0001","Count","All categories: Age"
"KS102EW","KS102EW0002","Count","Age 0 to 4"
"KS102EW","KS102EW0003","Count","Age 5 to 7"
"KS102EW","KS102EW0004","Count","Age 8 to 9"
"KS102EW","KS102EW0005","Count","Age 10 to 14"
"KS102EW","KS102EW0006","Count","Age 15"
"KS102EW","KS102EW0007","Count","Age 16 to 17"
"KS102EW","KS102EW0008","Count","Age 18 to 19"
"KS102EW","KS102EW0009","Count","Age 20 to 24"
"KS102EW","KS102EW0010","Count","Age 25 to 29"
"KS102EW","KS102EW0011","Count","Age 30 to 44"
"KS102EW","KS102EW0012","Count","Age 45 to 59"
"KS102EW","KS102EW0013","Count","Age 60 to 64"
"KS102EW","KS102EW0014","Count","Age 65 to 74"
"KS102EW","KS102EW0015","Count","Age 75 to 84"
"KS102EW","KS102EW0016","Count","Age 85 to 89"
"KS102EW","KS102EW0017","Count","Age 90 and over"
"KS102EW","KS102EW0018","Years","Mean age"
"KS102EW","KS102EW0019","Years","Median age"
"KS102EW","KS102EW0020","Percentage","Age 0 to 4"
"KS102EW","KS102EW0021","Percentage","Age 5 to 7"
"KS102EW","KS102EW0022","Percentage","Age 8 to 9"
"KS102EW","KS102EW0023","Percentage","Age 10 to 14"
"KS102EW","KS102EW0024","Percentage","Age 15"
"KS102EW","KS102EW0025","Percentage","Age 16 to 17"
"KS102EW","KS102EW0026","Percentage","Age 18 to 19"
"KS102EW","KS102EW0027","Percentage","Age 20 to 24"
"KS102EW","KS102EW0028","Percentage","Age 25 to 29"
"KS102EW","KS102EW0029","Percentage","Age 30 to 44"
"KS102EW","KS102EW0030","Percentage","Age 45 to 59"
"KS102EW","KS102EW0031","Percentage","Age 60 to 64"
"KS102EW","KS102EW0032","Percentage","Age 65 to 74"
"KS102EW","KS102EW0033","Percentage","Age 75 to 84"
"KS102EW","KS102EW0034","Percentage","Age 85 to 89"
"KS102EW","KS102EW0035","Percentage","Age 90 and over"
"KS103EW","KS103EW0001","Count","All categories: Marital and civil partnership status"
"KS103EW","KS103EW0002","Count","Single (never married or never registered a same-sex civil partnership)"
"KS103EW","KS103EW0003","Count","Married"
"KS103EW","KS103EW0004","Count","In a registered same-sex civil partnership"
"KS103EW","KS103EW0005","Count","Separated (but still legally married or still legally in a same-sex civil partnership)"
"KS103EW","KS103EW0006","Count","Divorced or formerly in a same-sex civil partnership which is now legally dissolved"
"KS103EW","KS103EW0007","Count","Widowed or surviving partner from a same-sex civil partnership"
"KS103EW","KS103EW0008","Percentage","Single (never married or never registered a same-sex civil partnership)"
"KS103EW","KS103EW0009","Percentage","Married"
"KS103EW","KS103EW0010","Percentage","In a registered same-sex civil partnership"
"KS103EW","KS103EW0011","Percentage","Separated (but still legally married or still legally in a same-sex civil partnership)"
"KS103EW","KS103EW0012","Percentage","Divorced or formerly in a same-sex civil partnership which is now legally dissolved"
"KS103EW","KS103EW0013","Percentage","Widowed or surviving partner from a same-sex civil partnership"
"KS104EW","KS104EW0001","Count","All categories: Living arrangements"
"KS104EW","KS104EW0002","Count","Living in a couple: Married or in a registered same-sex civil partnership"
"KS104EW","KS104EW0003","Count","Living in a couple: Cohabiting"
"KS104EW","KS104EW0004","Count","Not living in a couple: Single (never married or never registered a same-sex civil partnership)"
"KS104EW","KS104EW0005","Count","Not living in a couple: Married or in a registered same-sex civil partnership"
"KS104EW","KS104EW0006","Count","Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)"
"KS104EW","KS104EW0007","Count","Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved"
"KS104EW","KS104EW0008","Count","Not living in a couple: Widowed or surviving partner from a same-sex civil partnership"
"KS104EW","KS104EW0009","Percentage","Living in a couple: Married or in a registered same-sex civil partnership"
"KS104EW","KS104EW0010","Percentage","Living in a couple: Cohabiting"
"KS104EW","KS104EW0011","Percentage","Not living in a couple: Single (never married or never registered a same-sex civil partnership)"
"KS104EW","KS104EW0012","Percentage","Not living in a couple: Married or in a registered same-sex civil partnership"
"KS104EW","KS104EW0013","Percentage","Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)"
"KS104EW","KS104EW0014","Percentage","Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved"
"KS104EW","KS104EW0015","Percentage","Not living in a couple: Widowed or surviving partner from a same-sex civil partnership"
"KS105EW","KS105EW0001","Count","All categories: Household composition"
"KS105EW","KS105EW0002","Count","One person household: Aged 65 and over"
"KS105EW","KS105EW0003","Count","One person household: Other"
"KS105EW","KS105EW0004","Count","One family only: All aged 65 and over"
"KS105EW","KS105EW0005","Count","One family only: Married or same-sex civil partnership couple: No children"
"KS105EW","KS105EW0006","Count","One family only: Married or same-sex civil partnership couple: Dependent children"
"KS105EW","KS105EW0007","Count","One family only: Married or same-sex civil partnership couple: All children non-dependent"
"KS105EW","KS105EW0008","Count","One family only: Cohabiting couple: No children"
"KS105EW","KS105EW0009","Count","One family only: Cohabiting couple: Dependent children"
"KS105EW","KS105EW0010","Count","One family only: Cohabiting couple: All children non-dependent"
"KS105EW","KS105EW0011","Count","One family only: Lone parent: Dependent children"
"KS105EW","KS105EW0012","Count","One family only: Lone parent: All children non-dependent"
"KS105EW","KS105EW0013","Count","Other household types: With dependent children"
"KS105EW","KS105EW0014","Count","Other household types: All full-time students"
"KS105EW","KS105EW0015","Count","Other household types: All aged 65 and over"
"KS105EW","KS105EW0016","Count","Other household types: Other"
"KS105EW","KS105EW0017","Percentage","One person household: Aged 65 and over"
"KS105EW","KS105EW0018","Percentage","One person household: Other"
"KS105EW","KS105EW0019","Percentage","One family only: All aged 65 and over"
"KS105EW","KS105EW0020","Percentage","One family only: Married or same-sex civil partnership couple: No children"
"KS105EW","KS105EW0021","Percentage","One family only: Married or same-sex civil partnership couple: Dependent children"
"KS105EW","KS105EW0022","Percentage","One family only: Married or same-sex civil partnership couple: All children non-dependent"
"KS105EW","KS105EW0023","Percentage","One family only: Cohabiting couple: No children"
"KS105EW","KS105EW0024","Percentage","One family only: Cohabiting couple: Dependent children"
"KS105EW","KS105EW0025","Percentage","One family only: Cohabiting couple: All children non-dependent"
"KS105EW","KS105EW0026","Percentage","One family only: Lone parent: Dependent children"
"KS105EW","KS105EW0027","Percentage","One family only: Lone parent: All children non-dependent"
"KS105EW","KS105EW0028","Percentage","Other household types: With dependent children"
"KS105EW","KS105EW0029","Percentage","Other household types: All full-time students"
"KS105EW","KS105EW0030","Percentage","Other household types: All aged 65 and over"
"KS105EW","KS105EW0031","Percentage","Other household types: Other"
"KS106EW","KS106EW0001","Count","All households"
"KS106EW","KS106EW0002","Count","No adults in employment in household: With dependent children"
"KS106EW","KS106EW0003","Count","No adults in employment in household: No dependent children"
"KS106EW","KS106EW0004","Count","Dependent children in household: All ages"
"KS106EW","KS106EW0005","Count","Dependent children in household: Age 0 to 4"
"KS106EW","KS106EW0006","Count","One person in household with a long-term health problem or disability: With dependent children"
"KS106EW","KS106EW0007","Count","One person in household with a long-term health problem or disability: No dependent children"
"KS106EW","KS106EW0008","Percentage","No adults in employment in household: With dependent children"
"KS106EW","KS106EW0009","Percentage","No adults in employment in household: No dependent children"
"KS106EW","KS106EW0010","Percentage","Dependent children in household: All ages"
"KS106EW","KS106EW0011","Percentage","Dependent children in household: Age 0 to 4"
"KS106EW","KS106EW0012","Percentage","One person in household with a long-term health problem or disability: With dependent children"
"KS106EW","KS106EW0013","Percentage","One person in household with a long-term health problem or disability: No dependent children"
"KS107EW","KS107EW0001","Count","All categories: Family status (lone parent) by sex and economic activity"
"KS107EW","KS107EW0002","Count","Lone parent in part-time employment: Total"
"KS107EW","KS107EW0003","Count","Lone parent in full-time employment: Total"
"KS107EW","KS107EW0004","Count","Lone parent not in employment: Total"
"KS107EW","KS107EW0005","Count","Male lone parent: Total"
"KS107EW","KS107EW0006","Count","Male lone parent: In part-time employment"
"KS107EW","KS107EW0007","Count","Male lone parent: In full-time employment"
"KS107EW","KS107EW0008","Count","Male lone parent: Not in employment"
"KS107EW","KS107EW0009","Count","Female lone parent: Total"
"KS107EW","KS107EW0010","Count","Female lone parent: In part-time employment"
"KS107EW","KS107EW0011","Count","Female lone parent: In full-time employment"
"KS107EW","KS107EW0012","Count","Female lone parent: Not in employment"
"KS107EW","KS107EW0013","Percentage","Lone parent in part-time employment: Total"
"KS107EW","KS107EW0014","Percentage","Lone parent in full-time employment: Total"
"KS107EW","KS107EW0015","Percentage","Lone parent not in employment: Total"
"KS107EW","KS107EW0016","Percentage","Male lone parent: Total"
"KS107EW","KS107EW0017","Percentage","Male lone parent: In part-time employment"
"KS107EW","KS107EW0018","Percentage","Male lone parent: In full-time employment"
"KS107EW","KS107EW0019","Percentage","Male lone parent: Not in employment"
"KS107EW","KS107EW0020","Percentage","Female lone parent: Total"
"KS107EW","KS107EW0021","Percentage","Female lone parent: In part-time employment"
"KS107EW","KS107EW0022","Percentage","Female lone parent: In full-time employment"
"KS107EW","KS107EW0023","Percentage","Female lone parent: Not in employment"
"KS201EW","KS201EW0001","Count","All categories: Ethnic group"
"KS201EW","KS201EW0002","Count","White: English/Welsh/Scottish/Northern Irish/British"
"KS201EW","KS201EW0003","Count","White: Irish"
"KS201EW","KS201EW0004","Count","White: Gypsy or Irish Traveller"
"KS201EW","KS201EW0005","Count","White: Other White"
"KS201EW","KS201EW0006","Count","Mixed/multiple ethnic groups: White and Black Caribbean"
"KS201EW","KS201EW0007","Count","Mixed/multiple ethnic groups: White and Black African"
"KS201EW","KS201EW0008","Count","Mixed/multiple ethnic groups: White and Asian"
"KS201EW","KS201EW0009","Count","Mixed/multiple ethnic groups: Other Mixed"
"KS201EW","KS201EW0010","Count","Asian/Asian British: Indian"
"KS201EW","KS201EW0011","Count","Asian/Asian British: Pakistani"
"KS201EW","KS201EW0012","Count","Asian/Asian British: Bangladeshi"
"KS201EW","KS201EW0013","Count","Asian/Asian British: Chinese"
"KS201EW","KS201EW0014","Count","Asian/Asian British: Other Asian"
"KS201EW","KS201EW0015","Count","Black/African/Caribbean/Black British: African"
"KS201EW","KS201EW0016","Count","Black/African/Caribbean/Black British: Caribbean"
"KS201EW","KS201EW0017","Count","Black/African/Caribbean/Black British: Other Black"
"KS201EW","KS201EW0018","Count","Other ethnic group: Arab"
"KS201EW","KS201EW0019","Count","Other ethnic group: Any other ethnic group"
"KS201EW","KS201EW0020","Percentage","White: English/Welsh/Scottish/Northern Irish/British"
"KS201EW","KS201EW0021","Percentage","White: Irish"
"KS201EW","KS201EW0022","Percentage","White: Gypsy or Irish Traveller"
"KS201EW","KS201EW0023","Percentage","White: Other White"
"KS201EW","KS201EW0024","Percentage","Mixed/multiple ethnic groups: White and Black Caribbean"
"KS201EW","KS201EW0025","Percentage","Mixed/multiple ethnic groups: White and Black African"
"KS201EW","KS201EW0026","Percentage","Mixed/multiple ethnic groups: White and Asian"
"KS201EW","KS201EW0027","Percentage","Mixed/multiple ethnic groups: Other Mixed"
"KS201EW","KS201EW0028","Percentage","Asian/Asian British: Indian"
"KS201EW","KS201EW0029","Percentage","Asian/Asian British: Pakistani"
"KS201EW","KS201EW0030","Percentage","Asian/Asian British: Bangladeshi"
"KS201EW","KS201EW0031","Percentage","Asian/Asian British: Chinese"
"KS201EW","KS201EW0032","Percentage","Asian/Asian British: Other Asian"
"KS201EW","KS201EW0033","Percentage","Black/African/Caribbean/Black British: African"
